basis_degree_m,basis_regularity,correlation_degree,correlation_regularity,prime_activation_order,fourier_decay_power,arch_tail_remainder_power_K,prime3_entry_lower,prime3_entry_upper,prime3_abs_midpoint,target_eps_for_abs_1e-12_approx,unit_constant_K_for_tail_1e-12_heuristic,status
0,jump / piecewise constant,1,C^0,1,2,1,-0.00030135444750388853431,-0.00030135444750388853431,0.00030135444750388853,1.5765805875598838e-12,1000000000000,WEIL_W_ADMISSIBLE; exact local activation interval
1,C^0,3,C^2,3,4,3,-1.1337411636542357889e-11,-1.1337411636542357889e-11,1.1337411636542358e-11,0.00021148966131847286,10000,WEIL_W_ADMISSIBLE; exact local activation interval
2,C^1,5,C^4,5,6,5,-1.2795918926806031441e-19,-1.2795918926806031441e-19,1.2795918926806031e-19,0.011360030154061534,252,WEIL_W_ADMISSIBLE; exact local activation interval
3,C^2,7,C^6,7,8,7,-6.8771698359407511731e-28,-6.8771698359407511731e-28,6.877169835940751e-28,0.06964310114251708,52,WEIL_W_ADMISSIBLE; exact local activation interval
4,C^3,9,C^8,9,10,9,-2.1560797141674476637e-36,-2.1560797141674476637e-36,2.1560797141674477e-36,0.20248207308134267,22,WEIL_W_ADMISSIBLE; exact local activation interval
5,C^4,11,C^10,11,12,11,-4.4244540443418940102e-45,-4.4244540443418940102e-45,4.424454044341894e-45,0.4150297827109387,13,WEIL_W_ADMISSIBLE; exact local activation interval
