index,gamma,G_real,G_imag,axis_mass,cumulative_axis_mass
1,14.134725141734695,0.07315844108343512,0.0,0.005352157501758449,0.005352157501758449
2,21.022039638771556,0.055677783089774176,0.0,0.003100015529791943,0.008452173031550391
3,25.01085758014569,0.04119639481924485,0.0,0.0016971429461031039,0.010149315977653495
4,30.424876125859512,-0.030213787657191814,0.0,0.0009128729645938765,0.011062188942247373
5,32.93506158773919,-0.005183028652356119,0.0,2.6863786011144487e-05,0.011089052728258516
6,37.586178158825675,0.019403045710828935,0.0,0.0003764781828565171,0.011465530911115034
7,40.9187190121475,0.009075559222081512,0.0,8.236577519350875e-05,0.011547896686308543
8,43.327073280915,0.03143633246573981,0.0,0.000988242998896527,0.01253613968520507
9,48.00515088116716,0.011704020111487036,0.0,0.00013698408677009302,0.012673123771975162
10,49.7738324776723,0.0011359310677606473,0.0,1.2903393907038445e-06,0.012674414111365866
11,52.970321477714464,-0.033529653314998936,0.0,0.001124237651424019,0.013798651762789885
12,56.44624769706339,0.08221241606657846,0.0,0.006758881355504208,0.020557533118294093
13,59.34704400260235,-0.052798414877207434,0.0,0.0027876726135457196,0.023345205731839812
14,60.83177852460981,-0.002443038578735134,0.0,5.968437497188182e-06,0.023351174169337
15,65.1125440480816,-0.003600595258796246,0.0,1.2964286217666006e-05,0.023364138455554666
16,67.07981052949417,-0.004496401186936975,0.0,2.0217623633888237e-05,0.023384356079188557
17,69.54640171117398,0.0006052767652649476,0.0,3.6635996256959856e-07,0.023384722439151125
18,72.0671576744819,0.0010822937479961488,0.0,1.1713597569515511e-06,0.023385893798908076
19,75.70469069908393,0.00017750096183511858,0.0,3.150659145239223e-08,0.02338592530549953
20,77.1448400688748,0.0010742131490233968,0.0,1.1539338895347627e-06,0.023387079239389066
21,79.33737502024937,0.002152770990470017,0.0,4.634422937409257e-06,0.023391713662326473
22,82.91038085408603,-0.0030916313610650603,0.0,9.558184472720998e-06,0.023401271846799195
23,84.73549298051705,-0.005646314953290762,0.0,3.1880872551754855e-05,0.02343315271935095
24,87.42527461312523,-0.0007060649247559045,0.0,4.98527677970561e-07,0.02343365124702892
25,88.80911120763446,-0.009824130465431584,0.0,9.6513539401821e-05,0.02353016478643074
26,92.49189927055849,-0.0025156480830595507,0.0,6.328485277801191e-06,0.023536493271708543
27,94.65134404051989,0.006029756124553951,0.0,3.635795892159588e-05,0.02357285123063014
28,95.87063422824531,-0.005308933282432363,0.0,2.8184772597318065e-05,0.023601036003227455
29,98.83119421819369,-0.0054311339525340415,0.0,2.949721601036804e-05,0.023630533219237825
30,101.31785100573138,-0.0012919562631682822,0.0,1.669150985939752e-06,0.023632202370223763
31,103.72553804047834,0.00047248724277757485,0.0,2.2324419458755494e-07,0.02363242561441835
32,105.44662305232609,-0.0005389338421987696,0.0,2.904496862671283e-07,0.02363271606410462
33,107.1686111842764,0.005590646461582329,0.0,3.1255327858403015e-05,0.02366397139196302
34,111.02953554316967,3.7473154063089616e-05,0.0,1.40423727543605e-09,0.023663972796200295
35,111.87465917699264,0.0037821947650106993,0.0,1.4304997240474339e-05,0.023678277793440772
36,114.32022091545271,0.00016694364454736778,0.0,2.7870180454757876e-08,0.023678305663621228
37,116.22668032085755,0.0016069972833637927,0.0,2.5824402687386098e-06,0.023680888103889963
38,118.79078286597621,-0.0010485226884923789,0.0,1.099399828283286e-06,0.02368198750371825
39,121.37012500242065,-0.001383379880302275,0.0,1.913739893225137e-06,0.02368390124361147
40,122.94682929355258,-0.0005120061351457265,0.0,2.621502824268639e-07,0.0236841633938939
41,124.25681855434577,0.0010556977685603631,0.0,1.11449777854333e-06,0.023685277891672442
42,127.5166838795965,-0.0008850546425569529,0.0,7.833217203116157e-07,0.023686061213392756
43,129.57870419995606,-0.000648084528991286,0.0,4.2001355671785714e-07,0.023686481226949472
44,131.08768853093267,0.00020589991932050603,0.0,4.2394776776190895e-08,0.023686523621726248
45,133.4977372029976,-0.00022585037198715287,0.0,5.100839052673533e-08,0.023686574630116777
46,134.75650975337388,5.2310625072170096e-05,0.0,2.7364014954411506e-09,0.02368657736651827
47,138.11604205453344,0.0009145152917174686,0.0,8.363382187850867e-07,0.023687413704737054
48,139.7362089521214,-0.0009063132178697761,0.0,8.214036488854682e-07,0.02368823510838594
49,141.12370740402113,0.004941211414158332,0.0,2.4415570239408582e-05,0.02371265067862535
50,143.11184580762063,-0.0033364145222193517,0.0,1.1131661864076186e-05,0.023723782340489427
