shell_start,zero_count_majorant,G_abs_envelope,axis_mass_majorant
60,6.947615997581148,0.243757768955985,0.41281240469052805
61,6.9560585238809285,0.23583121962954742,0.3868706839265059
62,6.964356352366055,0.22828511140518887,0.3629411082897632
63,6.972514275871031,0.22109548204624488,0.34083889478427776
64,6.980536854655384,0.21424022662147119,0.32039878645024
65,6.9884284311528075,0.20769892739444876,0.30147272697719635
66,6.99619314357232,0.20145270161651652,0.283927842538682
67,7.003834938456823,0.19548406510170327,0.26764468637457933
68,7.011357582293345,0.18977680974081876,0.252515708631716
69,7.0187646722594925,0.18431589335046125,0.23844391977731821
70,7.026059646181931,0.17908734045745836,0.22534172073697464
71,7.033245791775135,0.17407815279538702,0.21312987695096697
72,7.040326255221817,0.16927622844165624,0.20173661692981246
73,7.047304049150441,0.16467028865482192,0.19109683873520658
74,7.054182060059855,0.16024981158538093,0.1811514102088825
75,7.060963055236339,0.1560049721318304,0.17184655079501132
76,7.067649689204059,0.15192658729943664,0.16313328451383835
77,7.074244509746124,0.14800606649376724,0.1549669550964549
78,7.080749963530057,0.14423536624614497,0.14730679552515202
79,7.087168401368393,0.1406069489250995,0.14011554527560866
80,7.093502083142402,0.13711374503774157,0.1333591094551925
81,7.099753182414442,0.13374911876871604,0.12700625479996538
82,7.105923790752245,0.13050683644282363,0.1210283381516525
83,7.112015921786417,0.12738103763123038,0.11539906360161147
84,7.11803151502064,0.12436620865101275,0.11009426497575943
85,7.123972439412381,0.12145715823412401,0.10509171075425126
86,7.129840496740529,0.11864899516516306,0.10037092888235953
87,7.135637424774904,0.11593710770795956,0.09591304924282688
88,7.141364900261484,0.11331714465929055,0.09170066183199369
89,7.147024541736027,0.11078499788430071,0.08771768891821205
90,7.152617912177762,0.10833678620265999,0.08394926966649958
91,7.158146521513931,0.1059688405073718,0.08038165589235612
92,7.163611828985094,0.10367769000963445,0.07700211776382584
93,7.169015245380393,0.10146004951341728,0.07379885840734864
94,7.174358135151227,0.09931280763258782,0.07076093649237583
95,7.179641818411175,0.09723301587163945,0.06787819597440616
96,7.184867572829452,0.09521787849843164,0.06514120226797998
97,7.190036635424566,0.0932647431439628,0.06254118420193489
98,7.195150204264467,0.09137109207013182,0.060069981180314654
99,7.200209440078922,0.08953453405178512,0.0577199950349817
100,7.205215467789523,0.0877527968241546,0.05548414611128261
101,7.2101693779622895,0.08602372005112695,0.05335583317698477
102,7.215072228187539,0.08434524877369723,0.051328896787943036
103,7.219925044391317,0.08271542730149363,0.04939758578226271
104,7.224728822082434,0.08113239351345654,0.047556526608705255
105,7.229484527538851,0.07959437353664817,0.045800695225259314
106,7.234193098936913,0.07809967677479049,0.04412539133062916
107,7.238855447426706,0.07664669126050712,0.04252621471527608
108,7.243472458156574,0.07523387930740277,0.04099904353992859
109,7.2480449912496585,0.07385977344007626,0.039540014368465895
110,7.252573882735133,0.07252297258194595,0.03814550379903324
111,7.257059945436605,0.07122213848239152,0.03681211155240867
112,7.2615039698200565,0.06995599236619467,0.03553664489020731
113,7.265906724803472,0.06872331178961125,0.034316104247664014
114,7.27026895853025,0.0675229276886385,0.033147669976635395
115,7.274591399108292,0.06635372160616605,0.03202869010424676
116,7.27887475531659,0.06521462308572726,0.030956669021401234
117,7.283119717281005,0.06410460722050887,0.029929257023275917
118,7.287326957120843,0.06302269234713774,0.02894424063104802
119,7.291497129567707,0.06196793787455307,0.027999533630508316
120,7.295630872558064,0.06093944223899625,0.027093168769003816
121,7.299728807800825,0.059936340976814835,0.02622329005737343
122,7.3037915413212104,0.058957804907386856,0.025388145628257777
123,7.307819663982073,0.05800303841903272,0.024586081106430558
124,7.311813751983783,0.05707127785129722,0.02381553345065894
125,7.3157743673437245,0.05616178996745894,0.023075025230097627
126,7.3197020583564,0.05527387051156122,0.02236315930139073
127,7.32359736003507,0.05440684284466154,0.021678613855531242
128,7.327460794535792,0.053560056655367796,0.021020137806138706
129,7.331292871564731,0.05273288674007247,0.020386546493188204
130,7.335094088769482,0.05192473184861219,0.01977671767838071
131,7.338864932115188,0.051135013591372645,0.019189587810308096
132,7.342605876246123,0.05036317540412913,0.01862414853935396
133,7.34631738483344,0.04960868156716298,0.018079443463900377
134,7.349999910909688,0.04887101627542582,0.01755456509089689
135,7.353653897190706,0.048149682756737776,0.017048651995204018
136,7.357279776385469,0.04744420243520469,0.016560886163362074
137,7.3608779714944,0.0467541141372234,0.016090490508567926
138,7.364448896096686,0.04607897333761531,0.01563672654467753
139,7.367992954627059,0.04541835144358708,0.015198892207999247
140,7.37151054264251,0.04477183511436459,0.014776319816510569
141,7.375002047079372,0.044139025614483476,0.014368374156925427
142,7.378467846501183,0.043519538198846755,0.01397445069076847
143,7.381908311337723,0.04291300152777867,0.013593973871280984
144,7.385323804115602,0.04231905711041406,0.013226395563597296
145,7.388714679680754,0.041737358774865445,0.012871193561194184
146,7.392081285413157,0.04116757216370548,0.012527870192134213
147,7.395423961434144,0.04060937425339192,0.012195951009100698
148,7.3987430408065595,0.04006245289634523,0.011874983557660434
149,7.402038849728093,0.03952650638446673,0.011564536217594517
150,7.405311707718047,0.0390012430329576,0.011264197112509417
151,7.408561927797811,0.03848638078336678,0.010973573083283736
152,7.411789816665291,0.03798164682485916,0.010692288721222291
153,7.414995674863547,0.03748677723275432,0.010419985457081142
154,7.418179796943839,0.03700151662344181,0.010156320702396813
155,7.421342471623346,0.036525617824830214,0.009900967039801856
156,7.424483981937713,0.03605884156153624,0.009653611459239238
157,7.427604605388683,0.03560095615406491,0.009413954637200666
158,7.430704614086951,0.03515173723127488,0.009181710256311138
159,7.433784274890463,0.03471096745546244,0.008956604362764074
160,7.436843849538308,0.03427843625943539,0.00873837475928042
161,7.4398835947803885,0.033853939594982674,0.008526770431421415
162,7.442903762503015,0.03343727969217901,0.008321551005229879
163,7.4459045998505795,0.03302826482899417,0.00812248623430925
164,7.448886349343457,0.032626709110705907,0.00792935551457458
165,7.451849248992277,0.03223243225864264,0.0077419474250255
166,7.454793532408692,0.031845259407807594,0.007560059292998827
167,7.457719428912764,0.03146502091296016,0.007383496782458417
168,7.46062716363712,0.031091552162753187,0.007212073503973099
169,7.463516957627954,0.030724693401545673,0.007045610645119628
170,7.46638902794302,0.030364289558531002,0.006883936620128415
171,7.469243587746702,0.030010190083839334,0.00672688673766445
172,7.472080846402289,0.029662248791290764,0.006574302885705726
173,7.474901009561524,0.029320323707492598,0.006426033232546355
174,7.4777042792515385,0.02898427692698989,0.006281931943012214
175,7.480490853959267,0.028653974473193337,0.006141858909033404
176,7.483260928713425,0.028329286164822637,0.006005679493770464
177,7.486014695164123,0.028010085487616777,0.005873264288540479
178,7.488752341660215,0.027696249471075178,0.005744488881835096
179,7.491474053324448,0.027387658570005493,0.00561923363976533
180,7.494180012126494,0.027084196550664998,0.00549738349730807
181,7.496870396953921,0.02678575038129318,0.005378827759766668
182,7.499545383681194,0.02649221012684295,0.005263459913892916
183,7.502205145236752,0.026203468847727493,0.0051511774481505426
184,7.504849851668237,0.025919422502408612,0.005041881681630888
185,7.507479670205928,0.02563996985366095,0.004935477601160181
186,7.510094765324444,0.02536501237835432,0.004831873706164618
187,7.512695298802767,0.025094454180604134,0.004730981860884609
188,7.515281429782652,0.024828201908146955,0.004632717153553174
189,7.517853314825457,0.024566164671804988,0.004536997762175458
