x_lo,x_hi,y_lo,y_hi,depth,block_upper
8.497916666666667,8.5,-0.10083333333333333,-0.1,3,-6.0150374013085365e-06
8.495833333333334,8.497916666666667,-0.10083333333333333,-0.1,3,-2.074082404088157e-05
8.497916666666667,8.5,-0.10166666666666667,-0.10083333333333333,3,-3.366868521782351e-05
8.495833333333334,8.497916666666667,-0.10166666666666667,-0.10083333333333333,3,-4.76695332477189e-05
8.491666666666667,8.495833333333334,-0.10166666666666667,-0.1,2,-1.534557891273499e-05
8.495833333333334,8.5,-0.10333333333333333,-0.10166666666666667,2,-4.078855239313399e-05
8.491666666666667,8.495833333333334,-0.10333333333333333,-0.10166666666666667,2,-6.711305002000248e-05
8.4875,8.491666666666667,-0.10166666666666667,-0.1,2,-4.1172667428172705e-05
8.483333333333333,8.4875,-0.10166666666666667,-0.1,2,-6.389323612936989e-05
8.4875,8.491666666666667,-0.10333333333333333,-0.10166666666666667,2,-9.019700870596203e-05
8.483333333333333,8.4875,-0.10333333333333333,-0.10166666666666667,2,-0.00011028296589686336
8.491666666666667,8.5,-0.10666666666666667,-0.10333333333333333,1,-4.729600053352778e-05
8.483333333333333,8.491666666666667,-0.10666666666666667,-0.10333333333333333,1,-9.399260451089458e-05
8.483333333333333,8.5,-0.11333333333333334,-0.10666666666666667,0,-2.8329955196979123e-05
8.483333333333333,8.5,-0.12,-0.11333333333333334,0,-0.00023450842459294405
8.483333333333333,8.5,-0.12666666666666668,-0.12,0,-0.00044485151575972785
8.483333333333333,8.5,-0.13333333333333336,-0.12666666666666668,0,-0.0006579659496128736
8.483333333333333,8.5,-0.14,-0.13333333333333336,0,-0.0008723732364421494
8.483333333333333,8.5,-0.14666666666666667,-0.14,0,-0.0010865083993220213
8.483333333333333,8.5,-0.15333333333333335,-0.14666666666666667,0,-0.0012987186247531118
8.483333333333333,8.5,-0.16,-0.15333333333333335,0,-0.0015072618396312547
8.483333333333333,8.5,-0.16666666666666669,-0.16,0,-0.0017103052138058138
8.483333333333333,8.5,-0.17333333333333334,-0.16666666666666669,0,-0.00190592358768258
8.483333333333333,8.5,-0.18,-0.17333333333333334,0,-0.0020920978245326906
8.483333333333333,8.5,-0.18666666666666668,-0.18,0,-0.002266713087369606
8.483333333333333,8.5,-0.19333333333333336,-0.18666666666666668,0,-0.0024275570404325895
8.483333333333333,8.5,-0.2,-0.19333333333333336,0,-0.00257231797545001
8.475,8.483333333333333,-0.10333333333333333,-0.1,1,-4.38716270972237e-05
8.466666666666667,8.475,-0.10333333333333333,-0.1,1,-7.842505837785905e-05
8.475,8.483333333333333,-0.10666666666666667,-0.10333333333333333,1,-0.00012905886898289046
8.466666666666667,8.475,-0.10666666666666667,-0.10333333333333333,1,-0.00015426752194363597
8.466666666666667,8.483333333333333,-0.11333333333333334,-0.10666666666666667,0,-0.00010388318480139555
8.466666666666667,8.483333333333333,-0.12,-0.11333333333333334,0,-0.000266997092827471
8.466666666666667,8.483333333333333,-0.12666666666666668,-0.12,0,-0.000432427602593773
8.466666666666667,8.483333333333333,-0.13333333333333336,-0.12666666666666668,0,-0.000598906958999112
8.466666666666667,8.483333333333333,-0.14,-0.13333333333333336,0,-0.0007650914858752525
8.466666666666667,8.483333333333333,-0.14666666666666667,-0.14,0,-0.0009295607058669161
8.466666666666667,8.483333333333333,-0.15333333333333335,-0.14666666666666667,0,-0.0010908164118845686
8.466666666666667,8.483333333333333,-0.16,-0.15333333333333335,0,-0.0012472816897429468
8.466666666666667,8.483333333333333,-0.16666666666666669,-0.16,0,-0.0013972998919564792
8.466666666666667,8.483333333333333,-0.17333333333333334,-0.16666666666666669,0,-0.0015391335630746525
8.466666666666667,8.483333333333333,-0.18,-0.17333333333333334,0,-0.0016709633173772123
8.466666666666667,8.483333333333333,-0.18666666666666668,-0.18,0,-0.0017908866701787027
8.466666666666667,8.483333333333333,-0.19333333333333336,-0.18666666666666668,0,-0.0018969168243808349
8.466666666666667,8.483333333333333,-0.2,-0.19333333333333336,0,-0.001986981414228421
8.45,8.466666666666667,-0.10666666666666667,-0.1,0,-1.7181625894013355e-05
8.45,8.466666666666667,-0.11333333333333334,-0.10666666666666667,0,-0.00014230829984941074
8.45,8.466666666666667,-0.12,-0.11333333333333334,0,-0.00026941199068655894
8.45,8.466666666666667,-0.12666666666666668,-0.12,0,-0.00039741990159906644
8.45,8.466666666666667,-0.13333333333333336,-0.12666666666666668,0,-0.0005251932454534448
8.45,8.466666666666667,-0.14,-0.13333333333333336,0,-0.000651526785414272
8.45,8.466666666666667,-0.14666666666666667,-0.14,0,-0.0007751483508042919
8.45,8.466666666666667,-0.15333333333333335,-0.14666666666666667,0,-0.0008947183275581043
8.45,8.466666666666667,-0.16,-0.15333333333333335,0,-0.0010088291231458043
8.45,8.466666666666667,-0.16666666666666669,-0.16,0,-0.0011160046065000016
8.45,8.466666666666667,-0.17333333333333334,-0.16666666666666669,0,-0.0012146995242353902
8.45,8.466666666666667,-0.18,-0.17333333333333334,0,-0.0013032988952528983
8.45,8.466666666666667,-0.18666666666666668,-0.18,0,-0.0013801173866118223
8.45,8.466666666666667,-0.19333333333333336,-0.18666666666666668,0,-0.0014433986742722566
8.45,8.466666666666667,-0.2,-0.19333333333333336,0,-0.0014913147928996087
8.433333333333334,8.45,-0.10666666666666667,-0.1,0,-5.864383343678862e-05
8.433333333333334,8.45,-0.11333333333333334,-0.10666666666666667,0,-0.0001552510428959762
8.433333333333334,8.45,-0.12,-0.11333333333333334,0,-0.00025268236747066946
8.433333333333334,8.45,-0.12666666666666668,-0.12,0,-0.00034998593247886656
8.433333333333334,8.45,-0.13333333333333336,-0.12666666666666668,0,-0.00044615300376196857
8.433333333333334,8.45,-0.14,-0.13333333333333336,0,-0.0005401179001187834
8.433333333333334,8.45,-0.14666666666666667,-0.14,0,-0.0006307579021393723
8.433333333333334,8.45,-0.15333333333333335,-0.14666666666666667,0,-0.0007168931562360622
8.433333333333334,8.45,-0.16,-0.15333333333333335,0,-0.0007972865735558687
8.433333333333334,8.45,-0.16666666666666669,-0.16,0,-0.000870643724600258
8.433333333333334,8.45,-0.17333333333333334,-0.16666666666666669,0,-0.0009356127317029824
8.433333333333334,8.45,-0.18,-0.17333333333333334,0,-0.0009907841629309272
8.433333333333334,8.45,-0.18666666666666668,-0.18,0,-0.0010346909323679077
8.433333333333334,8.45,-0.19333333333333336,-0.18666666666666668,0,-0.0010658082130036283
8.433333333333334,8.45,-0.2,-0.19333333333333336,0,-0.0010825533694724576
8.416666666666666,8.433333333333334,-0.10666666666666667,-0.1,0,-7.843514817366747e-05
8.416666666666666,8.433333333333334,-0.11333333333333334,-0.10666666666666667,0,-0.00015181164995951393
8.416666666666666,8.433333333333334,-0.12,-0.11333333333333334,0,-0.00022518546388030258
8.416666666666666,8.433333333333334,-0.12666666666666668,-0.12,0,-0.00029772449690959195
8.416666666666666,8.433333333333334,-0.13333333333333336,-0.12666666666666668,0,-0.00036854881694114094
8.416666666666666,8.433333333333334,-0.14,-0.13333333333333336,0,-0.00043673093621672077
8.416666666666666,8.433333333333334,-0.14666666666666667,-0.14,0,-0.0005012961092922501
8.416666666666666,8.433333333333334,-0.15333333333333335,-0.14666666666666667,0,-0.0005612226427255725
8.416666666666666,8.433333333333334,-0.16,-0.15333333333333335,0,-0.0006154422151486744
8.416666666666666,8.433333333333334,-0.16666666666666669,-0.16,0,-0.0006628402083420015
8.416666666666666,8.433333333333334,-0.17333333333333334,-0.16666666666666669,0,-0.0007022560522320602
8.416666666666666,8.433333333333334,-0.18,-0.17333333333333334,0,-0.0007324835892126832
8.416666666666666,8.433333333333334,-0.18666666666666668,-0.18,0,-0.0007522714656402811
8.416666666666666,8.433333333333334,-0.19333333333333336,-0.18666666666666668,0,-0.0007603235605574747
8.416666666666666,8.433333333333334,-0.2,-0.19333333333333336,0,-0.0007552994634521247
8.4,8.416666666666666,-0.10666666666666667,-0.1,0,-8.410708879223187e-05
8.4,8.416666666666666,-0.11333333333333334,-0.10666666666666667,0,-0.00013887811556105041
8.4,8.416666666666666,-0.12,-0.11333333333333334,0,-0.00019309316512628022
8.4,8.416666666666666,-0.12666666666666668,-0.12,0,-0.00024603662155893663
8.4,8.416666666666666,-0.13333333333333336,-0.12666666666666668,0,-0.00029695380656848006
8.4,8.416666666666666,-0.14,-0.13333333333333336,0,-0.0003450516369982359
8.4,8.416666666666666,-0.14666666666666667,-0.14,0,-0.00038949931022625166
8.4,8.416666666666666,-0.15333333333333335,-0.14666666666666667,0,-0.00042942901111733286
8.4,8.416666666666666,-0.16,-0.15333333333333335,0,-0.00046393663661277316
8.4,8.416666666666666,-0.16666666666666669,-0.16,0,-0.0004920825373999147
8.4,8.416666666666666,-0.17333333333333334,-0.16666666666666669,0,-0.0005128922801463148
8.4,8.416666666666666,-0.18,-0.17333333333333334,0,-0.0005253574381854808
8.4,8.416666666666666,-0.18666666666666668,-0.18,0,-0.0005284364229074316
8.4,8.416666666666666,-0.19333333333333336,-0.18666666666666668,0,-0.0005210553720161504
8.4,8.416666666666666,-0.2,-0.19333333333333336,0,-0.0005021091138656197
8.383333333333333,8.4,-0.10666666666666667,-0.1,0,-8.131175041002052e-05
8.383333333333333,8.4,-0.11333333333333334,-0.10666666666666667,0,-0.0001214574224338567
8.383333333333333,8.4,-0.12,-0.11333333333333334,0,-0.00016071627437199142
