seed,first_vortex,fi1pct,lead_1pct,fi2pct,lead_2pct,fi_at_vortex,max_vort,Ekin0
0,0.35000000000000003,0.25,0.10000000000000003,0.3,0.050000000000000044,0.05570515588076179,188,1516.0242846758022
1,0.35000000000000003,0.25,0.10000000000000003,0.325,0.025000000000000022,0.034082784209605484,186,1396.6965668664188
2,0.35000000000000003,0.25,0.10000000000000003,0.325,0.025000000000000022,0.03390939161243831,174,1182.8814866513815
3,0.35000000000000003,0.25,0.10000000000000003,0.3,0.050000000000000044,0.04145574758463149,154,1282.291377250539
4,0.35000000000000003,0.25,0.10000000000000003,0.3,0.050000000000000044,0.0487278496217951,170,1352.541192270167
5,0.4,0.275,0.125,0.325,0.07500000000000001,0.04321271500117894,148,1270.354628053503
6,0.325,0.25,0.07500000000000001,0.3,0.025000000000000022,0.028627689657266447,150,1277.9131433733082
7,0.3,0.225,0.07499999999999998,0.275,0.024999999999999967,0.03152443192935005,170,1338.8081703494602
8,0.4,0.275,0.125,0.325,0.07500000000000001,0.04441655651039396,176,1239.5903823286321
9,0.375,0.25,0.125,0.3,0.07500000000000001,0.050782520422471625,176,1372.8351679665843
10,0.3,0.25,0.04999999999999999,0.3,0.0,0.021592397461831423,172,1355.3600602491267
11,0.275,0.275,0.0,0.3,-0.024999999999999967,0.014603423038540004,144,1140.821596890857
12,0.35000000000000003,0.25,0.10000000000000003,0.325,0.025000000000000022,0.03541476234399841,178,1332.730204282565
13,0.3,0.225,0.07499999999999998,0.3,0.0,0.027895781281813522,188,1460.1404438502243
14,0.3,0.25,0.04999999999999999,0.3,0.0,0.029236118703743024,164,1364.1923249205624
15,0.35000000000000003,0.25,0.10000000000000003,0.325,0.025000000000000022,0.03498030719952989,150,1285.1193161438216
16,0.375,0.25,0.125,0.3,0.07500000000000001,0.05088440579152302,174,1333.054400347243
17,0.325,0.25,0.07500000000000001,0.3,0.025000000000000022,0.03351036176889271,168,1379.906445440421
18,0.275,0.225,0.05000000000000002,0.275,0.0,0.02210196426033127,160,1243.8230978753372
19,0.3,0.25,0.04999999999999999,0.325,-0.025000000000000022,0.019154964673505442,154,1235.3085224851907
