x,y,block,inside_target
10.0,-0.45,0.11440429496078203,False
10.125,-0.45,0.26754361256198883,False
10.25,-0.45,0.2570161232195513,False
10.375,-0.45,0.1213490287068293,False
10.5,-0.45,-0.051966864395581014,False
10.625,-0.45,-0.1710736006449187,False
10.75,-0.45,-0.18063096963562777,False
10.875,-0.45,-0.08238490100498805,False
11.0,-0.45,0.07120939979003559,False
11.125,-0.45,0.20503311640928484,False
11.25,-0.45,0.2570161232195539,False
11.375,-0.45,0.2053916073627632,False
11.5,-0.45,0.07626056495257673,False
11.625,-0.45,-0.07044189686171122,False
11.75,-0.45,-0.16901680866359067,False
11.875,-0.45,-0.17699198779835937,False
12.0,-0.45,-0.09239367529352002,False
12.125,-0.45,0.04744257572044923,False
12.25,-0.45,0.18384678580303446,False
12.375,-0.45,0.2627643248710204,False
12.5,-0.45,0.25701612321956024,False
12.625,-0.45,0.1755883452699518,False
12.75,-0.45,0.056912605844784345,False
12.875,-0.45,-0.049769159617291864,False
13.0,-0.45,-0.10600267102395605,False
13.125,-0.45,-0.09911526677225081,False
13.25,-0.45,-0.044653593482394095,False
13.375,-0.45,0.023715109749591404,False
13.5,-0.45,0.07128036984961013,False
13.625,-0.45,0.07810831281525006,False
13.75,-0.45,0.04655636846375735,False
13.875,-0.45,-0.002284274583156283,False
14.0,-0.45,-0.04072507693833649,False
14.125,-0.45,-0.048894686615067795,False
14.25,-0.45,-0.024426002439152005,False
14.375,-0.45,0.017026252743203234,False
14.5,-0.45,0.05036771853121993,False
14.625,-0.45,0.05436212156172627,False
14.75,-0.45,0.023113564216353445,False
14.875,-0.45,-0.02985969878545463,False
15.0,-0.45,-0.0770392033980284,False
15.125,-0.45,-0.08945345212361595,False
15.25,-0.45,-0.05067598240829423,False
15.375,-0.45,0.0341482323842557,False
15.5,-0.45,0.1385258350215659,False
15.625,-0.45,0.22431952431575702,False
15.75,-0.45,0.25701612321954875,False
15.875,-0.45,0.22019118047163558,False
16.0,-0.45,0.12308425294059358,False
16.125,-0.45,-0.0019518812208151326,False
16.25,-0.45,-0.11119539081774107,False
16.375,-0.45,-0.16583686061214356,False
16.5,-0.45,-0.14638790808138355,False
16.625,-0.45,-0.05967642424450026,False
16.75,-0.45,0.06406597634535782,False
16.875,-0.45,0.18260787419299232,False
17.0,-0.45,0.2570161232195495,False
17.125,-0.45,0.2650140585293787,False
17.25,-0.45,0.2076393799371915,False
17.375,-0.45,0.10725367774531874,False
17.5,-0.45,-0.0017067597547938546,False
