index,t,value_midpoint,value_lower,value_upper
0,-3.0,0.0,0.0,0.0
1,-2.9899999999999998,-0.0037936914756668346,-0.0037936914756668346,-0.0037936914756668346
2,-2.98,-0.07530012852804126,-0.07530012852804126,-0.07530012852804126
3,-2.9699999999999998,-0.20204588573261992,-0.20204588573261992,-0.20204588573261992
4,-2.96,-0.3283923604648609,-0.3283923604648609,-0.3283923604648609
5,-2.9499999999999997,-0.4363390770386002,-0.4363390770386002,-0.4363390770386002
6,-2.94,-0.5236773660665249,-0.5236773660665249,-0.5236773660665249
7,-2.9299999999999997,-0.5923662332171079,-0.5923662332171079,-0.5923662332171079
8,-2.92,-0.6449734250095652,-0.6449734250095652,-0.6449734250095652
9,-2.9099999999999997,-0.6837158776298081,-0.6837158776298081,-0.6837158776298081
10,-2.9,-0.7102646775429665,-0.7102646775429665,-0.7102646775429665
11,-2.8899999999999997,-0.725757623690832,-0.725757623690832,-0.725757623690832
12,-2.88,-0.7308506388188016,-0.7308506388188016,-0.7308506388188016
13,-2.8699999999999997,-0.7257605320244661,-0.7257605320244661,-0.7257605320244661
14,-2.86,-0.7242098018159485,-0.7242098018159485,-0.7242098018159485
15,-2.8499999999999996,-0.7545628489993763,-0.7545628489993763,-0.7545628489993763
16,-2.84,-0.7851621915919837,-0.7851621915919837,-0.7851621915919837
17,-2.8299999999999996,-0.7953664886529217,-0.7953664886529217,-0.7953664886529217
18,-2.82,-0.7786563106026111,-0.7786563106026111,-0.7786563106026111
19,-2.8099999999999996,-0.7327528826820388,-0.7327528826820388,-0.7327528826820388
20,-2.8,-0.6570048628736656,-0.6570048628736656,-0.6570048628736656
21,-2.7899999999999996,-0.5549215605706408,-0.5549215605706408,-0.5549215605706408
22,-2.78,-0.4455438712575087,-0.4455438712575087,-0.4455438712575087
23,-2.7699999999999996,-0.3852585441139042,-0.3852585441139042,-0.3852585441139042
24,-2.76,-0.38701706556261706,-0.38701706556261706,-0.38701706556261706
25,-2.75,-0.38713434387952794,-0.38713434387952794,-0.38713434387952794
26,-2.7399999999999998,-0.3805993143020865,-0.3805993143020865,-0.3805993143020865
27,-2.73,-0.34104107871361966,-0.34104107871361966,-0.34104107871361966
28,-2.7199999999999998,-0.2707297914105723,-0.2707297914105723,-0.2707297914105723
29,-2.71,-0.19309486051413896,-0.19309486051413896,-0.19309486051413896
30,-2.6999999999999997,-0.11522384039649157,-0.11522384039649157,-0.11522384039649157
31,-2.69,-0.03690851830709995,-0.03690851830709995,-0.03690851830709995
32,-2.6799999999999997,0.04396721957631369,0.04396721957631369,0.04396721957631369
33,-2.67,0.12886884540357407,0.12886884540357407,0.12886884540357407
34,-2.6599999999999997,0.21478783533083176,0.21478783533083176,0.21478783533083176
35,-2.65,0.28440423715275504,0.28440423715275504,0.28440423715275504
36,-2.6399999999999997,0.3067974199802539,0.3067974199802539,0.3067974199802539
37,-2.63,0.30914812579823014,0.30914812579823014,0.30914812579823014
38,-2.6199999999999997,0.30718282717685413,0.30718282717685413,0.30718282717685413
39,-2.61,0.3180514209778226,0.3180514209778226,0.3180514209778226
40,-2.5999999999999996,0.3846006097926104,0.3846006097926104,0.3846006097926104
41,-2.59,0.4652987093041136,0.4652987093041136,0.4652987093041136
42,-2.5799999999999996,0.5316277799900044,0.5316277799900044,0.5316277799900044
43,-2.57,0.5761408239034538,0.5761408239034538,0.5761408239034538
44,-2.5599999999999996,0.5980241211917473,0.5980241211917473,0.5980241211917473
45,-2.55,0.5982263527685975,0.5982263527685975,0.5982263527685975
46,-2.5399999999999996,0.5793686457973002,0.5793686457973002,0.5793686457973002
47,-2.53,0.5500569486212709,0.5500569486212709,0.5500569486212709
48,-2.5199999999999996,0.5342086172227457,0.5342086172227457,0.5342086172227457
