candidate_id,screen_min_outside,parity,phi,tx,ty,sampled_kmax,min_radial_dot
0.000000000000000000e+00,7.866701504860786238e-04,-1.000000000000000000e+00,3.612195120640365520e+00,-7.846595507242076772e-02,7.011555038711170251e-01,1.136096809395677809e+01,9.999846485952167997e-04
1.000000000000000000e+00,3.198168132462837938e-03,-1.000000000000000000e+00,3.811292285730518259e+00,-6.834093691471640475e-02,6.923700622888079304e-01,1.443376132746199580e+01,9.999675958496114479e-04
2.000000000000000000e+00,1.850892464661952610e-03,-1.000000000000000000e+00,3.645770435447064362e+00,-7.791232009781029477e-02,7.066993389270816994e-01,2.331109463753819711e+01,9.998759602042471724e-04
3.000000000000000000e+00,2.405301118601911158e-03,-1.000000000000000000e+00,3.326473330469230660e+00,4.292291853610859242e-02,6.650022962533308490e-01,1.730941220543887837e+01,9.999407705930953537e-04
4.000000000000000000e+00,2.114847106683559875e-05,-1.000000000000000000e+00,3.886736469070546374e+00,-8.134206880304660492e-02,7.082486082862570198e-01,1.911033770969891066e+01,9.999639607576739191e-04
5.000000000000000000e+00,3.160749081163041589e-03,-1.000000000000000000e+00,3.689760322840726303e+00,-6.073681761034634835e-02,6.933846149457442154e-01,1.829373181076479327e+01,9.999549689262835547e-04
6.000000000000000000e+00,6.828470330260376017e-03,1.000000000000000000e+00,5.805804038636024345e+00,-4.258128892153861811e-02,1.372894793572865257e-02,2.146449356900493299e+01,9.999738289919685250e-04
7.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,3.651351613957078523e+00,-8.790271280820170785e-02,7.292345791548584533e-01,1.766263386422402704e+01,9.999231739218309312e-04
8.000000000000000000e+00,6.803104341185780505e-04,-1.000000000000000000e+00,3.755570076670291968e+00,-8.033571405967927792e-02,7.058266248641301699e-01,1.930875501208499045e+01,9.999077393690459885e-04
9.000000000000000000e+00,2.482003010896564887e-03,-1.000000000000000000e+00,3.798819266261123317e+00,-7.202408006776293836e-02,6.997420890463704746e-01,1.960397801015167474e+01,9.999784484639030573e-04
1.000000000000000000e+01,9.118608244623373910e-03,1.000000000000000000e+00,5.843796297972406961e+00,-7.171936681375079559e-02,-6.746912927733772491e-03,1.888009715911026376e+01,9.999497206242128396e-04
1.100000000000000000e+01,2.308717550648103781e-04,-1.000000000000000000e+00,3.687515418673092960e+00,-8.407821069748337706e-02,7.144312323287151933e-01,2.384411630005337557e+01,9.998579242516433645e-04
1.200000000000000000e+01,1.554725751922877552e-03,-1.000000000000000000e+00,3.298078564905038146e+00,4.051085428117847526e-02,6.694364611317514813e-01,1.582421429875299701e+01,9.999405572546802776e-04
1.300000000000000000e+01,2.336895395672152452e-03,-1.000000000000000000e+00,3.692607637176772428e+00,-6.863380488463502460e-02,6.988546897766565458e-01,1.704851165908707955e+01,9.999487601328048599e-04
1.400000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,3.782099291399946051e+00,-8.152336531912152129e-02,7.106720825868608760e-01,1.645884194559118896e+01,9.999672086358647044e-04
1.500000000000000000e+01,2.164822550973054130e-04,-1.000000000000000000e+00,3.492409286227350140e+00,-7.824802943788580767e-02,7.143740935037158346e-01,1.341653626556345102e+01,9.999568147111327372e-04
1.600000000000000000e+01,1.220618933808374296e-03,-1.000000000000000000e+00,3.810071639540383526e+00,-8.068155358764153573e-02,7.005145282506807236e-01,2.088622931791439186e+01,9.999673535798308220e-04
1.700000000000000000e+01,3.470581599472279469e-03,-1.000000000000000000e+00,3.929389082810367029e+00,-7.237890952628801833e-02,6.883927937077636283e-01,2.342060652315072389e+01,9.999664335785098199e-04
