T,min_hessian_eigenvalue,negative_modes
0.5,0.08016219562000515,0
0.529608938547486,0.07544071002735109,0
0.5592178770949721,0.07120613771314765,0
0.5888268156424581,0.06738502591508677,0
0.6184357541899441,0.06391798870549792,0
0.6480446927374302,0.060756493446774584,0
0.6776536312849162,0.05786048971015134,0
0.7072625698324022,0.0551966337735621,0
0.7368715083798882,0.05273694117897776,0
0.7664804469273743,0.050457751597377865,0
0.7960893854748603,0.04833892469252987,0
0.8256983240223463,0.04636320899942348,0
0.8553072625698324,0.04451574189033636,0
0.8849162011173184,0.04278364992785555,0
0.9145251396648044,0.041155726851798136,0
0.9441340782122905,0.0396221721572374,0
0.9737430167597765,0.03817437736887541,0
1.0033519553072625,0.03680475015647744,0
1.0329608938547485,0.03550656870027069,0
1.0625698324022346,0.034273860405619416,0
1.0921787709497206,0.03310130034520853,0
1.1217877094972066,0.03198412578541365,0
1.1513966480446927,0.030918063900116977,0
1.1810055865921787,0.02989927035855544,0
1.2106145251396647,0.028924276925067716,0
1.2402234636871508,0.027989946564900947,0
1.2698324022346368,0.027093434830760543,0
1.2994413407821228,0.0262321565285788,0
1.3290502793296088,0.02540375683872753,0
1.3586592178770949,0.024606086213793787,0
1.388268156424581,0.023837178488349764,0
1.417877094972067,0.023095231731190324,0
1.447486033519553,0.022378591448443785,0
1.477094972067039,0.021685735805988315,0
1.5067039106145252,0.021015262594630713,0
1.5363128491620113,0.020365877703000024,0
1.5659217877094973,0.019736384897441894,0
1.5955307262569833,0.019125676740486597,0
1.6251396648044694,0.018532726501462093,0
1.6547486033519554,0.01795658093635666,0
1.6843575418994414,0.017396353828530664,0
1.7139664804469275,0.016851220199328054,0
1.7435754189944135,0.01632041110821092,0
1.7731843575418995,0.015803208974375593,0
1.8027932960893855,0.015298943358970973,0
1.8324022346368716,0.014806987156418927,0
1.8620111731843576,0.014326753148964144,0
1.8916201117318436,0.013857690885060947,0
1.9212290502793297,0.013399283846155186,0
1.9508379888268157,0.012951046871648941,0
1.9804469273743017,0.01251252381479162,0
2.010055865921788,0.012083285405736888,0
2.0396648044692736,0.011662927300790216,0
2.06927374301676,0.01125106829894662,0
2.0988826815642456,0.01084734870966031,0
2.128491620111732,0.010451428856669054,0
2.1581005586592177,0.01006298770499825,0
2.187709497206704,0.009681721599520188,0
2.2173184357541897,0.00930734310452408,0
2.246927374301676,0.008939579935059783,0
2.276536312849162,0.008578173971670822,0
2.3061452513966483,0.008222880351070216,0
2.335754189944134,0.007873466625824221,0
2.3653631284916203,0.007529711987416476,0
2.394972067039106,0.007191406546695589,0
2.4245810055865924,0.006858350667158675,0
2.454189944134078,0.006530354346466538,0
2.4837988826815645,0.006207236642268299,0
2.5134078212290505,0.005888825138413267,0
2.5430167597765365,0.00557495544876474,0
2.5726256983240225,0.005265470754977741,0
2.6022346368715086,0.004960221375966967,0
2.6318435754189946,0.004659064366535404,0
