case,epsilon,action_difference
short_before_conjugate,-1.2,1.0565034253914871
short_before_conjugate,-1.19,1.0389684032617363
short_before_conjugate,-1.18,1.0215801177188455
short_before_conjugate,-1.17,1.0043385687628144
short_before_conjugate,-1.16,0.9872437563936427
short_before_conjugate,-1.15,0.9702956806113311
short_before_conjugate,-1.14,0.953494341415879
short_before_conjugate,-1.13,0.9368397388072868
short_before_conjugate,-1.1199999999999999,0.9203318727855543
short_before_conjugate,-1.1099999999999999,0.9039707433506817
short_before_conjugate,-1.0999999999999999,0.8877563505026687
short_before_conjugate,-1.0899999999999999,0.8716886942415154
short_before_conjugate,-1.08,0.8557677745672222
short_before_conjugate,-1.0699999999999998,0.839993591479788
short_before_conjugate,-1.06,0.8243661449792143
short_before_conjugate,-1.05,0.8088854350655001
short_before_conjugate,-1.04,0.7935514617386458
short_before_conjugate,-1.03,0.7783642249986511
short_before_conjugate,-1.02,0.7633237248455161
short_before_conjugate,-1.01,0.7484299612792407
short_before_conjugate,-1.0,0.7336829342998252
short_before_conjugate,-0.99,0.7190826439072695
short_before_conjugate,-0.98,0.7046290901015736
short_before_conjugate,-0.97,0.6903222728827372
short_before_conjugate,-0.96,0.6761621922507607
short_before_conjugate,-0.95,0.6621488482056439
short_before_conjugate,-0.94,0.6482822407473868
short_before_conjugate,-0.9299999999999999,0.6345623698759897
short_before_conjugate,-0.9199999999999999,0.6209892355914521
short_before_conjugate,-0.9099999999999999,0.6075628378937743
short_before_conjugate,-0.8999999999999999,0.5942831767829564
short_before_conjugate,-0.8899999999999999,0.5811502522589981
short_before_conjugate,-0.8799999999999999,0.5681640643218995
short_before_conjugate,-0.8699999999999999,0.5553246129716607
short_before_conjugate,-0.8599999999999999,0.5426318982082816
short_before_conjugate,-0.8499999999999999,0.5300859200317624
short_before_conjugate,-0.84,0.517686678442103
short_before_conjugate,-0.83,0.5054341734393032
short_before_conjugate,-0.82,0.4933284050233631
short_before_conjugate,-0.8099999999999999,0.48136937319428286
short_before_conjugate,-0.7999999999999999,0.46955707795206225
short_before_conjugate,-0.7899999999999999,0.4578915192967015
short_before_conjugate,-0.78,0.4463726972282005
short_before_conjugate,-0.77,0.43500061174655924
short_before_conjugate,-0.76,0.4237752628517777
short_before_conjugate,-0.75,0.41269665054385585
short_before_conjugate,-0.74,0.4017647748227937
