case,T,pi_over_omega,max_abs_path_error,max_abs_total_action_gradient,max_abs_local_EL_residual,min_hessian_eigenvalue,negative_hessian_modes,stationary_action,kinetic_action_part,potential_action_part
short_before_conjugate,2.0,3.141592653589793,4.18996954565376e-06,1.1562972801471005e-13,1.3875567361765206e-11,0.012228048905036943,0,-0.2288302903840762,0.4903112901948963,-0.7191415805789725
long_after_conjugate,4.0,3.141592653589793,6.285246622383944e-05,1.0695264118787406e-13,6.417089082333405e-12,-0.006385975547533016,1,0.43179016828669736,1.9617328688643592,-1.5299427005776618
