connector_type,steady_bias_abs_error,post_removal_integrated_abs_error,peak_abs_x,recovery_time_after_bias_removal,connector_effort_integral_c2,final_x,operational_cost
none,2.8931336836290447,24.629196097451995,2.9473646516675553,69.47999999999999,0.0,0.0022689875727964965,2.6549130735840603
proportional,1.6950623196806585,4.62091701831031,1.6951319641235203,14.260000000000005,13.998325911457687,-2.063222404023411e-11,0.9822423006766111
leaky_memory,0.5294392726017267,19.3093089540801,1.8422785918951379,73.78,26.346998970230832,-0.004237433430092035,1.2410679673166862
integral_memory,0.11380020986964869,35.17196247174165,1.8507266777110485,,31.80165995015791,-0.069262446939145,1.6643161349651843
composite,2.1344073841631714e-05,10.371392500399816,1.1927757894286508,33.56,29.156635508193197,-2.647555233041511e-07,0.41743203016084973
