connector_type,path_A_final_connector,path_B_final_connector,absolute_final_gap,same_current_x,same_total_integral
instantaneous,-1.2664165549094176e-14,1.2664165549094176e-14,2.532833109818835e-14,True,True
integral,-1.923367675436453e-11,1.923367675436453e-11,3.846735350872906e-11,True,True
leaky,-0.29616174902420417,0.29616174902420417,0.5923234980484083,True,True
multiscale,-0.18435380648835759,0.18435380648835759,0.36870761297671517,True,True
