beta,load_fraction,connector_reserve,connector_differential_authority,max_real_eigenvalue,stability_margin
0.02,0.0,1.0,1.0,-0.03525047585971379,0.03525047585971379
0.02,0.0033411371237458192,0.9966588628762542,0.9999888368027203,-0.035250485458001427,0.035250485458001427
0.02,0.0066822742474916385,0.9933177257525083,0.9999553472108813,-0.03525051425290054,0.03525051425290054
0.02,0.010023411371237457,0.9899765886287626,0.9998995312244829,-0.03525056224451975,0.03525056224451975
0.02,0.013364548494983277,0.9866354515050167,0.9998213888435252,-0.035250629433039846,0.035250629433039846
0.02,0.016705685618729097,0.9832943143812709,0.9997209200680082,-0.03525071581871432,0.03525071581871432
0.02,0.020046822742474914,0.9799531772575251,0.9995981248979318,-0.035250821401868665,0.035250821401868665
0.02,0.023387959866220734,0.9766120401337792,0.999453003333296,-0.03525094618290099,0.03525094618290099
0.02,0.026729096989966554,0.9732709030100335,0.9992855553741009,-0.03525109016228174,0.03525109016228174
0.02,0.030070234113712374,0.9699297658862877,0.9990957810203466,-0.03525125334055386,0.03525125334055386
0.02,0.033411371237458194,0.9665886287625418,0.9988836802720328,-0.03525143571833231,0.03525143571833231
0.02,0.036752508361204014,0.963247491638796,0.9986492531291596,-0.03525163729630491,0.03525163729630491
0.02,0.04009364548494983,0.9599063545150501,0.9983924995917272,-0.03525185807523166,0.03525185807523166
0.02,0.04343478260869565,0.9565652173913044,0.9981134196597353,-0.03525209805594494,0.03525209805594494
0.02,0.04677591973244147,0.9532240802675586,0.9978120133331841,-0.03525235723934976,0.03525235723934976
0.02,0.05011705685618729,0.9498829431438127,0.9974882806120737,-0.03525263562642329,0.03525263562642329
0.02,0.05345819397993311,0.9465418060200669,0.9971422214964039,-0.035252933218215314,0.035252933218215314
0.02,0.05679933110367893,0.943200668896321,0.9967738359861746,-0.035253250015847976,0.035253250015847976
0.02,0.06014046822742475,0.9398595317725753,0.9963831240813861,-0.03525358602051605,0.03525358602051605
0.02,0.06348160535117056,0.9365183946488295,0.9959700857820383,-0.03525394123348671,0.03525394123348671
0.02,0.06682274247491639,0.9331772575250836,0.995534721088131,-0.03525431565609957,0.03525431565609957
0.02,0.0701638795986622,0.9298361204013378,0.9950770299996644,-0.035254709289766664,0.035254709289766664
0.02,0.07350501672240803,0.9264949832775919,0.9945970125166386,-0.03525512213597294,0.03525512213597294
