bias,connector_capacity,load_fraction_abs_bias_over_capacity,zero_error_equilibrium_exists,theoretical_z_star,triadic_final_x,triadic_final_connector_output,triadic_max_abs_x,dyadic_final_x,dyadic_max_abs_x
0.4,1.0,0.4,True,0.42364893019360184,0.00035521839999088696,0.4003912260242005,1.215599160594404,2.4895074874430176,2.498149967581625
0.9,1.0,0.9,True,1.4722194895832204,-0.001018113813035715,0.8998756179680883,2.541603298007485,3.2998964798846786,3.4521655497653785
1.2,1.0,1.2,False,,1.8144095898842174,1.0,3.149245972604424,3.590004534647324,3.846456604236355
