separation,scale,loss_from_zero_same_evaluator,phi1,phi2
0.0,0.9989143411562035,0.0,0.15484436584905983,0.12388814470614636
0.0005,0.9989143327177264,-8.438477028249736e-09,0.1548439055148039,0.12388860393101309
0.001,0.9989143073423534,-3.381385005329918e-08,0.15484252198744006,0.12400430213293995
0.0015,0.9989142650235083,-7.613269514816778e-08,0.15484021976968948,0.12400660466031722
0.002,0.9989142057677115,-1.3538849197303193e-07,0.15483699589978053,0.12389551293698466
0.0025,0.9989141295654562,-2.1159074725662919e-07,0.15483285058615395,0.12401397512434027
0.003,0.998914036404377,-3.047518264409632e-07,0.15482778921806237,0.12401904090645789
0.0035,0.9989139262696403,-4.1488656321586603e-07,0.1548218052573038,0.1240250277734834
0.004,0.998913798823585,-5.423326184805788e-07,0.15470028186381035,0.12403192927270686
0.0045000000000000005,0.9989136537910779,-6.873651255956403e-07,0.1546924619801967,0.12403974888092241
0.005,0.9989134916194881,-8.49536715419319e-07,0.154683725803028,0.12404848336583303
0.0055,0.9989133122833841,-1.0288728193863506e-06,0.15467407610484646,0.12417339223911021
0.006,0.998913115592216,-1.2255639875169422e-06,0.1545479619549781,0.12418395541242751
0.006500000000000001,0.9989129005165158,-1.4406396876553984e-06,0.15453648308142193,0.12419543198657917
0.007,0.9989126680801168,-1.6730760866723315e-06,0.15452409947212717,0.12432399542249932
0.0075,0.9989124180929565,-1.9230632469779962e-06,0.1543943383183758,0.12433728955729142
0.008,0.9989121491756956,-2.19198050788183e-06,0.15438014091038516,0.12435148413923128
0.0085,0.9989118626800665,-2.478476136991148e-06,0.15436504202889254,0.12448367105991202
0.009000000000000001,0.9989115573564185,-2.7837997850221896e-06,0.15423167368430588,0.1244996656309688
0.0095,0.9989112335954269,-3.1075607765940205e-06,0.15421478489212329,0.12463453627644923
0.01,0.9989108908913212,-3.4502648822432036e-06,0.15407874516126177,0.12465231461596213
0.012,0.9989093269075504,-5.0142486530679875e-06,0.15375971680396638,0.1249707997198135
0.016,0.9989052096303581,-9.131525845362809e-06,0.15269673624620778,0.126032004660597
0.02,0.9988995986256997,-1.4742530503819573e-05,0.15102178508042044,0.12743949873306382
0.024,0.9988921674290627,-2.217372714075072e-05,0.14840378318514363,0.13031981885652394
0.028,0.9988823624285711,-3.197872763238685e-05,0.14500000409503888,0.13676110844706513
0.032,0.9988704282322142,-4.3912923989308794e-05,0.14500000408594876,0.13699999777568556
0.036000000000000004,0.998857101377077,-5.723977912652778e-05,0.14500000426532128,0.13699999742978808
0.04,0.9988424470052324,-7.189415097108576e-05,0.14500000410606204,0.13699999602751164
0.044,0.9988265328032297,-8.780835297372835e-05,0.14500000410606204,0.13699999778835115
0.048,0.9988094298361443,-0.00010491132005918669,0.14500000410606204,0.13699999689949413
0.052000000000000005,0.9987912139196677,-0.0001231272365357361,0.14500000410606204,0.13699999689949413
0.055999999999999994,0.9987719544220841,-0.00014238673411937075,0.14500000410606204,0.13699999689949413
0.06,0.9987517256678302,-0.00016261548837326334,0.14500000410606204,0.13699999689949413
0.064,0.9987305982907136,-0.0001837428654898332,0.14500000410606204,0.13699999689949413
0.068,0.9987086437418893,-0.00020569741431419875,0.14500000410606204,0.13699999689949413
0.072,0.998685929509345,-0.00022841164685849513,0.14500000410606204,0.13699999689949413
0.076,0.9986625208440993,-0.000251820312104134,0.14500000410606204,0.13699999689949413
0.08,0.9986384813486154,-0.0002758598075880414,0.14500000410606204,0.13699999689949413
