eta_center,congruent_scale,plus_scale,minus_scale,chirality_gap
-0.03,0.9980384582089328,0.9983864617407052,0.9980384582089328,0.00034800353177244503
-0.027999999999999997,0.9980997040247008,0.9984216354518138,0.9980997040247008,0.00032193142711300915
-0.026,0.9981607693771527,0.9984568117905643,0.9981607693771527,0.0002960424134116346
-0.024,0.9982216295083575,0.998491990756978,0.9982216295083575,0.0002703612486205653
-0.022,0.9982822603561964,0.9985271723520179,0.9982822603561964,0.00024491199582155065
-0.019999999999999997,0.9983426257516409,0.9985623565726028,0.9983426257516409,0.00021973082096193863
-0.018,0.9984026815195628,0.9985975434221896,0.9984026815195628,0.00019486190262685277
-0.016,0.9984623874143492,0.9986327328990354,0.9984623874143492,0.00017034548468619626
-0.013999999999999999,0.9985216777396584,0.9986679250032771,0.9985216777396584,0.0001462472636186707
-0.011999999999999997,0.9985804793065447,0.9987031197349154,0.9985804793065447,0.00012264042837073497
-0.009999999999999998,0.9986387036606789,0.9987383170942992,0.9986387036606789,9.961343362030473e-05
-0.008,0.9986962299509059,0.9987735170807399,0.9986962299509059,7.728712983401387e-05
-0.005999999999999998,0.9987528858617148,0.9988087196940245,0.9987528858617148,5.583383230967076e-05
-0.003999999999999997,0.99880843743199,0.9988439249348509,0.99880843743199,3.548750286086477e-05
-0.0019999999999999983,0.998862501389466,0.9988791328027371,0.998862501389466,1.6631413271128714e-05
0.0,0.9989143190646436,0.9989143190646436,0.998914319064645,1.4432899320127035e-15
0.0020000000000000018,0.9988625013894652,0.9988625013894652,0.9988791328027375,1.663141327234996e-05
0.0040000000000000036,0.9988084374319877,0.9988084374319877,0.9988439249348513,3.548750286364033e-05
0.006000000000000005,0.9987528858617128,0.9987528858617128,0.9988087196940223,5.5833832309448717e-05
0.008,0.9986962299509049,0.9986962299509049,0.9987735170807404,7.728712983545716e-05
0.010000000000000002,0.9986387036606764,0.9986387036606764,0.9987383170942986,9.96134336221921e-05
0.012000000000000004,0.9985804793065434,0.9985804793065434,0.998703119734916,0.00012264042837262235
0.013999999999999999,0.9985216777396568,0.9985216777396568,0.9986679250032768,0.00014624726362000295
0.016,0.9984623874143473,0.9984623874143473,0.9986327328990345,0.00017034548468719546
0.018000000000000002,0.9984026815195615,0.9984026815195615,0.9985975434221896,0.00019486190262818504
0.020000000000000004,0.9983426257516386,0.9983426257516386,0.9985623565726014,0.0002197308209628268
0.022000000000000006,0.9982822603561953,0.9982822603561953,0.9985271723520176,0.0002449119958223278
0.024,0.9982216295083566,0.9982216295083566,0.9984919907569785,0.0002703612486218976
0.026000000000000002,0.9981607693771513,0.9981607693771513,0.9984568117905647,0.000296042413413411
0.028000000000000004,0.9980997040246996,0.9980997040246996,0.9984216354518138,0.0003219314271142304
0.03,0.9980384582089314,0.9980384582089314,0.9983864617407052,0.0003480035317737773
