eta_logwidth,congruent_scale,plus_scale,minus_scale,chirality_gap
-0.45,0.9986969992683965,0.9989175473008742,0.9986969992683965,0.0002205480324777298
-0.42,0.9987154211455065,0.9989172189274718,0.9987154211455065,0.00020179778196527387
-0.39,0.9987332992429852,0.9989169082340362,0.9987332992429852,0.0001836089910510763
-0.36,0.9987506493917928,0.9989166148096846,0.9987506493917928,0.0001659654178918224
-0.33,0.9987674870270613,0.9989163382991239,0.9987674870270613,0.00014885127206254456
-0.3,0.9987838271794145,0.9989160783912121,0.9987838271794145,0.00013225121179760713
-0.27,0.998799684471756,0.9989158348100757,0.998799684471756,0.00011615033831968713
-0.24,0.9988150731201832,0.9989156073086548,0.9988150731201832,0.00010053418847155715
-0.21,0.9988300069379598,0.998915395663853,0.9988300069379598,8.538872589325397e-05
-0.18,0.9988444993417329,0.9989151996735814,0.9988444993417329,7.070033184852775e-05
-0.14999999999999997,0.9988585633592435,0.998915019154007,0.9988585633592435,5.6455794763543565e-05
-0.12,0.9988719796706258,0.9989148539380178,0.9988719796706258,4.287426739202349e-05
-0.08999999999999997,0.9988841886614315,0.9989147038741066,0.9988841886614315,3.0515212675163994e-05
-0.06,0.9988952573216455,0.9989145688254862,0.9988952573216455,1.931150384071323e-05
-0.02999999999999997,0.9989052691148067,0.9989144486695871,0.9989052691148067,9.179554780414101e-06
0.0,0.9989143190646436,0.9989143190646436,0.998914319064645,1.4432899320127035e-15
0.030000000000000027,0.9989052691148057,0.9989052691148057,0.998914448669588,9.17955478230148e-06
0.06,0.9988952573216451,0.9988952573216451,0.9989145688254892,1.931150384415492e-05
0.09000000000000002,0.9988841886614328,0.9988841886614328,0.9989147038741096,3.051521267682933e-05
0.12000000000000005,0.9988719796706276,0.9988719796706276,0.9989148539380222,4.2874267394577004e-05
0.15000000000000008,0.9988585633592488,0.9988585633592488,0.998915019154016,5.64557947672073e-05
0.18,0.9988444993417414,0.9988444993417414,0.9989151996735943,7.070033185296865e-05
0.21000000000000002,0.9988300069379739,0.9988300069379739,0.9989153956638724,8.538872589858304e-05
0.24000000000000005,0.9988150731202059,0.9988150731202059,0.9989156073086849,0.00010053418847899565
0.2700000000000001,0.9987996844717959,0.9987996844717959,0.9989158348101219,0.0001161503383260154
0.3000000000000001,0.9987838271794738,0.9987838271794738,0.9989160783912846,0.00013225121181081878
0.33,0.9987674870271515,0.9987674870271515,0.9989163382992334,0.00014885127208197346
0.36000000000000004,0.9987506493919303,0.9987506493919303,0.9989166148098498,0.00016596541791957797
0.39000000000000007,0.9987332992431935,0.9987332992431935,0.9989169082342851,0.00018360899109159945
0.4200000000000001,0.9987154211458161,0.9987154211458161,0.9989172189278402,0.0002017977820241157
0.45,0.9986969992688499,0.9986969992688499,0.9989175473014102,0.0002205480325603304
