arithmetic_value,core_continuous_sign_pass,dense_core_max,global_certificate_pass,guard_positive_max,known_first_50_holdout_mass,lipschitz_corrected_axis_plus_tail_majorant,lipschitz_corrected_partial_gap,method,numerical_rank,patch_id,requested_rank,sampled_axis_plus_tail_majorant,sampled_axis_prefix_majorant,sampled_partial_gap,tail_majorant
12.437506572685649,True,-1.0000000000000004,False,0.0,6.223593899120712,96.83128997747643,-95.83128997747643,diagonal_72_ray_cone,1,X0_Y0,,79.25294885921048,71.44764622178714,-78.25294885921048,7.805302637423342
12.56142059555206,True,-1.0000000000000013,False,0.0,6.285427002005032,99.60850176400393,-98.60850176400393,diagonal_72_ray_cone,1,X1_Y0,,81.58724468423873,74.0608377176908,-80.58724468423873,7.526406966547931
12.010223657827195,True,-0.9999999999999196,False,0.0,6.0101019674425045,107.57882532342904,-106.57882532342904,diagonal_72_ray_cone,1,X2_Y0,,88.35911239984863,80.43483655829384,-87.35911239984863,7.924275841554793
25.33106432359508,True,-0.9999999999999987,False,0.17508401349234987,12.675305878221447,195.64227755921624,-194.8173615727086,diagonal_72_ray_cone,2,X0_Y1,,160.1682657478468,144.41329654686493,-159.34334976133914,15.75496920098187
26.139875375176135,True,-0.9999999999999992,False,0.18418525781032077,13.079704465432522,206.3044120089117,-205.48859726672202,diagonal_72_ray_cone,2,X1_Y1,,169.09643547899984,153.50535969616394,-168.28062073681016,15.591075782835903
25.481481643031586,True,-1.0,False,0.17946054498156339,12.751276914641295,226.84574520471364,-226.0252057496952,diagonal_72_ray_cone,3,X2_Y1,,186.42071905691216,169.6777716082738,-185.60017960189373,16.74294744863839
16.044433438542786,True,-0.9999999999995601,False,0.0,8.028790049351938,132.0078562734902,-131.0078562734902,diagonal_72_ray_cone,1,x0_Y2,,108.6484177356035,98.01550893404074,-107.6484177356035,10.632908801562758
16.43340032953415,True,-1.0,False,0.0,8.22304860570218,126.29484306467944,-125.29484306467944,diagonal_72_ray_cone,1,x1_Y2,,102.93244375282623,92.71173500395066,-101.93244375282623,10.220708748875559
16.526278037136944,True,-1.0000000000000007,False,0.0,8.269378126411889,129.47186177370904,-128.47186177370904,diagonal_72_ray_cone,1,x2_Y2,,105.77487692958687,95.79221823118084,-104.77487692958687,9.982658698406027
16.404021984871164,True,-1.000000000000386,False,0.0,8.208290053313533,133.5720084219715,-132.5720084219715,diagonal_72_ray_cone,1,x3_Y2,,109.42600823844697,99.43659184064173,-108.42600823844697,9.989416397805245
16.07945462129793,True,-1.0000000000000573,False,0.0,8.046210962178494,139.7766466088023,-138.7766466088023,diagonal_72_ray_cone,1,x4_Y2,,114.60468802724984,104.32164381065125,-113.60468802724984,10.283044216598583
15.48971840624974,True,-1.000000000000006,False,0.0,7.75170638763856,147.17233802167578,-146.17233802167578,diagonal_72_ray_cone,1,x5_Y2,,120.88227648155727,110.00918417683258,-119.88227648155727,10.873092304724693
23.15129263674384,True,-1.0000000000000004,False,0.0,11.585113490441083,190.18502782854918,-189.18502782854918,diagonal_72_ray_cone,1,x0_Y3,,156.53215946698097,141.2190306988051,-155.53215946698097,15.313128768175849
23.67458120320765,True,-1.0000000000000009,False,0.0,11.846436411090972,181.94500838063522,-180.94500838063522,diagonal_72_ray_cone,2,x1_Y3,,148.28827363926825,133.56392398756245,-147.28827363926825,14.724349651705822
23.837222209802334,True,-0.9999999999999986,False,0.0,11.927601307260868,186.55728518979654,-185.55728518979654,diagonal_72_ray_cone,1,x2_Y3,,152.41753536560915,138.03238806971228,-151.41753536560915,14.385147295896859
23.659267636454718,True,-0.9999999999999992,False,0.0,11.838681174344247,192.4659786090293,-191.4659786090293,diagonal_72_ray_cone,1,x3_Y3,,157.68745254608896,143.29255563396535,-156.68745254608896,14.394896912123624
23.191828779125863,True,-1.0000000000000002,False,0.0,11.605253679061022,201.2705602783385,-200.2705602783385,diagonal_72_ray_cone,1,x4_Y3,,165.0266557406656,150.2131469156036,-164.0266557406656,14.813508825062012
22.34284772102277,True,-1.0000000000002527,False,0.0,11.18128249678091,211.91676419369443,-210.91676419369443,diagonal_72_ray_cone,1,x5_Y3,,174.06724938107266,158.41133691022907,-173.06724938107266,15.655912470843587
9.425654641875722,True,-0.9999999999999987,False,0.0,4.718980568814326,89.7713209107074,-88.7713209107074,factorized_full_22d_psd_gram,1,X0_Y0,1,67.83288499576334,57.836546331565444,-66.83288499576334,9.99633866419789
10.374183318566349,True,-0.9999999999999961,False,0.0,5.193984996720926,117.4547196325025,-116.4547196325025,factorized_full_22d_psd_gram,1,X1_Y0,1,64.60384634208175,54.61198738115475,-63.60384634208175,9.991858960927004
10.99459275968941,True,-0.9999999999999983,False,0.0,5.505804612458483,174.36087206643396,-173.36087206643396,factorized_full_22d_psd_gram,1,X2_Y0,1,65.41481310473341,54.77209144172045,-64.41481310473341,10.64272166301296
21.30985572811854,True,-1.0000000000000047,False,0.19844431451925065,10.665957977793889,184.83982390637874,-184.038268220898,factorized_full_22d_psd_gram,1,X0_Y1,1,142.73145780699434,124.90908409297602,-141.9299021215136,17.822373714018326
24.660814558086194,True,-0.9999999999999978,False,0.21305328816717858,12.34130307200517,207.39323164809636,-206.60628493626353,factorized_full_22d_psd_gram,1,X1_Y1,1,137.7908257036296,121.4248511925789,-137.00387899179677,16.365974511050688
25.22583421656942,True,-0.9999999999999956,False,0.2134040729572683,12.625498614528757,266.2933264663449,-265.50673053930217,factorized_full_22d_psd_gram,1,X2_Y1,1,140.14028245184332,122.90582984780922,-139.3536865248006,17.234452604034093
11.516842362042338,True,-0.9999999999999994,False,0.0,5.766570899686577,118.13598111574386,-117.13598111574386,factorized_full_22d_psd_gram,1,x0_Y2,1,90.56372213087438,77.27657208277009,-89.56372213087438,13.287150048104289
12.756119785340207,True,-0.9999999999999993,False,0.0,6.386068384075999,116.94027043365202,-115.94027043365202,factorized_full_22d_psd_gram,1,x1_Y2,1,87.34310394222548,74.44957371108784,-86.34310394222548,12.89353023113765
13.454893483097273,True,-0.9999999999999967,False,0.0,6.735968962598031,134.96938221179298,-133.96938221179298,factorized_full_22d_psd_gram,1,x2_Y2,1,84.45204091765834,71.5138802272921,-83.45204091765834,12.938160690366233
13.508033283580623,True,-1.0000000000000007,False,0.0,6.763691001656944,170.43039779202692,-169.43039779202692,factorized_full_22d_psd_gram,1,x3_Y2,1,82.85026488796271,69.42531280283633,-81.85026488796271,13.424952085126385
13.633059253574839,True,-0.9999999999999987,False,0.0,6.827896539650045,228.46586636492412,-227.46586636492412,factorized_full_22d_psd_gram,1,x4_Y2,1,83.11392593350179,68.84296815158596,-82.11392593350179,14.27095778191582
14.468502317270502,True,-0.9999999999999984,False,0.0,7.245641020088371,245.80721365474474,-244.80721365474474,factorized_full_22d_psd_gram,1,x5_Y2,1,86.23208403186484,72.3358339048685,-85.23208403186484,13.896250126996353
