5.407382133322816697e-01,3.775322968277758928e-01,-5.216762589499777253e-02,-5.442399646437608984e-01,-8.390771367697508198e-01,-8.457139507199484818e-01,-6.817949596743576590e-01,-5.685034156189976429e-01,-4.924238876091364125e-01,-4.366307985137398706e-01,-3.935950849265342222e-01,-3.592315996810894196e-01,-3.310783515374626229e-01,-3.075451318551236657e-01
3.775322968277758928e-01,3.131825854765065698e-01,-3.523246201171192221e-02,-4.992492707378103356e-01,-7.763156702035501899e-01,-8.494359014522736562e-01,-7.898672125251461340e-01,-6.558234892839056585e-01,-5.613865158408745115e-01,-4.948583949954213357e-01,-4.445042388661096799e-01,-4.047438540035924737e-01,-3.724074465854841920e-01,-3.455166540181257018e-01
-5.216762589499777253e-02,-3.523246201171192221e-02,-4.764255147667732782e-02,-2.475263383603277800e-01,-4.958011911236099856e-01,-7.489826116677397172e-01,-8.962273278648885677e-01,-8.631404610021871093e-01,-7.238401837015076001e-01,-6.244542501324353845e-01,-5.542956391080412493e-01,-5.009014588231121001e-01,-4.584768750918198910e-01,-4.237588160689926831e-01
-5.442399646437608984e-01,-4.992492707378103356e-01,-2.475263383603277800e-01,5.863635271726225923e-02,-6.401635013232750970e-02,-3.869482248556389004e-01,-6.935803121500535573e-01,-8.716307289973649342e-01,-8.520250152574317948e-01,-7.162094570595901599e-01,-6.194597563180010980e-01,-5.515259792129245664e-01,-4.999006191043534053e-01,-4.588670194939509783e-01
-8.390771367697508198e-01,-7.763156702035501899e-01,-4.958011911236099856e-01,-6.401635013232750970e-02,1.925419431856213726e-01,2.923166007549657386e-02,-3.170657784194066964e-01,-6.388509394777138750e-01,-8.274248808246864595e-01,-8.154773177538104934e-01,-6.854316483704029350e-01,-5.931487314970885771e-01,-5.287496191966367665e-01,-4.799726393559478610e-01
-8.457139507199484818e-01,-8.494359014522736562e-01,-7.489826116677397172e-01,-3.869482248556389004e-01,2.923166007549657386e-02,2.624244597390362754e-01,8.396115842847089172e-02,-2.728597723023613586e-01,-6.023030875823928154e-01,-7.966469423543391937e-01,-7.891661806833228932e-01,-6.626551884145217564e-01,-5.732206611638929195e-01,-5.111524393973934099e-01
-6.817949596743576590e-01,-7.898672125251461340e-01,-8.962273278648885677e-01,-6.935803121500535573e-01,-3.170657784194066964e-01,8.396115842847089172e-02,3.066304658560782270e-01,1.205090103237904664e-01,-2.420818338320149254e-01,-5.759919505119054373e-01,-7.738704823984574599e-01,-7.692381103501279016e-01,-6.450580086152775117e-01,-5.575562057164228369e-01
-5.685034156189976429e-01,-6.558234892839056585e-01,-8.631404610021871093e-01,-8.716307289973649342e-01,-6.388509394777138750e-01,-2.728597723023613586e-01,1.205090103237904664e-01,3.374084043264274357e-01,1.468201473942780111e-01,-2.193053738761336635e-01,-5.560638801787100016e-01,-7.562733025992139924e-01,-7.535736549026580411e-01,-6.310145885743696503e-01
-4.924238876091364125e-01,-5.613865158408745115e-01,-7.238401837015076001e-01,-8.520250152574317948e-01,-8.274248808246864595e-01,-6.023030875823928154e-01,-2.420818338320149254e-01,1.468201473942780111e-01,3.601848642823055058e-01,1.667482177274763888e-01,-2.017081940768889747e-01,-5.403994247312404742e-01,-7.422298825583053539e-01,-7.409035890154428428e-01
-4.366307985137398706e-01,-4.948583949954213357e-01,-6.244542501324353845e-01,-7.162094570595901599e-01,-8.154773177538104934e-01,-7.966469423543391937e-01,-5.759919505119054373e-01,-2.193053738761336635e-01,1.667482177274763888e-01,3.777820440815501946e-01,1.824126731749444175e-01,-1.876647740359823069e-01,-5.277293588440238326e-01,-7.307337446646090529e-01
-3.935950849265342222e-01,-4.445042388661096799e-01,-5.542956391080412493e-01,-6.194597563180010980e-01,-6.854316483704029350e-01,-7.891661806833228932e-01,-7.738704823984574599e-01,-5.560638801787100016e-01,-2.017081940768889747e-01,1.824126731749444175e-01,3.918254641224562240e-01,1.950827390621612534e-01,-1.761686361422834524e-01,-5.196748942890453415e-01
-3.592315996810894196e-01,-4.047438540035924737e-01,-5.009014588231121001e-01,-5.515259792129245664e-01,-5.931487314970885771e-01,-6.626551884145217564e-01,-7.692381103501279016e-01,-7.562733025992139924e-01,-5.403994247312404742e-01,-1.876647740359823069e-01,1.950827390621612534e-01,4.033216020161535798e-01,2.031372036171397444e-01,-2.058852209015420431e-01
-3.310783515374626229e-01,-3.724074465854841920e-01,-4.584768750918198910e-01,-4.999006191043534053e-01,-5.287496191966367665e-01,-5.732206611638929195e-01,-6.450580086152775117e-01,-7.535736549026580411e-01,-7.422298825583053539e-01,-5.277293588440238326e-01,-1.761686361422834524e-01,2.031372036171397444e-01,3.736050172568975980e-01,7.877431973971529833e-02
-3.075451318551236657e-01,-3.455166540181257018e-01,-4.237588160689926831e-01,-4.588670194939509783e-01,-4.799726393559478610e-01,-5.111524393973934099e-01,-5.575562057164228369e-01,-6.310145885743696503e-01,-7.409035890154428428e-01,-7.307337446646090529e-01,-5.196748942890453415e-01,-2.058852209015420431e-01,7.877431973971529833e-02,1.486866964790617973e-01
