support_radius,quadrature_points,min_eigen_archimedean,min_eigen_total,activated_count
0.4,1601,0.009983964729018063,0.010060959271766484,1
0.4,2401,0.009984291254807334,0.010061293319451096,1
0.4,3601,0.009984436371167336,0.010061443976025035,1
0.4,4801,0.00998448716098986,0.01006149594279439,1
0.7,1601,0.01777763315500377,0.014599174468634615,3
0.7,2401,0.017778316090685045,0.014600667439007743,3
0.7,3601,0.017778619600279825,0.014600469279286675,3
0.7,4801,0.01777872582611095,0.014601135827649806,3
1.0,1601,0.0933961280036365,0.013222700224758629,5
1.0,2401,0.0934064773576189,0.013196177136183972,5
1.0,3601,0.0934110766228589,0.013169955539933357,5
1.0,4801,0.09341268629791188,0.013168161535258802,5
