2.615301755431866937e-01,2.315104014275517486e-01,7.579852220044233646e-02,-1.648102444020280166e-01,-3.448558860938812920e-01,-3.377392501220720655e-01,-2.005922047303858591e-01,-8.025407717863969337e-02,2.477162569204529458e-02,1.073637910782706262e-01,1.533206946929378811e-01,1.531594184889190635e-01
2.315104014275517486e-01,7.113444857543064215e-01,6.734949343500058472e-01,3.512686053501173911e-01,-3.530812821281506704e-03,-2.243752938064895730e-01,-2.270718209805889509e-01,-9.443577287577280266e-02,1.027302590316596723e-02,8.035144307203234693e-02,1.107191247189461547e-01,9.552027335958170051e-02
7.579852220044233646e-02,6.734949343500058472e-01,1.004671223025889182e+00,8.338571215504048117e-01,4.315622819771670615e-01,5.869950533499589118e-02,-1.647287303224076460e-01,-1.736492051124207125e-01,-5.612730580344543058e-02,2.009549801183043577e-02,5.210106911044247446e-02,4.312723642003837843e-02
-1.648102444020280166e-01,3.512686053501173911e-01,8.338571215504048117e-01,1.055275584589826510e+00,8.184310792394871026e-01,4.089656696970045413e-01,3.901349214147636912e-02,-1.870552742062841500e-01,-2.051437357432073783e-01,-1.034018257816317621e-01,-4.457028159745367313e-02,-2.468289654531233973e-02
-3.448558860938812920e-01,-3.530812821281506704e-03,4.315622819771670615e-01,8.184310792394871026e-01,9.832732750968904423e-01,7.466920205219106377e-01,3.414121235744013161e-01,-3.212988258214211079e-02,-2.655262170151627688e-01,-2.896751086371711637e-01,-1.866382581073292302e-01,-1.143747787103971680e-01
-3.377392501220720655e-01,-2.243752938064895730e-01,5.869950533499589118e-02,4.089656696970045413e-01,7.466920205219106377e-01,9.175226014700498256e-01,6.837551709318728799e-01,2.710168228377183852e-01,-1.103743424867663636e-01,-3.411820027376796793e-01,-3.452359484542856238e-01,-2.025768775185367021e-01
-2.005922047303858591e-01,-2.270718209805889509e-01,-1.647287303224076460e-01,3.901349214147636912e-02,3.414121235744013161e-01,6.837551709318728799e-01,8.469591473220517974e-01,5.915776754377588542e-01,1.598340381954832523e-01,-2.205471035715454164e-01,-4.223783388617584622e-01,-3.708827125539588820e-01
-8.025407717863969337e-02,-9.443577287577280266e-02,-1.736492051124207125e-01,-1.870552742062841500e-01,-3.212988258214211079e-02,2.710168228377183852e-01,5.915776754377588542e-01,7.148747924129301712e-01,4.256656990094896398e-01,-9.074356593524717657e-03,-3.528770108902268277e-01,-4.840115465952578022e-01
2.477162569204529458e-02,1.027302590316596723e-02,-5.612730580344543058e-02,-2.051437357432073783e-01,-2.655262170151627688e-01,-1.103743424867663636e-01,1.598340381954832523e-01,4.256656990094896398e-01,5.051607483802981191e-01,2.159500737028364759e-01,-1.655395856809906141e-01,-4.154361864425765716e-01
1.073637910782706262e-01,8.035144307203234693e-02,2.009549801183043577e-02,-1.034018257816317621e-01,-2.896751086371711637e-01,-3.411820027376796793e-01,-2.205471035715454164e-01,-9.074356593524717657e-03,2.159500737028364759e-01,3.143431699950706704e-01,1.113837728749721423e-01,-1.640536351735138176e-01
1.533206946929378811e-01,1.107191247189461547e-01,5.210106911044247446e-02,-4.457028159745367313e-02,-1.866382581073292302e-01,-3.452359484542856238e-01,-4.223783388617584622e-01,-3.528770108902268277e-01,-1.655395856809906141e-01,1.113837728749721423e-01,3.163024485373037153e-01,2.304558054405826395e-01
1.531594184889190635e-01,9.552027335958170051e-02,4.312723642003837843e-02,-2.468289654531233973e-02,-1.143747787103971680e-01,-2.025768775185367021e-01,-3.708827125539588820e-01,-4.840115465952578022e-01,-4.154361864425765716e-01,-1.640536351735138176e-01,2.304558054405826395e-01,6.293277333765339154e-01
