mu,gamma,chi_saturation,reserve_1_minus_chi,max_real_eigenvalue,stationary_var_x,stationary_sd_x
-1.0,0.0,0.2689414213699951,0.7310585786300049,-0.4999999999999999,0.020762924190444582,0.1440934564456158
-0.95,0.0,0.27888482197713693,0.7211151780228631,-0.4999999999999999,0.020745867602415556,0.1440342584332476
-0.9,0.0,0.289050497374996,0.710949502625004,-0.4999999999999999,0.02072992591563464,0.143978907884574
-0.85,0.0,0.29943285752602705,0.700567142473973,-0.49999999999999994,0.02071505926758121,0.1439272707570779
-0.8,0.0,0.31002551887238755,0.6899744811276125,-0.5000000000000004,0.020701230483891445,0.143879221862962
-0.75,0.0,0.320821300824607,0.679178699175393,-0.4999999999999999,0.020688404985403065,0.14383464459372458
-0.7,0.0,0.3318122278318339,0.6681877721681662,-0.4999999999999999,0.0206765507016892,0.14379343066249306
-0.6499999999999999,0.0,0.3429895373265012,0.6570104626734987,-0.5000000000000002,0.02066563799086623,0.14375547986378198
-0.6,0.0,0.35434369377420455,0.6456563062257954,-0.4999999999999999,0.02065563956547269,0.14372069985034408
-0.55,0.0,0.36586440898919936,0.6341355910108006,-0.49999999999999994,0.02064653042423719,0.1436890059268182
-0.5,0.0,0.3775406687981454,0.6224593312018546,-0.5000000000000004,0.02063828778956191,0.14366032085987387
-0.44999999999999996,0.0,0.389360766050778,0.6106392339492219,-0.5000000000000001,0.020630891050566785,0.1436345747045842
-0.3999999999999999,0.0,0.401312339887548,0.598687660112452,-0.5,0.020624321711551548,0.14361170464677156
-0.35,0.0,0.41338242108267,0.58661757891733,-0.4999999999999997,0.020618563345746802,0.14359165486109143
-0.29999999999999993,0.0,0.4255574831883411,0.5744425168116589,-0.5,0.02061360155423867,0.14357437638464138
-0.25,0.0,0.43782349911420193,0.5621765008857981,-0.4999999999999999,0.020609423929963875,0.14355982700589978
-0.19999999999999996,0.0,0.45016600268752216,0.5498339973124778,-0.49999999999999994,0.020606020026685736,0.14354797116882473
-0.1499999999999999,0.0,0.46257015465625045,0.5374298453437496,-0.5,0.020603381332873,0.1435387798919616
-0.09999999999999998,0.0,0.47502081252106,0.52497918747894,-0.4999999999999999,0.02060150125041675,0.14353223070243404
-0.04999999999999993,0.0,0.48750260351578967,0.5124973964842103,-0.5,0.020600375078131516,0.14352830758471138
0.0,0.0,0.5,0.5,-0.4999999999999999,0.020600000000000014,0.14352700094407328
0.050000000000000044,0.0,0.5124973964842104,0.48750260351578956,-0.5000000000000001,0.02060037507813163,0.14352830758471177
0.10000000000000009,0.0,0.52497918747894,0.47502081252106,-0.4999999999999998,0.020601501250416755,0.14353223070243407
0.15000000000000013,0.0,0.5374298453437496,0.4625701546562504,-0.5000000000000002,0.020603381332872994,0.14353877989196157
0.20000000000000018,0.0,0.549833997312478,0.45016600268752205,-0.49999999999999994,0.020606020026685736,0.14354797116882473
0.25,0.0,0.5621765008857981,0.43782349911420193,-0.4999999999999998,0.020609423929963885,0.14355982700589984
0.30000000000000004,0.0,0.574442516811659,0.42555748318834097,-0.5,0.02061360155423867,0.14357437638464138
0.3500000000000001,0.0,0.5866175789173301,0.41338242108266987,-0.4999999999999997,0.020618563345746802,0.14359165486109143
0.40000000000000013,0.0,0.5986876601124521,0.4013123398875479,-0.5,0.020624321711551548,0.14361170464677156
0.4500000000000002,0.0,0.610639233949222,0.38936076605077796,-0.49999999999999983,0.020630891050566803,0.1436345747045843
