d_l1,d_l2,d_beta,d_delta
-2.808858449596788542e+00,-2.723385297680204431e+00,-2.743398274836810757e-01,-2.377369924901403045e-02
-2.885212397597858747e+00,-2.884021563809062716e+00,-2.438917028895528916e-01,-9.722549157951376406e-03
2.679437597761055168e-01,2.541020520440845920e-01,9.506648764399314167e-02,4.687336066885589708e-02
-1.732260165087689263e-01,-1.356444594026321449e-01,-2.676554550400704335e-01,-1.624309548182781282e-01
