partitions,lower,upper,width,lower_minus_event
2048,0.998908810334668384712867473311692956776983962038376194958039508080294124375769074236237572674583499839672,0.998919867834597053657245003141660788263265406007076948557355914114660562794179677473593841459069172800514,0.0000110574999286689443775298299678314862814439687007535993164060343664384184106032373562687844856729608418921,0.00000505320215970975773764841113647655971573532618409116860082812903778989662614531038353157552978462837913927
4096,0.998911574709650550499897197013243492396217963230287931314155929323168612847681581435159072270626318844256,0.998917103459614884972085961928227408139358685214638308113814132340351832056886883053837206662869155331821,0.00000552874996433447218876491498391574314072198435037679965820301718321920920530161867813439224283648756461727,0.00000781757714187554476737211268701217894973651809582752471724937191227836853865250930503117157260363296348676
8192,0.998912956897141633755674280421273387980949466301130909990463405442459317545414814206809683253486924719906,0.998915721272123800991768662878765345852519827293306098390292506951050927150017465016148750449608342949401,0.00000276437498216723609438245749195787157036099217518839982910150859160960460265080933906719612141822949496624,0.00000919976463295880054445552071690776368123958893880620102472549120298306627188528095564215443320950861367811
16384,0.99891364799088717547413010263071045794221075264425684661135611786186846394537134337554226066911207443629,0.998915030178378259092177293859456436877995933140344440811270668616164268747672668780211794267172783558181,0.00000138218749108361804719122874597893578518049608759419991455075429580480230132540466953359806070912189115432,0.00000989085837850051900027773015397772494252593206474282191743791061212946622841444968821957005835922499766726
