x,y,G_real,G_imag,block
8.0,-0.2,-0.3616164022062165,0.6584679768860369,-0.6056273084796445
8.0,-0.19666666666666668,-0.35655235572419386,0.731898177262174,-0.8170907190144412
8.0,-0.19333333333333336,-0.3466508765786962,0.8026255193536755,-1.048081788169958
8.0,-0.19,-0.33217883637970047,0.8705440966209821,-1.29500848964614
8.0,-0.18666666666666668,-0.3133973408041264,0.9355583269535899,-1.5541029798182049
8.0,-0.18333333333333335,-0.290561763639996,0.9975825335214452,-1.8214895453949609
8.0,-0.18000000000000002,-0.2639217831144087,1.056540540995698,-2.0932464143303866
8.0,-0.17666666666666667,-0.23372142029928256,1.1123652866019356,-2.365461657060585
8.0,-0.17333333333333334,-0.20019907939830262,1.1649984454887843,-2.634283413198712
8.0,-0.17,-0.1635875897255179,1.2143900699092143,-2.895964684763804
8.0,-0.16666666666666669,-0.12411424919668868,1.2604982417277384,-3.1469029410901244
8.0,-0.16333333333333333,-0.08200086916073701,1.3032887377832978,-3.3836747829793303
8.0,-0.16,-0.03746382040522356,1.3427347076502194,-3.603065914578331
8.0,-0.15666666666666668,0.009285919817747512,1.3788163633561545,-3.802096671103659
8.0,-0.15333333333333335,0.0580427198997846,1.411520680626758,-3.978043349007322
8.0,-0.15000000000000002,0.10860624525827589,1.4408411112432837,-4.12845558267936
8.0,-0.14666666666666667,0.16078140913084482,1.4667773061092788,-4.251170008390186
8.0,-0.14333333333333334,0.21437832291329784,1.4893348486367088,-4.34432045205722
8.0,-0.14,0.2692122461633808,1.5085249980726125,-4.406344872651286
8.0,-0.13666666666666666,0.3251035363924597,1.5243644423995981,-4.435989287754708
8.0,-0.13333333333333336,0.3818775987549259,1.5368750604540296,-4.432308902029498
8.0,-0.13,0.4393648357462716,1.5460836929170512,-4.394666653227357
8.0,-0.12666666666666668,0.4974005970106745,1.552021921842588,-4.322729383946769
8.0,-0.12333333333333334,0.5558251293573253,1.5547258583985553,-4.216461840696074
8.0,-0.12000000000000001,0.6144835270786491,1.5542359385042133,-4.076118694974111
8.0,-0.11666666666666667,0.6732256826583267,1.5505967260588491,-3.902234774147303
8.0,-0.11333333333333334,0.7319062379552577,1.54385672346298,-3.6956136828480606
8.0,-0.11,0.790384535942362,1.5340681891439552,-3.4573149885731818
8.0,-0.10666666666666667,0.8485245730776665,1.521286961804588,-3.188640138079995
8.0,-0.10333333333333333,0.9061949523795203,1.5055722911225082,-2.8911172641555147
8.0,-0.1,0.9632688372760327,1.486986674633835,-2.566485035342941
8.008333333333333,-0.2,-0.19039757680663172,0.6594660487971638,-0.7972884645246119
8.008333333333333,-0.19666666666666668,-0.19112596587344655,0.7208431214840019,-0.9661713419194832
8.008333333333333,-0.19333333333333336,-0.18731192196939972,0.7801580779194026,-1.1471217408620524
8.008333333333333,-0.19,-0.17919591172258542,0.8372919079401058,-1.3378931286477878
8.008333333333333,-0.18666666666666668,-0.16701369411189582,0.8921359587428199,-1.5360259897221373
8.008333333333333,-0.18333333333333335,-0.1509963161253136,0.9445915234124058,-1.7389065172383078
8.008333333333333,-0.18000000000000002,-0.1313701120300994,0.9945694442384365,-1.9438205461559033
8.008333333333333,-0.17666666666666667,-0.10835670600945946,1.0419897303095098,-2.148002844666529
8.008333333333333,-0.17333333333333334,-0.08217301792589105,1.086781188890285,-2.3486818953014645
8.008333333333333,-0.17,-0.05303127198585322,1.1288810701029561,-2.543120309256716
8.008333333333333,-0.16666666666666669,-0.021139008086365152,1.1682347244478848,-2.7286510274859
8.008333333333333,-0.16333333333333333,0.013300904363555688,1.2047952727131914,-2.90270947019033
8.008333333333333,-0.16,0.0500902503475924,1.2385232878376478,-3.0628618026725847
8.008333333333333,-0.15666666666666668,0.08903545106290878,1.2693864883040327,-3.206829490285737
8.008333333333333,-0.15333333333333335,0.12994754384054552,1.297359442652315,-3.33251031857787
8.008333333333333,-0.15000000000000002,0.1726421603398638,1.322423284716205,-3.4379960568655634
8.008333333333333,-0.14666666666666667,0.2169395031851682,1.344565439196618,-3.521586944479533
8.008333333333333,-0.14333333333333334,0.2626643212035269,1.3637793571997676,-3.5818031789818034
8.008333333333333,-0.14,0.3096458834178488,1.3800642613758676,-3.617393584818598
8.008333333333333,-0.13666666666666666,0.35771795194026623,1.3934249003081014,-3.627341639316607
8.008333333333333,-0.13333333333333336,0.40671875390673584,1.4038713118096133,-3.6108690306851936
8.008333333333333,-0.13,0.45649095258540306,1.4114185947985511,-3.567436919901576
8.008333333333333,-0.12666666666666668,0.506881617786803,1.4160866894284254,-3.4967450750523827
8.008333333333333,-0.12333333333333334,0.5577421956973172,1.4179001651631928,-3.39872904301709
8.008333333333333,-0.12000000000000001,0.6089284782517908,1.4168880164930187,-3.2735555193109582
8.008333333333333,-0.11666666666666667,0.6603005721568813,1.4130834659969267,-3.1216160725663653
8.008333333333333,-0.11333333333333334,0.7117228676696161,1.4065237744661978,-2.9435193755495552
8.008333333333333,-0.11,0.7630640072330728,1.397250057811135,-2.7400820898372507
8.008333333333333,-0.10666666666666667,0.8141968540642246,1.3853071104802055,-2.5123185463578723
8.008333333333333,-0.10333333333333333,0.8649984607859764,1.3707432351295505,-2.2614293589826358
8.008333333333333,-0.1,0.9153500381897874,1.3536100782873,-1.98878910325381
8.016666666666667,-0.2,-0.04908354106007806,0.6725835045009987,-0.8999187530476971
8.016666666666667,-0.19666666666666668,-0.054072031486880334,0.7227169932113284,-1.0387921353746103
8.016666666666667,-0.19333333333333336,-0.05484247573171075,0.7713617666468764,-1.1839825558004138
8.016666666666667,-0.19,-0.051608985756406156,0.818388376386487,-1.3341920943874108
8.016666666666667,-0.18666666666666668,-0.04458200000368784,0.8636776686437884,-1.4879031211792813
8.016666666666667,-0.18333333333333335,-0.03396824228307338,0.9071203837631643,-1.6434270983096577
8.016666666666667,-0.18000000000000002,-0.019970685531420784,0.9486167698217329,-1.7989498954128476
8.016666666666667,-0.17666666666666667,-0.0027885201611450583,0.9880762098530624,-1.952573641265808
8.016666666666667,-0.17333333333333334,0.017382873279460753,1.025416862227594,-2.10235515411447
8.016666666666667,-0.17,0.04035194739724801,1.060565313734493,-2.2463410100759864
8.016666666666667,-0.16666666666666669,0.06593100744886549,1.0934562449265783,-2.3825993236514216
8.016666666666667,-0.16333333333333333,0.0939362272839066,1.124032107302007,-2.5092483268989136
8.016666666666667,-0.16,0.12418766196703679,1.1522428119098045,-2.624481844425948
8.016666666666667,-0.15666666666666668,0.15650925730256482,1.178045428979047,-2.726591770234053
8.016666666666667,-0.15333333333333335,0.19072885647580406,1.2014038981825266,-2.8139876597512057
8.016666666666667,-0.15000000000000002,0.22667820401491667,1.2222887491589844,-2.885213556290413
8.016666666666667,-0.14666666666666667,0.26419294727025644,1.2406768319282762,-2.938962175792479
8.016666666666667,-0.14333333333333334,0.3031126355974276,1.2565510568446143,-2.974086577196996
8.016666666666667,-0.14,0.34328071742571886,1.2699001437440103,-2.9896094482494835
8.016666666666667,-0.13666666666666666,0.3845445353821457,1.2807183799525994,-2.984730138112281
8.016666666666667,-0.13333333333333336,0.4267553196369347,1.289005386830464,-2.958829568879064
8.016666666666667,-0.13,0.46976817962688866,1.2947658945377505,-2.911473158136361
8.016666666666667,-0.12666666666666668,0.5134420943084628,1.298009524716516,-2.8424118840938704
8.016666666666667,-0.12333333333333334,0.557639901082867,1.2987505807918147,-2.7515816236547326
8.016666666666667,-0.12000000000000001,0.6022282835324511,1.2970078456037832,-2.63910089214265
8.016666666666667,-0.11666666666666667,0.6470777580985922,1.29280438609047,-2.5052671113377136
8.016666666666667,-0.11333333333333334,0.6920626598270614,1.28616736474887,-2.350551530036292
8.016666666666667,-0.11,0.7370611273011818,1.277127857609706,-2.175592918608537
8.016666666666667,-0.10666666666666667,0.781955086875814,1.2657206784678188,-1.981190156020147
8.016666666666667,-0.10333333333333333,0.8266302363228659,1.2519842091183868,-1.7682938245571909
8.016666666666667,-0.1,0.8709760279914223,1.2359602353540904,-1.5379969240816473
8.025,-0.2,0.06452034466295586,0.6941714869466011,-0.9554223568284572
8.025,-0.19666666666666668,0.05663281791282415,0.73393575634082,-1.0709088367416486
8.025,-0.19333333333333336,0.05261625966189065,0.7727178326097501,-1.1886487561046046
8.025,-0.19,0.052282624494900176,0.810380421555351,-1.307965909632307
8.025,-0.18666666666666668,0.05544653867140603,0.8467963696790264,-1.4279795461018774
8.025,-0.18333333333333335,0.061925376145638644,0.8818482777549121,-1.5476432655370518
8.025,-0.18000000000000002,0.07153932852518352,0.9154281277292853,-1.6657815630242212
8.025,-0.17666666666666667,0.08411146929281088,0.9474369224959602,-1.7811239656840412
8.025,-0.17333333333333334,0.09946781260169502,0.977784338109629,-1.8923367322174385
8.025,-0.17,0.11743736694125761,1.0063883880131854,-1.9980521047473645
8.025,-0.16666666666666669,0.13785218395951304,1.033175098867062,-2.096895120593112
8.025,-0.16333333333333333,0.1605474027170093,1.0580781975831073,-2.187508007363079
8.025,-0.16,0.1853612896351553,1.0810388091735241,-2.2685721984882066
8.025,-0.15666666666666668,0.21213527439071722,1.1020051650421294,-2.338828018277412
8.025,-0.15333333333333335,0.24071398200056215,1.1209323213514502,-2.397092095839567
8.025,-0.15000000000000002,0.2709452613264647,1.1377818871132277,-2.4422725760153425
8.025,-0.14666666666666667,0.30268021022523595,1.1525217616592762,-2.473382202872417
8.025,-0.14333333333333334,0.33577319755548274,1.1651258811590601,-2.489549357500086
8.025,-0.14,0.3700818822469998,1.175573973861347,-2.4900271369053537
8.025,-0.13666666666666666,0.40546722962803017,1.1838513237458699,-2.4742005648652374
8.025,-0.13333333333333336,0.44179352519816284,1.189948542279737,-2.441592028733302
8.025,-0.13,0.4789283860274489,1.193861347983077,-2.3918650385302254
8.025,-0.12666666666666668,0.5167427699525105,1.1955903535157297,-2.324826406243349
8.025,-0.12333333333333334,0.5551109827350871,1.1951408600057931,-2.240426944204545
8.025,-0.12000000000000001,0.5939106833411767,1.1925226583481106,-2.138760781773722
8.025,-0.11666666666666667,0.6330228874898234,1.1877498372081163,-2.0200633994039063
8.025,-0.11333333333333334,0.672331969617189,1.180840597474674,-1.8847084785500328
8.025,-0.11,0.7117256633929685,1.1718170729117006,-1.7332036648703695
8.025,-0.10666666666666667,0.7510950609197034,1.160705156765225,-1.566185340806825
8.025,-0.10333333333333333,0.7903346107430078,1.1475343340889097,-1.3844125019491516
8.025,-0.1,0.8293421147892994,1.13233751955803,-1.1887598296712893
8.033333333333333,-0.2,0.15274866018736866,0.7210155559829303,-0.9930625575606759
8.033333333333333,-0.19666666666666668,0.14315390004173523,0.7513330110432932,-1.0880165087724443
8.033333333333333,-0.19333333333333336,0.13706682238531087,0.7811089682590193,-1.1826878129917267
8.033333333333333,-0.19,0.13432493457100225,0.8102007872121177,-1.2767642551032625
8.033333333333333,-0.18666666666666668,0.13476745370987064,0.8384757281041999,-1.3697585600808522
8.033333333333333,-0.18333333333333335,0.13823541549506135,0.8658105823125481,-1.461037868694603
8.033333333333333,-0.18000000000000002,0.14457177586260705,0.892091315406411,-1.5498518332949456
8.033333333333333,-0.17666666666666667,0.15362150584623357,0.9172127222052069,-1.6353592214332433
8.033333333333333,-0.17333333333333334,0.1652316799676825,0.9410780934748431,-1.7166529399066055
8.033333333333333,-0.17,0.17925155849293706,0.9635988938697579,-1.7927834140897485
8.033333333333333,-0.16666666666666669,0.19553266386902823,0.9846944507398376,-1.8627802773562243
8.033333333333333,-0.16333333333333333,0.21392885164475706,1.0042916534323965,-1.9256723431758644
8.033333333333333,-0.16,0.2342963761683894,1.0223246627312506,-1.9805058482858515
8.033333333333333,-0.15666666666666668,0.2564939513407172,1.038734630084651,-2.026360969325445
8.033333333333333,-0.15333333333333335,0.28038280669056537,1.0534694262838684,-2.062366627654368
8.033333333333333,-0.15000000000000002,0.30582673903456437,1.0664833792650725,-2.087713607880266
8.033333333333333,-0.14666666666666667,0.3326921599635271,1.0777370207155244,-2.101666025039155
8.033333333333333,-0.14333333333333334,0.3608481393962486,1.0871968411751176,-2.103571183510839
8.033333333333333,-0.14,0.3901664454259346,1.0948350533326945,-2.09286787773939
8.033333333333333,-0.13666666666666666,0.4205215806782583,1.1006293632250284,-2.069093190753981
8.033333333333333,-0.13333333333333336,0.45179081539010557,1.104562749055649,-2.031887851461033
8.033333333333333,-0.13,0.48385421740869816,1.106623247356925,-1.9810002157732047
8.033333333333333,-0.12666666666666668,0.5165946793033558,1.1068037462277722,-1.9162889399585876
8.033333333333333,-0.12333333333333334,0.5498979427737751,1.1051017853872587,-1.8377244171985534
8.033333333333333,-0.12000000000000001,0.5836526205301498,1.101519362789432,-1.7453890502966503
8.033333333333333,-0.11666666666666667,0.6177502158146613,1.0960627475534288,-1.6394764348706217
8.033333333333333,-0.11333333333333334,0.6520851397238672,1.0887422989699367,-1.520289528235295
8.033333333333333,-0.11,0.686554726487349,1.0795722913482138,-1.3882378795694275
8.033333333333333,-0.10666666666666667,0.7210592468495896,1.0685707444793202,-1.2438339969795826
8.033333333333333,-0.10333333333333333,0.7555019196952499,1.0557592594913068,-1.0876889266768492
8.033333333333333,-0.1,0.7897889220526091,1.0411628598825917,-0.9205071188037499
8.041666666666666,-0.2,0.21803398055632905,0.7503285206039436,-1.0309081443089299
8.041666666666666,-0.19666666666666668,0.20775799357333968,0.7721534389349216,-1.1061150987308117
8.041666666666666,-0.19333333333333336,0.2006164144288407,0.7938133365765125,-1.1797853351769025
8.041666666666666,-0.19,0.19647157746719723,0.8151626147980195,-1.2517780156237912
8.041666666666666,-0.18666666666666668,0.19518661190258801,0.836065254900646,-1.3218145939721413
8.041666666666666,-0.18333333333333335,0.19662558113148654,0.8563944684417635,-1.3894997328447116
8.041666666666666,-0.18000000000000002,0.20065361386974412,0.8760323589718197,-1.4543416424134856
8.041666666666666,-0.17666666666666667,0.20713702750121055,0.8948695949020902,-1.5157716874363873
8.041666666666666,-0.17333333333333334,0.21594344401034649,0.9128050931352405,-1.5731631340851708
8.041666666666666,-0.17,0.2269418988548686,0.9297457131002105,-1.625848931144731
8.041666666666666,-0.16666666666666669,0.24000294312183956,0.9456059608440199,-1.6731384409531944
8.041666666666666,-0.16333333333333333,0.2549987392970563,0.9603077028421438,-1.7143330541897344
8.041666666666666,-0.16,0.27180315096477625,0.9737798892010936,-1.7487406394762264
8.041666666666666,-0.15666666666666668,0.2902918267415717,0.9859582859329628,-1.7756887938538146
8.041666666666666,-0.15333333333333335,0.31034227873711817,0.9967852159947626,-1.7945368737079566
8.041666666666666,-0.15000000000000002,0.33183395582159414,1.0062093087902824,-1.80468679772002
8.041666666666666,-0.14666666666666667,0.3546483119703483,1.01418525784403,-1.8055926240894886
8.041666666666666,-0.14333333333333334,0.3786688699432952,1.0206735863630598,-1.7967689136701965
8.041666666666666,-0.14,0.403781280547704,1.0256404204104008,-1.7777978989177603
8.041666666666666,-0.13666666666666666,0.42987337772196066,1.0290572694240687,-1.748335485760866
8.041666666666666,-0.13333333333333336,0.45683522966883816,1.0309008138186506,-1.7081161217307521
8.041666666666666,-0.13,0.4845591862576134,1.0311526994179445,-1.6569565690605468
8.041666666666666,-0.12666666666666668,0.5129399229034486,1.0297993384713777,-1.5947586260157829
8.041666666666666,-0.12333333333333334,0.5418744811266913,1.0268317170145451,-1.5215108435414357
8.041666666666666,-0.12000000000000001,0.5712623059835151,1.0222452083404434,-1.4372892874747865
8.041666666666666,-0.11666666666666667,0.6010052805528908,1.0160393923544468,-1.3422573991270694
8.041666666666666,-0.11333333333333334,0.6310077576564483,1.0082178805915518,-1.2366650090438034
8.041666666666666,-0.11,0.6611765889798376,0.998788146680436,-1.1208465602686544
8.041666666666666,-0.10666666666666667,0.6914211517573394,0.9877613620444414,-0.9952185985008886
8.041666666666666,-0.10333333333333333,0.7216533731744101,0.975152236634834,-0.8602765871998296
8.041666666666666,-0.1,0.7517877526354994,0.9609788644970081,-0.7165911059944486
