9.248877814666175423e-01,9.309318587559434199e-01,9.363135331685825680e-01,9.410225603814159623e-01,9.450499764935003100e-01,9.483881150893632705e-01,9.510306218324595662e-01,9.529724665610138645e-01,9.542099528632184136e-01,9.547407251135621165e-01,9.545637729568998697e-01,9.404375143026720840e-01,9.256307582161577008e-01,9.101716901991285802e-01,8.940897374661916919e-01,8.774155129284122445e-01,8.601807569198982595e-01,8.424182767782725234e-01,8.241618843940373695e-01,8.054463318477220746e-01,7.863072452573207638e-01
9.264464596010069108e-01,9.331621010335913180e-01,9.391417392698570010e-01,9.443739917285607355e-01,9.488488985197655046e-01,9.525579414040574733e-01,9.554940600074979251e-01,9.576516652614471825e-01,9.590266500416742002e-01,9.596163969865009191e-01,9.594197834790982871e-01,9.437239405299563400e-01,9.272719893227179266e-01,9.100952470815745210e-01,8.922264107116444354e-01,8.736994945585561112e-01,8.545497656602076830e-01,8.348136766139565568e-01,8.145287961870288918e-01,7.937337378022341072e-01,7.724680860351215150e-01
9.280051377353959463e-01,9.353923433112389940e-01,9.419699453711309900e-01,9.477254230757051756e-01,9.526478205460305881e-01,9.567277677187516760e-01,9.599574981825363951e-01,9.623308639618805005e-01,9.638433472201302088e-01,9.644920688594394997e-01,9.642757940012967044e-01,9.470103667572402628e-01,9.289132204292780415e-01,9.100188039640206838e-01,8.903630839570974009e-01,8.699834761887000889e-01,8.489187744005167735e-01,8.272090764496409232e-01,8.048957079800204140e-01,7.820211437567458068e-01,7.586289268129218222e-01
9.295638158697853148e-01,9.376225855888865590e-01,9.447981514724053120e-01,9.510768544228495047e-01,9.564467425722956717e-01,9.608975940334458787e-01,9.644209363575746430e-01,9.670100626623137074e-01,9.686600443985861064e-01,9.693677407323779693e-01,9.680658838581948089e-01,9.502967929845244077e-01,9.305544515358384894e-01,9.099423608464664026e-01,8.884997572025503665e-01,8.662674578188441776e-01,8.432877831408259750e-01,8.196044762853248455e-01,7.952626197730114921e-01,7.703085497112577285e-01,7.447897675907226844e-01
9.311224940041743503e-01,9.398528278665341240e-01,9.476263575736795230e-01,9.544282857699942779e-01,9.602456645985606443e-01,9.650674203481400815e-01,9.688843745326127799e-01,9.716892613627470254e-01,9.734767415770420040e-01,9.725844554629597960e-01,9.610905274404240028e-01,9.487281190284562182e-01,9.321956826423987152e-01,9.098659177289124544e-01,8.866364304480033320e-01,8.625514394489881553e-01,8.376567918811351765e-01,8.119998761210091009e-01,7.856295315660029033e-01,7.585959556657695391e-01,7.309506083685232136e-01
9.326811721385634968e-01,9.420830701441819111e-01,9.504545636749535120e-01,9.577797171171388291e-01,9.640445866248257278e-01,9.692372466628343952e-01,9.733478127076512498e-01,9.763684600631802324e-01,9.779124747415193220e-01,9.664932473546148373e-01,9.541151710226534188e-01,9.408018081174570613e-01,9.265785013819975990e-01,9.097894746113581732e-01,8.847731036934560755e-01,8.588354210791323551e-01,8.320258006214442670e-01,8.043952759566931343e-01,7.759964433589942034e-01,7.468833616202814607e-01,7.171114491463237428e-01
9.342398502729529763e-01,9.443133124218294761e-01,9.532827697762278341e-01,9.611311484642834913e-01,9.678435086510909224e-01,9.734070729775287090e-01,9.778112508826893867e-01,9.810476587636133283e-01,9.726369257322390327e-01,9.604020392462702116e-01,9.471398146048827238e-01,9.328754972064582374e-01,9.176362399898945199e-01,9.014510517474462192e-01,8.807525491557737229e-01,8.543565824160312960e-01,8.263948093617535795e-01,7.967906757923772787e-01,7.663633551519855036e-01,7.351707675747933823e-01,7.032722899241244940e-01
9.357985284073420118e-01,9.465435546994771521e-01,9.561109758775021561e-01,9.644825798114279314e-01,9.716424306773560060e-01,9.775768992922229117e-01,9.822746890577275236e-01,9.792912524869478164e-01,9.673613767229589655e-01,9.543108311379250308e-01,9.401644581871121398e-01,9.249491862954591914e-01,9.086939785977912187e-01,8.644986693264186117e-01,8.120859500745739590e-01,7.839302522188487110e-01,7.555916992654786446e-01,7.271242352606689385e-01,7.067266781680583421e-01,7.067266781680583421e-01,6.894331307019249122e-01
9.368376471636015168e-01,9.480303828845754177e-01,9.579964466116847044e-01,9.667168673761912245e-01,9.741750453615326544e-01,9.803567835020190468e-01,9.852503145077532443e-01,9.762712979709271544e-01,9.638443440501054393e-01,9.502500257323620581e-01,9.355142205752648987e-01,9.096665027110089063e-01,8.751511515671810404e-01,8.209047999077790925e-01,7.663082173537744124e-01,7.369793654207272837e-01,7.074600394276333581e-01,6.778064310892898403e-01,6.543765538593132591e-01,6.543765538593134812e-01,6.543765538593132591e-01
9.373572065417312693e-01,9.487737969771247171e-01,9.589391819787762561e-01,9.678340111585725936e-01,9.754413527036209786e-01,9.817467256069171144e-01,9.690423460158963387e-01,9.687019882883087796e-01,9.620858277136785652e-01,9.448130117360494795e-01,9.191290549696833345e-01,8.927643827481421823e-01,8.544391438910494685e-01,7.991078651984593328e-01,7.434193509933745281e-01,7.135039220216665701e-01,6.833942095087108815e-01,6.531475290036004022e-01,6.282014917049408842e-01,6.282014917049408842e-01,6.282014917049408842e-01
9.389158846761204158e-01,9.510040392547723931e-01,9.617673880800504671e-01,9.711854425057171447e-01,9.672647189777446863e-01,9.408424655709974882e-01,9.136476878183744654e-01,9.132873090479876055e-01,9.122068587382990978e-01,8.971683359055611096e-01,8.699735581529379758e-01,8.420580228595413441e-01,7.923031208626540867e-01,7.337170610704998319e-01,6.747527519121750972e-01,6.430775918244842071e-01,6.111967197519426742e-01,5.791708227465315328e-01,5.496763052418230933e-01,5.496763052418230933e-01,5.496763052418229822e-01
9.404745628105096733e-01,9.532342815324197360e-01,9.645955941813247891e-01,9.418704082443880576e-01,9.148487847335208256e-01,8.869586283597323817e-01,8.582530296208525922e-01,8.578726298076663204e-01,8.567321544807727784e-01,8.495236600750725176e-01,8.208180613361928391e-01,7.913516629709405059e-01,7.301670978342587048e-01,6.683262569425405530e-01,6.060861528309753332e-01,5.726512616273016221e-01,5.389992299951744670e-01,5.051941164894627745e-01,5.093916932064679326e-01,5.345236906183021830e-01,5.586381918047037543e-01
9.420332409448988198e-01,9.554645238100678561e-01,9.297698428913950819e-01,8.908766647112628112e-01,8.624328504892974090e-01,8.330747911484672752e-01,8.028583714233306079e-01,8.024579505673452573e-01,8.012574502232469031e-01,7.992591556116727114e-01,7.716625645194475913e-01,7.325825065073696685e-01,6.680310748058635451e-01,6.027226864868427958e-01,5.370092602048921471e-01,5.022249314301191481e-01,4.802825434145441275e-01,5.087263576365096407e-01,5.415335697706707974e-01,5.941692346962483828e-01,6.450159522356315733e-01
9.435919190792880773e-01,9.451567913915756014e-01,8.781018519570679137e-01,8.398829211781376758e-01,8.100169162450741034e-01,7.791909539372025018e-01,7.474637132258089567e-01,7.470432713270240832e-01,7.457827459657210278e-01,7.426859691204446001e-01,7.128842460878518361e-01,6.690876042769378085e-01,6.010225291204606135e-01,5.324251532422960009e-01,4.634260556462475589e-01,4.739266257031204410e-01,5.347252330045039193e-01,5.940037422095307829e-01,6.516493133067595700e-01,6.849105399674979555e-01,7.031895940947305856e-01
