candidate_id,screen_outside,sampled_kmax,min_radial_dot,parity,phi,tx,ty
0.000000000000000000e+00,6.809884095779442092e-03,2.176416072281246628e+01,1.428309724186656825e-03,-1.000000000000000000e+00,-2.444381537380660330e+00,-8.991815898227864534e-02,7.074051645052348292e-01
6.000000000000000000e+00,6.644998218602484255e-03,1.526167543614552002e+01,1.428457733018709914e-03,-1.000000000000000000e+00,-2.556969992006033809e+00,-5.035907964531834147e-02,7.032049524334771373e-01
3.000000000000000000e+00,5.960759492867759128e-03,1.335473632670887589e+01,1.428528014610124181e-03,1.000000000000000000e+00,-1.978152447750350929e-01,4.368282206974000853e-02,-4.183300508539097157e-02
1.000000000000000000e+01,5.863270892421211002e-03,1.679403200589277745e+01,1.428460301078469333e-03,-1.000000000000000000e+00,-2.546003034311132840e+00,-6.621147568143456730e-02,7.058645088517501165e-01
1.100000000000000000e+01,5.729495240479308589e-03,1.814392769974397979e+01,1.428429079411670539e-03,-1.000000000000000000e+00,-2.486735448077695754e+00,-8.734035762197792097e-02,7.086457845168271374e-01
1.800000000000000000e+01,5.322931803658623520e-03,1.628801997126442203e+01,1.428413014252725207e-03,-1.000000000000000000e+00,-2.445327342958698136e+00,-9.588360992265482219e-02,7.019358249803435701e-01
1.200000000000000000e+01,5.218040519981415742e-03,1.390593768387858020e+01,1.428451580785962145e-03,1.000000000000000000e+00,-1.742988740066257758e-01,4.185806829193001316e-02,-4.262926240686210760e-02
5.000000000000000000e+00,5.109904578514691195e-03,1.543250883005988605e+01,1.428511797791026531e-03,-1.000000000000000000e+00,-2.363109098865638025e+00,-9.958945256898364684e-02,6.977582966608022463e-01
1.000000000000000000e+00,5.037696825310398509e-03,1.609808051392879591e+01,1.428513498377971666e-03,1.000000000000000000e+00,-1.724380495645056743e-01,5.272797303013008335e-02,-3.724839023409770578e-02
8.000000000000000000e+00,4.425594386599182063e-03,1.398041135248530153e+01,1.428514674934597880e-03,-1.000000000000000000e+00,-2.685751738615916651e+00,-5.187835589747545606e-02,7.047583307011993092e-01
1.400000000000000000e+01,3.184152012511084172e-03,1.813845698699292086e+01,1.428514146199086126e-03,1.000000000000000000e+00,-3.417872171262280601e-01,6.006870119819763404e-02,-2.318828969505858789e-02
1.600000000000000000e+01,9.705120374922553746e-04,2.200667748658903378e+01,1.428412699819984946e-03,-1.000000000000000000e+00,-2.354197486245409365e+00,-1.011079656093227669e-01,7.272275319890291190e-01
1.700000000000000000e+01,4.905987963078510062e-04,1.889503342700175281e+01,1.428511448540819434e-03,-1.000000000000000000e+00,-2.489331669952862924e+00,-9.906196963832900049e-02,7.267601353030516131e-01
2.000000000000000000e+00,2.948054418243291645e-04,1.998287515357255728e+01,1.428441641323105428e-03,1.000000000000000000e+00,-2.802511472307424034e-01,1.397896710932896962e-02,-2.301580732755307765e-02
7.000000000000000000e+00,0.000000000000000000e+00,2.340848127867056050e+01,1.428536725270310387e-03,1.000000000000000000e+00,-4.041490569149286394e-01,4.073902156890361718e-03,3.278483783669650011e-03
