d_w,d_beta,d_delta,d_center,d_epsilon
-2.865884868100000205e+00,-2.485271309000000040e-01,-1.071591459999999933e-02,-6.727359799999999869e-03,-7.779309400000000013e-03
-2.793250780000000155e+00,-2.683196073999999931e-01,-1.982941430000000060e-02,-2.510937879999999844e-02,-7.772915600000000237e-03
2.619861337000000123e-01,9.527766710000000472e-02,4.707842269999999718e-02,5.108074199999999843e-03,4.734202000000000180e-04
-1.572601801999999882e-01,-2.676582921999999809e-01,-1.629602289000000037e-01,-1.378115799999999995e-02,4.432044000000000218e-04
