multiplier,coefficient_norm,global_scale,gain_over_base,global_phase,local_minimum_count,contact_change_count
0.0,0.0,0.9989143432427673,2.8388402739665253e-13,2.0943951023931953,8,18
0.02,0.0008,0.9989143442037676,9.612841633810376e-10,4.71238898038469,8,18
0.04,0.0016,0.9989143451549202,1.9124367645062534e-09,4.71238898038469,8,18
0.06,0.0024,0.9989143460962665,2.8537830987218626e-09,4.71238898038469,8,18
0.08,0.0032,0.9989143470278274,3.785344038220728e-09,4.71238898038469,8,18
0.1,0.004,0.998914347949639,4.707155554228848e-09,4.71238898038469,8,18
0.12,0.0048,0.9989143488617285,5.61924506925493e-09,4.71238898038469,8,18
0.14,0.005600000000000001,0.9989143497641134,6.521630013800461e-09,4.71238898038469,8,18
0.16,0.0064,0.9989143506568285,7.414345137846112e-09,4.71238898038469,8,18
0.18,0.0072,0.9989143515399088,8.297425413417159e-09,4.71238898038469,8,18
0.2,0.008,0.9989143524133779,9.170894488264025e-09,4.71238898038469,8,18
0.22,0.0088,0.9989143532772694,1.0034786002144358e-08,4.71238898038469,8,18
0.24,0.0096,0.9989143541316018,1.0889118384760366e-08,4.71238898038469,8,18
0.26,0.0104,0.998914354976407,1.1733923610535157e-08,4.71238898038469,8,18
0.28,0.011200000000000002,0.9989143558117191,1.2569235652293287e-08,4.71238898038469,8,18
0.3,0.012,0.998914356637565,1.3395081599476555e-08,4.71238898038469,8,18
0.35,0.013999999999999999,0.9989143586609441,1.541846073038755e-08,4.71238898038469,8,18
0.39999999999999997,0.016,0.9989143606257691,1.7383285699779094e-08,4.71238898038469,8,18
0.45,0.018000000000000002,0.9989143625324881,1.9290004704686226e-08,4.71238898038469,8,18
0.5,0.02,0.9989143643815542,2.1139070827125295e-08,4.71238898038469,8,18
0.55,0.022000000000000002,0.9989143661734043,2.2930920939856492e-08,4.71238898038469,8,18
0.6000000000000001,0.024000000000000004,0.9989143679084849,2.4666001463558018e-08,4.71238898038469,8,18
0.65,0.026000000000000002,0.9989143695872511,2.6344767700692273e-08,4.71238898038469,8,18
0.7000000000000001,0.028,0.9989143712101272,2.7967643756454663e-08,4.71238898038469,8,18
0.75,0.030000000000000002,0.9989143727775757,2.953509226077955e-08,4.71238898038469,8,18
0.8,0.032,0.9989143742900323,3.1047548865181795e-08,4.71238898038469,8,18
0.9,0.036000000000000004,0.9989143771517452,3.3909261842879346e-08,4.71238898038469,8,18
1.0,0.04,0.9989143797988231,3.655633973309591e-08,4.71238898038469,8,18
1.1,0.044000000000000004,0.9989143822347919,3.89923084931354e-08,4.71238898038469,8,18
1.2000000000000002,0.04800000000000001,0.998914384463199,4.122071561862839e-08,4.71238898038469,8,18
1.3,0.052000000000000005,0.9989143864875625,4.324507907327302e-08,4.71238898038469,8,18
1.4,0.055999999999999994,0.9989143883114051,4.506892170574872e-08,4.71238898038469,8,18
1.5,0.060000000000000005,0.9989143899382511,4.6695767697002566e-08,4.71238898038469,8,18
1.6,0.064,0.9989143913716056,4.81291222431679e-08,4.71238898038469,8,18
1.8,0.07200000000000001,0.9989143936718248,5.042934136945121e-08,4.71238898038469,8,18
2.0,0.08,0.9989143952400157,5.199753227991266e-08,4.71238898038469,8,18
2.2,0.08800000000000001,0.998914396103985,5.286150162042702e-08,4.71238898038469,9,18
2.5,0.1,0.9989143961400453,5.289756188631145e-08,4.71238898038469,9,18
2.8,0.11199999999999999,0.9989143947467312,5.150424775557383e-08,4.71238898038469,9,18
3.2,0.128,0.9989143908246412,4.7582157769454625e-08,4.71238898038469,9,18
3.6,0.14400000000000002,0.9989141929074654,-1.503350179898888e-07,0.13849634377597447,9,18
4.0,0.16,0.998913362199491,-9.810429923984287e-07,0.1385686508463676,9,18
4.5,0.18000000000000002,0.9989123605372998,-1.9827051835896725e-06,0.1386299384800799,9,18
5.0,0.2,0.9989113999770063,-2.9432654771177624e-06,0.13867263158221296,9,18
