translation_like_P1,width_split_P2,skew_P3,shoulder_P4,tail_skew_P5,triple_peak_P6,wave_P7,wave_P8
-1.055290577145484576e-05,8.624411948487953339e-06,3.293327416331592872e-06,-5.950396425591364391e-07,3.176556240269690079e-07,-1.403823238210755164e-06,-4.633359668160252909e-07,1.653670256285266760e-06
8.624411948487953339e-06,-3.357815414606335480e-05,-2.066912613285509792e-06,4.951724794088896431e-06,-3.883490751199758506e-07,7.212562144753853488e-06,3.333860965071266946e-07,-5.726034230102428069e-06
3.293327416331592872e-06,-2.066912613285509792e-06,-1.375304731210391651e-05,-8.294580300383103122e-08,5.593572480200315056e-06,3.171612278363156179e-07,8.555135766474819548e-08,-1.623961382035687961e-07
-5.950396425591364391e-07,4.951724794088896431e-06,-8.294580300383103122e-08,-1.966385387852653821e-06,1.991913578525128514e-07,-1.914727057461540483e-06,1.845572306091725068e-08,-5.039406392182144145e-07
3.176556240269690079e-07,-3.883490751199758506e-07,5.593572480200315056e-06,1.991913578525128514e-07,-4.735191405647043439e-06,-2.016806860405395696e-07,-1.241055869183327331e-06,-2.351799310851276914e-07
-1.403823238210755164e-06,7.212562144753853488e-06,3.171612278363156179e-07,-1.914727057461540483e-06,-2.016806860405395696e-07,-2.083069827740757773e-06,-4.692427002517263190e-09,1.645541342076839442e-06
-4.633359668160252909e-07,3.333860965071266946e-07,8.555135766474819548e-08,1.845572306091725068e-08,-1.241055869183327331e-06,-4.692427002517263190e-09,-9.409140133698201680e-07,4.025772770699376224e-08
1.653670256285266760e-06,-5.726034230102428069e-06,-1.623961382035687961e-07,-5.039406392182144145e-07,-2.351799310851276914e-07,1.645541342076839442e-06,4.025772770699376224e-08,-8.298431386499771634e-07
