eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7
-2.989471128520636567e-01,2.035697893874328646e-01,-8.955185469257869180e-01,-1.639386873776635667e-01,-1.497829743799799773e-01,6.352340719609771147e-02,1.178089860162942482e-01,-3.388745621219965524e-03
9.047014567864233303e-01,1.551418865727622609e-01,-2.304696611042881260e-01,-1.361833852017924062e-02,-1.418047774034933151e-01,2.617215882851554598e-01,-6.762616279650866813e-02,-1.047113304378025495e-01
1.130495447234582673e-01,-8.710679299899329875e-01,-1.235535882624945597e-01,-3.947622012242948397e-01,-4.133641959948333722e-02,3.174178840244203798e-02,2.336741311501405183e-01,-6.159286307699137798e-03
-1.303212083536550436e-01,-5.863984153689071055e-02,1.398472700828341242e-01,1.180708612570893212e-01,-8.201748978655273303e-01,-4.667856187301174659e-02,-3.457801505909011142e-02,-5.196329224149218717e-01
-5.079359396657581217e-03,4.094377158238013958e-01,3.028145930268916763e-01,-6.884156912899369596e-01,-6.068819132744857764e-02,7.697829398202081508e-02,5.029507780427652230e-01,-6.445087866012509659e-02
-1.976302539870172237e-01,-4.377460123036578526e-02,1.352330098840778816e-01,-2.481646495228527829e-02,-2.547978635446729867e-01,8.124354432282795413e-01,-1.821765534559722788e-01,4.265684538166854556e-01
-1.181428175191390206e-02,3.946620191814259604e-02,6.810270905045244690e-03,-5.707344240598175578e-01,-5.372656771180730345e-02,-2.271127968262086072e-01,-7.856589108249442122e-01,2.814228734841247095e-02
1.521807690243263678e-01,3.434132002774969994e-02,8.746130463991660595e-03,5.376727712630767486e-02,-4.599666847781273549e-01,-4.546679316314721220e-01,1.494683923225130495e-01,7.294252483475927029e-01
