mu,d,lambda1,lambda2,gap12,adjacent_correlation_S1,parity_reverse_overlap,successive_mode_overlap,status
-0.0008,0.2278122886681098,9.847820769958715e-10,4.9218891603141775e-08,4.82341095261459e-08,1.0377021444940477,0.9999999999999999,,FLOATING_EXPLORATION_ONLY
-0.0004,0.22821228866810978,1.1650350117385494e-09,5.439192846881318e-08,5.322689345707463e-08,1.0393251878403569,1.0000000000000002,0.9998545235867107,FLOATING_EXPLORATION_ONLY
-0.0002,0.22841228866810978,1.2648292237826886e-09,5.73250961556308e-08,5.606026693184811e-08,1.040109136116559,1.0,0.9999603816615288,FLOATING_EXPLORATION_ONLY
-0.0001,0.2285122886681098,1.3185488858946453e-09,5.8871380848316216e-08,5.755283196242157e-08,1.040492067449535,0.9999999999999998,0.9999896565906949,FLOATING_EXPLORATION_ONLY
-5e-05,0.2285622886681098,1.3489079910822051e-09,5.966303351057031e-08,5.8314125519488104e-08,1.0406809692288173,1.0000000000000002,0.9999973585015471,FLOATING_EXPLORATION_ONLY
-1e-05,0.22860228866810978,1.369954141404891e-09,6.030445400986902e-08,5.893449986846413e-08,1.0408308390929049,0.9999999999999999,0.9999982867923793,FLOATING_EXPLORATION_ONLY
0.0,0.2286122886681098,1.375062553253923e-09,6.046589357165285e-08,5.909083101839893e-08,1.040868121532605,1.0000000000000002,0.9999998920979629,FLOATING_EXPLORATION_ONLY
1e-05,0.2286222886681098,1.3803342445230455e-09,6.062782550076083e-08,5.9247491256237785e-08,1.040905331739571,1.0000000000000002,0.9999998918812283,FLOATING_EXPLORATION_ONLY
5e-05,0.22866228866810978,1.4039972928091275e-09,6.127955096094465e-08,5.987555366813552e-08,1.0410533853753863,0.9999999999999999,0.9999982582479666,FLOATING_EXPLORATION_ONLY
0.0001,0.22871228866810978,1.4381746386493793e-09,6.210432139819004e-08,6.066614675954066e-08,1.0412366824389743,1.0000000000000004,0.9999972453363768,FLOATING_EXPLORATION_ONLY
0.0002,0.2288122886681098,1.4997894088480047e-09,6.3780594497158e-08,6.228080508831e-08,1.041597244349363,0.9999999999999999,0.9999887461853312,FLOATING_EXPLORATION_ONLY
0.0004,0.2290122886681098,1.6440102903312609e-09,6.722181996417036e-08,6.55778096738391e-08,1.042292559978391,1.0000000000000002,0.9999532164476744,FLOATING_EXPLORATION_ONLY
0.0008,0.22941228866810978,1.9995725432518357e-09,7.421847533393846e-08,7.221890279068663e-08,1.0435779628811384,1.0,0.9998001319400488,FLOATING_EXPLORATION_ONLY
