index,sampled_max_curvature,sampled_min_radial_dot,outside_screen
0,14.892592313168846,0.000833319942173834,0.010878356962987699
1,18.685867386585112,0.0008333025072812395,0.0002273526566169971
2,14.972051162037264,0.000833319333323568,0.0011158033739699794
3,17.043032250386403,0.0008333122583293678,0.006319748056334005
4,10.963132412351715,0.0008333197727613962,0.003683574742816315
5,16.668156837437337,0.0008333090208370585,0.0005300912170437797
6,16.051477566641598,0.00083331846396684,0.0018171164239995643
7,14.20743739334059,0.0008333079777475549,0.00800751215547766
8,18.18426927882408,0.0008333199037375108,0.011503891454924881
9,15.174829474619289,0.0008333003078870445,0.022013602927155308
10,15.11489847769339,0.0008333087321607583,0.001742446660196709
11,19.34922643080548,0.0008333210967290918,0.0035879918423450748
12,15.19216090634613,0.000833317971009305,0.03468698009763639
13,15.962015438235287,0.0008333146187237494,0.00021120533291554117
14,13.392623337032711,0.0008333139541904737,0.002734134426142162
15,16.085045414376093,0.0008333191634219342,0.031244218489268435
16,15.274088972025377,0.000833299615000106,0.011376980154857115
17,16.344662075044397,0.0008333132016491731,0.006688125533073992
18,18.44079957020066,0.0008333096490314007,0.005390931843958668
19,14.461410490055139,0.0008333154881882982,0.0012261352516527578
