knot,value
0.000000000000000000e+00,2.382555760375056231e+00
5.416375692885905258e-02,1.796240162623879533e+00
1.521675454129146343e-01,2.883962594813576086e-01
1.921475150913447560e-01,-6.655055367760344120e-01
2.655071201663222746e-01,-2.401925495278661504e+00
3.364644153904729484e-01,-2.240793032957916431e+00
4.034061596632672053e-01,1.185966502573084558e+00
4.789298399605841916e-01,1.625191563022714947e+00
5.352826072830918491e-01,5.506598888000516778e-01
5.832460849381845280e-01,3.298438336846470920e-01
6.572675810231535243e-01,4.838312144073457499e-02
7.409658098822915484e-01,-3.587626117627922273e+00
7.854172631065386989e-01,5.894444837056413977e-01
8.612944486672436950e-01,3.269656987828186145e-01
9.251040380527323359e-01,-4.027307923528942180e-01
1.000000000000000000e+00,2.100097924019002971e+00
