pool,index,sampled_max_curvature,sampled_min_radial_dot,outside_screen
distributed,0,21.37373033492256,0.0008332820013411545,0.004137450114385538
distributed,1,16.04786146088977,0.0008333036316889545,0.0006660613493680854
distributed,2,21.847476365243832,0.0008332820971513573,0.003971210436997373
distributed,3,17.470167639180364,0.0008333032003962292,0.009495171140747227
distributed,4,23.85770340519876,0.0008332785135923292,0.0151500161629488
distributed,5,23.570771333974324,0.0008332660137285441,0.0053538505340424165
distributed,6,23.9606893949869,0.0008332781601033638,0.0037654655505181198
distributed,7,20.472774187944285,0.0008332853140780418,0.010288860361042351
distributed,8,19.94803489277775,0.0008333052204541091,0.007301538283662801
distributed,9,23.094273977978524,0.0008332764382840634,0.0330036332784964
distributed,10,19.433983500555573,0.0008333108526946901,0.0046186331332058825
distributed,11,23.064761179012738,0.0008332883458372908,0.009538481067491096
localized,0,17.326909144974575,0.0008333263960829647,0.005111803164036693
localized,1,20.2691855286734,0.0008333170812864372,0.002973521835703092
localized,2,23.87329495430496,0.0008333158688678676,0.009973520455891784
localized,3,17.383284514307537,0.0008333184358912583,0.008802304959387957
localized,4,18.53070301135069,0.0008333137853540323,0.00020382201640799542
localized,5,23.4744168714821,0.0008333258094807269,0.0020943324901195855
localized,6,16.207240302772263,0.0008333063474603198,0.005101924333038746
localized,7,20.61507701172335,0.0008333195137617715,0.0013906054340736317
localized,8,17.310774429364724,0.0008333131549351007,0.0035776789483980722
localized,9,22.219687021435803,0.0008333141507650688,0.001509809114248334
localized,10,22.60037192772743,0.0008333129065575471,0.0011662626470417428
localized,11,21.832750337243844,0.0008333170281648762,0.014442169966659875
mixed,0,20.122321561497895,0.0008333151856225202,0.011889484292494631
mixed,1,18.0672259863286,0.0008333202273388804,0.00801224038384942
mixed,2,18.43445071351326,0.0008333137116394966,0.005790080153045562
mixed,3,18.648014257736037,0.0008333178672900961,0.02079874989291228
mixed,4,20.46771330592379,0.000833316255298438,0.012120963213632435
mixed,5,22.25992198150932,0.0008333093378656691,0.004491885232744314
mixed,6,20.8627105427624,0.0008333110213409573,0.012417958605627713
mixed,7,19.67783457529455,0.0008333178024122996,0.0020316029190881333
mixed,8,18.463317041467928,0.0008333099091009837,0.010485384873370859
mixed,9,20.465595597511907,0.000833317232206116,0.00720020337372443
mixed,10,18.042376001653473,0.0008333211777457191,0.01897035990647979
mixed,11,16.79510981945601,0.0008333159346034545,0.003361368989974424
