coefficient
3.823151718617824324e-01
2.525631999513388570e-01
1.811162360786511272e+00
-3.036707042758255981e-01
-5.407394932076693417e-01
3.125122933390077629e-01
-4.508049644520569776e-01
3.515017694187605457e-01
7.582780741717503048e-01
5.970980539091331751e-01
1.390333869421710999e-01
-3.482802191252164503e-01
-2.312295086873857874e-01
1.887293771355166849e-01
2.131280436973130923e-02
6.063006046427484863e-01
5.290021532638129464e-01
2.281373857297841479e-02
3.835253206531547693e-02
-4.722928823508742990e-01
9.051508287539096476e-04
-2.746423658368001008e-02
-3.458412456923098260e-02
-1.903411088037025578e-02
1.307259859636620836e-01
-1.500883596511496387e-01
-2.180558301745561811e-01
2.023665912389637778e-01
-4.963203842743396654e-02
6.214415267740672211e-02
1.186161249233915783e-02
-8.154962642327548417e-02
1.011712150531724613e-01
-4.187082859889571657e-02
-1.942701277920223096e-02
5.268850128652440706e-02
1.206837651734257895e-02
-5.676809956549568048e-02
-5.431319396935971495e-03
1.411789629765852067e-02
