x,y
4.433944512293815365e-01,1.258966876291260917e-01
4.435557941647735869e-01,1.260148748054631951e-01
4.437165458417037800e-01,1.261338649300674519e-01
4.438767021949210911e-01,1.262536551377646532e-01
4.440362591832339167e-01,1.263742425283658211e-01
4.441952127899010949e-01,1.264956241669414339e-01
4.443535590230160426e-01,1.266177970841008138e-01
4.445112939158886722e-01,1.267407582762762885e-01
4.446684135274245331e-01,1.268645047060120712e-01
4.448249139424972909e-01,1.269890333022584139e-01
4.449807912723207637e-01,1.271143409606692032e-01
4.451360416548156285e-01,1.272404245439056059e-01
4.452906612549704657e-01,1.273672808819429902e-01
4.454446462652022487e-01,1.274949067723838980e-01
4.455979929057107269e-01,1.276232989807734031e-01
4.457506974248279241e-01,1.277524542409210762e-01
4.459027560993648609e-01,1.278823692552247260e-01
4.460541652349542807e-01,1.280130406950014121e-01
4.462049211663867143e-01,1.281444652008199014e-01
4.463550202579447679e-01,1.282766393828382867e-01
4.465044589037318601e-01,1.284095598211459910e-01
4.466532335279957411e-01,1.285432230661098796e-01
4.468013405854490139e-01,1.286776256387224260e-01
4.469487765615834385e-01,1.288127640309564281e-01
4.470955379729800172e-01,1.289486347061206684e-01
4.472416213676153052e-01,1.290852340992221792e-01
4.473870233251615036e-01,1.292225586173293972e-01
4.475317404572825564e-01,1.293606046399401466e-01
4.476757694079249172e-01,1.294993685193531197e-01
4.478191068536036545e-01,1.296388465810422996e-01
4.479617495036834485e-01,1.297790351240354356e-01
4.481036941006547036e-01,1.299199304212936834e-01
4.482449374204033332e-01,1.300615287200972969e-01
4.483854762724781007e-01,1.302038262424319859e-01
4.485253075003501899e-01,1.303468191853792701e-01
4.486644279816677794e-01,1.304905037215098318e-01
4.488028346285079517e-01,1.306348759992787545e-01
4.489405243876196105e-01,1.307799321434244821e-01
4.490774942406633996e-01,1.309256682553701090e-01
4.492137412044462930e-01,1.310720804136264461e-01
4.493492623311498568e-01,1.312191646741988627e-01
4.494840547085527382e-01,1.313669170709954592e-01
4.496181154602496011e-01,1.315153336162377951e-01
4.497514417458625124e-01,1.316644103008743349e-01
4.498840307612476663e-01,1.318141430949947845e-01
4.500158797386965559e-01,1.319645279482484224e-01
4.501469859471321500e-01,1.321155607902617657e-01
4.502773466922978529e-01,1.322672375310603998e-01
4.504069593169429120e-01,1.324195540614915845e-01
4.505358212010001639e-01,1.325725062536486920e-01
4.506639297617593409e-01,1.327260899612966449e-01
4.507912824540360464e-01,1.328803010202995738e-01
4.509178767703300728e-01,1.330351352490503070e-01
4.510437102409848298e-01,1.331905884489001379e-01
4.511687804343360031e-01,1.333466564045894809e-01
4.512930849568561054e-01,1.335033348846823009e-01
4.514166214532941424e-01,1.336606196419976023e-01
4.515393876068070633e-01,1.338185064140458569e-01
4.516613811390894351e-01,1.339769909234634349e-01
4.517825998104933460e-01,1.341360688784495325e-01
4.519030414201446466e-01,1.342957359732026568e-01
4.520227038060533054e-01,1.344559878883585524e-01
4.521415848452178810e-01,1.346168202914285184e-01
4.522596824537235549e-01,1.347782288372377790e-01
4.523769945868350573e-01,1.349402091683644112e-01
4.524935192390847072e-01,1.351027569155789920e-01
4.526092544443529042e-01,1.352658676982835262e-01
4.527241982759431793e-01,1.354295371249515934e-01
4.528383488466536932e-01,1.355937607935671640e-01
4.529517043088404082e-01,1.357585342920651361e-01
4.530642628544752637e-01,1.359238531987693177e-01
4.531760227152002440e-01,1.360897130828326862e-01
4.532869821623727868e-01,1.362561095046758708e-01
4.533971395071090815e-01,1.364230380164250800e-01
4.535064931003179312e-01,1.365904941623504176e-01
4.536150413327332820e-01,1.367584734793030887e-01
4.537227826349358728e-01,1.369269714971519947e-01
4.538297154773753284e-01,1.370959837392199399e-01
4.539358383703813726e-01,1.372655057227179509e-01
4.540411498641721555e-01,1.374355329591803732e-01
4.541456485488581385e-01,1.376060609548976910e-01
4.542493330544363217e-01,1.377770852113486821e-01
4.543522020507840264e-01,1.379486012256316285e-01
4.544542542476440183e-01,1.381206044908936392e-01
4.545554883946047453e-01,1.382930904967596963e-01
4.546559032810762457e-01,1.384660547297596467e-01
4.547554977362591733e-01,1.386394926737538058e-01
4.548542706291107129e-01,1.388133998103573963e-01
4.549522208683026148e-01,1.389877716193630985e-01
4.550493474021754525e-01,1.391626035791613258e-01
4.551456492186887748e-01,1.393378911671606102e-01
4.552411253453628182e-01,1.395136298602039915e-01
4.553357748492183332e-01,1.396898151349850736e-01
4.554295968367105263e-01,1.398664424684613605e-01
4.555225904536563397e-01,1.400435073382657603e-01
4.556147548851584017e-01,1.402210052231164794e-01
4.557060893555239800e-01,1.403989316032235868e-01
4.557965931281777183e-01,1.405772819606947444e-01
4.558862655055715973e-01,1.407560517799375521e-01
4.559751058290876791e-01,1.409352365480605052e-01
