d_l1,d_l2,d_beta_rad,d_delta_rad
-2.808823207245403353e+00,-2.723250875857896602e+00,-2.743698064855415453e-01,-2.382432845449145020e-02
-2.885254003492931929e+00,-2.884083747489718519e+00,-2.438397819215509799e-01,-9.740157180804231984e-03
2.680624668904840746e-01,2.542216535061925242e-01,9.494274183508011333e-02,4.679436355070620834e-02
-1.730871383998078272e-01,-1.354626953942172918e-01,-2.676057279660248867e-01,-1.624187633275653297e-01
