true_branch,active_measurement,active_score,active_is_odd,active_correct,random_measurement,random_score,random_is_odd,random_correct,state_norm
-1,odd_vsum,43.530841360680924,True,True,even_r2,0.0,False,False,1.5975513845017917
1,odd_vsum,44.671694363959034,True,True,even_v2,0.0,False,True,1.3098487442911932
1,odd_vsum,60.02659558710468,True,True,odd_mixed,18.758589480472043,True,True,2.266113026472575
1,odd_x,31.11359620567251,True,True,odd_mixed,24.92361580965131,True,True,1.8060442245320916
1,odd_vsum,44.00534169722589,True,True,even_xvx,0.0,False,True,1.4225259346748091
1,odd_y,35.64238042858663,True,True,even_xvx,0.0,False,True,1.7195065576786432
-1,odd_vsum,30.6131677233536,True,True,odd_y,6.468257099010438,True,True,1.4039195516359007
1,odd_mixed,9.356089102502596,True,True,odd_mixed,9.356089102502596,True,True,1.0251960827319235
-1,odd_y,18.17262188632701,True,True,odd_mixed,9.05981634444414,True,True,1.0306317182226732
-1,odd_vsum,8.337490429127858,True,True,even_xy,0.0,False,False,0.5052403764033288
-1,odd_y,32.16429578341193,True,True,even_xvx,0.0,False,False,1.799468335850141
-1,odd_vsum,59.220133587733926,True,True,even_yvy,0.0,False,False,1.7901093471854075
-1,odd_vsum,20.046918441582516,True,True,even_xy,0.0,False,False,1.2611140863666195
-1,odd_x,34.234599714535435,True,True,odd_mixed,32.44911332540796,True,True,1.557045699215694
1,odd_x,36.33765098164081,True,True,odd_mixed,34.125381292586184,True,True,2.0558886031412342
1,odd_vsum,63.459772449302775,True,True,even_v2,0.0,False,True,1.8678455790187545
-1,odd_vsum,21.198432135668522,True,True,odd_y,4.818768051821154,True,True,0.8752740233740717
1,odd_vsum,31.044337962612598,True,True,even_mix,0.0,False,True,1.2166355649781313
-1,odd_y,35.549030785011716,True,True,odd_y,35.549030785011716,True,True,1.7287012586132955
1,odd_mixed,31.71382495779916,True,True,even_r2,0.0,False,True,1.718666876444385
1,odd_mixed,36.60565630681714,True,True,odd_x,33.03020686800525,True,True,1.9692893983121151
-1,odd_y,20.20251975906342,True,True,odd_y,20.20251975906342,True,True,1.9041097477798146
1,odd_vsum,33.81123747479884,True,True,odd_y,3.3456710087652497,True,True,1.265103092945873
-1,odd_y,25.645860448803038,True,True,even_v2,0.0,False,False,2.2673757443836275
-1,odd_y,36.29074168425584,True,True,even_v2,0.0,False,False,2.0398880545029985
1,odd_y,33.00319198796616,True,True,even_yvy,0.0,False,True,2.4142722746260707
1,odd_y,18.507478276608833,True,True,even_mix,0.0,False,True,1.4136630281677547
