test,numeric_value,pass
Base nonlinear observer Jacobian rank,4.0,True
Base observer exact Z2 symmetry error,0.0,True
Smallest local Fisher eigenvalue,0.7237984646162424,True
Active measurement chooses gauge-breaking odd channel,1.0,True
Active branch-identification accuracy,1.0,True
Random branch-identification accuracy,0.6845,True
Active predicted separation beats random,4.203876054689192,True
Active hypothesis variance beats random,4.44435676751219,True
