scenario,sigma,culprit,ff_class,gf_class,ff_correct,gf_correct,ff_culprit_correct,gf_culprit_correct,ff_rmse,gf_rmse
clean,0.005,,clean,global_model_error,True,False,True,True,0.004260794354948846,0.012249915452842703
clean,0.005,,clean,global_model_error,True,False,True,True,0.004923547821239512,0.017998447445084716
clean,0.005,,clean,global_model_error,True,False,True,True,0.004508587514464564,0.020619066461976712
clean,0.005,,clean,global_model_error,True,False,True,True,0.004548933918656912,0.032653301833965316
clean,0.005,,clean,global_model_error,True,False,True,True,0.004559902228763603,0.017924240340079077
clean,0.005,,clean,global_model_error,True,False,True,True,0.0044483658749121255,0.020959534582582512
clean,0.005,,clean,global_model_error,True,False,True,True,0.0038118566832360903,0.02150613516592972
clean,0.005,,clean,global_model_error,True,False,True,True,0.0043814311005941535,0.014221844831646518
clean,0.005,,clean,clean,True,True,True,True,0.0035509246698498128,0.013035508102613209
clean,0.005,,clean,global_model_error,True,False,True,True,0.0037836244881258667,0.012230842462735035
clean,0.005,,clean,clean,True,True,True,True,0.0032603268478287725,0.004553510147138189
clean,0.005,,clean,global_model_error,True,False,True,True,0.005236953936605327,0.027143143618824916
clean,0.005,,clean,global_model_error,True,False,True,True,0.004120619409469775,0.04119605657271688
clean,0.005,,clean,global_model_error,True,False,True,True,0.0046366796696013565,0.022277826683831353
clean,0.005,,clean,global_model_error,True,False,True,True,0.0036386711198966326,0.03013073517752193
clean,0.005,,clean,global_model_error,True,False,True,True,0.0040490710400630375,0.025716458029408112
clean,0.005,,clean,global_model_error,True,False,True,True,0.0033926720674648542,0.02315264871822923
clean,0.005,,clean,clean,True,True,True,True,0.0042609820941536475,0.010974669798980631
clean,0.005,,clean,global_model_error,True,False,True,True,0.0052586550356146875,0.018683828322654323
clean,0.005,,clean,global_model_error,True,False,True,True,0.004899593152509228,0.017471593048086778
clean,0.005,,clean,clean,True,True,True,True,0.004013534532851497,0.010962466012235118
clean,0.005,,clean,global_model_error,True,False,True,True,0.004680830731778524,0.02012766166244882
clean,0.005,,clean,global_model_error,True,False,True,True,0.0035195259900767666,0.01815750427783472
clean,0.005,,clean,sensor_anomaly,True,False,True,True,0.00477335482791514,0.011615341118947173
clean,0.005,,clean,global_model_error,True,False,True,True,0.004198920120275533,0.035116797968295144
clean,0.005,,clean,clean,True,True,True,True,0.004743897802914044,0.014915161900203058
clean,0.005,,clean,global_model_error,True,False,True,True,0.004771059185303115,0.019936736179038766
clean,0.005,,clean,global_model_error,True,False,True,True,0.004218991165233533,0.017758361856718547
clean,0.005,,clean,global_model_error,True,False,True,True,0.00528660377668324,0.02179929571165387
clean,0.005,,clean,clean,True,True,True,True,0.003818680342778085,0.005175749796352083
clean,0.005,,clean,clean,True,True,True,True,0.004313657855100979,0.008705944260700274
clean,0.005,,clean,global_model_error,True,False,True,True,0.003999086878356163,0.01777460441328823
clean,0.005,,clean,global_model_error,True,False,True,True,0.004336482272330801,0.014135852113664716
clean,0.005,,clean,global_model_error,True,False,True,True,0.0030115677423482937,0.012846495992326621
clean,0.005,,clean,global_model_error,True,False,True,True,0.0046098511322425085,0.024167850905392436
clean,0.005,,clean,global_model_error,True,False,True,True,0.0048698826794823305,0.015306593330661316
clean,0.005,,clean,sensor_anomaly,True,False,True,True,0.004370166781231771,0.02856890159954524
clean,0.005,,clean,global_model_error,True,False,True,True,0.00475998174275209,0.023234434629764177
clean,0.005,,clean,global_model_error,True,False,True,True,0.00435091424912147,0.015844619905739904
clean,0.005,,clean,global_model_error,True,False,True,True,0.0045017845748739045,0.0156893370409266
clean,0.005,,clean,global_model_error,True,False,True,True,0.004076227641692889,0.012913667843023446
clean,0.005,,clean,sensor_anomaly,True,False,True,True,0.004220247576602628,0.023004105408854034
clean,0.005,,clean,clean,True,True,True,True,0.004915886454038512,0.010308053301113219
clean,0.005,,clean,global_model_error,True,False,True,True,0.00500261817944833,0.02231485860036795
clean,0.005,,clean,global_model_error,True,False,True,True,0.004045888645064094,0.020094478312895528
clean,0.005,,clean,global_model_error,True,False,True,True,0.0038832502902076764,0.019189704087756082
clean,0.005,,clean,global_model_error,True,False,True,True,0.004923197474038909,0.04539431019018822
clean,0.005,,clean,sensor_anomaly,True,False,True,True,0.004859805885132265,0.018844065101097367
clean,0.005,,clean,global_model_error,True,False,True,True,0.004486403510929234,0.017579913594406946
clean,0.005,,clean,global_model_error,True,False,True,True,0.004879592316070789,0.015917121656731325
clean,0.005,,clean,global_model_error,True,False,True,True,0.005182246668750713,0.03372573105982204
clean,0.005,,clean,global_model_error,True,False,True,True,0.004368817438741827,0.015400097180672413
clean,0.005,,clean,global_model_error,True,False,True,True,0.004536793426093073,0.01743257645797468
clean,0.005,,clean,global_model_error,True,False,True,True,0.0035773362401929198,0.022900743571897798
clean,0.005,,clean,global_model_error,True,False,True,True,0.0044332112815209344,0.020398223948569334
clean,0.005,,clean,clean,True,True,True,True,0.004403757301535908,0.010640312550046329
clean,0.005,,clean,global_model_error,True,False,True,True,0.004152276378618112,0.026739584345876363
clean,0.005,,clean,clean,True,True,True,True,0.005013305638950096,0.007968665171425913
clean,0.005,,clean,global_model_error,True,False,True,True,0.004626944019886725,0.027923798374496225
clean,0.005,,clean,global_model_error,True,False,True,True,0.00455437040605586,0.022880473118618978
clean,0.005,,clean,clean,True,True,True,True,0.004466744121089985,0.005897814153293873
clean,0.005,,clean,clean,True,True,True,True,0.004172296648508717,0.007991004113034399
clean,0.005,,clean,clean,True,True,True,True,0.003916816421796174,0.010581105785473962
