edge_noise_sigma_rad,mean_global_sync_error_rad,p95_sync_error_rad,mean_triangle_holonomy_rad,mean_max_triangle_holonomy_rad
0.0,2.3070449443456675e-16,4.965068306494546e-16,1.696790855968781e-16,6.513308411134251e-16
0.01,0.00444718482647519,0.006530375111977945,0.013583192991704112,0.029638212241955866
0.03,0.013323451315320624,0.020553959349630096,0.0420733353929349,0.09171427450967255
0.05,0.02287995957816038,0.03420240748952206,0.06908018682012798,0.15327849949702396
0.1,0.044672864739159275,0.06684040522520278,0.13559562195733182,0.29616514281938483
0.2,0.08938466904790675,0.13765349367907356,0.2750655662717557,0.5876681686098921
0.35,0.15635283018266682,0.23990713741158057,0.4731063466085578,1.0290424186148965
0.6,0.2624655589406147,0.39343647950780225,0.812871454031427,1.801255234356695
