t,x,y,vx,vy,E_global,Lz_global,x_rot,y_rot,vx_rot,vy_rot,E_rot_naive,E_rot_covariant
0.0,1.2,-0.45,0.35,1.05,3.40070125,2.40975,1.2,-0.45,0.13354999999999997,0.4728000000000001,2.564620376125,3.40070125
0.024166097335306096,1.2078646152676047,-0.4244077236783987,0.3008265119661259,1.0678571824447234,3.40070125,2.4097500000000007,1.2028498571435355,-0.4384188247591735,0.10233911232951623,0.48571756388303333,2.5639436493699175,3.4007012500000005
0.04833219467061219,1.2145372139872026,-0.3983966081728922,0.25135614448416616,1.0846605187743334,3.4007012500000005,2.4097500000000003,1.2049480199656997,-0.42652171192590016,0.07134496411723559,0.49894447939133013,2.5629134933028905,3.40070125
0.07249829200591829,1.2200112111094499,-0.37199232331412446,0.20163771883419568,1.100393426124565,3.40070125,2.4097500000000003,1.2063001309638404,-0.4143013853150964,0.04060095490949689,0.5124640523384203,2.561533973479283,3.40070125
0.09666438934122439,1.2242812044600706,-0.34522092694342316,0.15172030109975265,1.1150403780153197,3.40070125,2.40975,1.206912632469122,-0.40175098454183256,0.010139871216612945,0.5262585698710822,2.5598105342335944,3.40070125
0.12083048667653049,1.2273429800711506,-0.3181088391968563,0.10165315374553807,1.1285869196734297,3.400701250000001,2.4097500000000003,1.2067927512099235,-0.3888640892809308,-0.02000616475026587,0.5403093304058452,2.5577499771931653,3.40070125
0.14499658401183657,1.229193516339814,-0.29068281643174776,0.051485687001310676,1.141019682297772,3.400701250000001,2.4097500000000003,1.2059484816517583,-0.375634742778605,-0.049805745056963585,0.554596675584578,2.5553604344352547,3.400701250000001
0.16916268134714268,1.2298309870101816,-0.26296992482138276,0.0012674100999552351,1.1523263962526622,3.400701250000001,2.4097500000000003,1.2043885681458506,-0.3620574745680426,-0.0792282246499278,0.5691000241910362,2.552651336393448,3.4007012500000005
0.19332877868244877,1.2292547629756643,-0.23499751364396285,-0.04895211758215251,1.1624959031765028,3.400701249999999,2.4097499999999994,1.2021224859206296,-0.3481273223422816,-0.10824376849944237,0.583797907966519,2.5496333746400484,3.40070125
0.21749487601775486,1.2274654128998164,-0.20679318829217003,-0.09912333543426755,1.1715181669937393,3.40070125,2.4097499999999994,1.1991604209524442,-0.33383985293927065,-0.13682339719885603,0.5986680092592103,2.5463184596913204,3.400701249999999
