sigma,mean_state_err_nominal,mean_state_err_joint,mean_law_err_nominal,mean_law_err_joint,mean_gain_rel_rmse,median_energy_rel_error,mean_drift_gain_rel_error,drift_identification_rate
0.0,1.279827061398526,0.854240329144223,0.01715119159543119,7.9229384867267e-12,1.602061035360068e-11,2.6912801949569665e-14,7.140931856712916e-12,0.9166666666666666
0.005,1.3827090115538951,1.7022598830783071,0.019666380164050302,0.004066543215534028,0.01081166265727141,0.004447047267048796,0.007146316324539385,0.75
0.02,0.8633625157750427,0.5876545271222046,0.0394600495748841,0.019437592154645977,0.06211063025564231,0.01641052866901879,0.048582899179778295,0.75
