sigma,corrupt,wx_true,wy_true,wx_hat_all,wy_hat_all,wx_hat_repaired,wy_hat_repaired,state_err_nominal,law_err_nominal,Eerr_nominal,Aerr_nominal,state_err_joint,law_err_joint,Eerr_joint,Aerr_joint,state_err_repaired,law_err_repaired,Eerr_repaired,Aerr_repaired,suspect,suspect_correct,max_residual_id,residual_contrast,mean_rms_nominal,mean_rms_joint
0.0,False,1.0409561826034652,1.8698308621298145,1.0409561826034464,1.8698308621298168,1.0409561826034464,1.8698308621298168,0.4107724206182951,0.22361354350348717,0.11174963386619297,0.008038061474110191,4.177021404267554e-14,1.900395703982448e-14,1.0076434011561212e-14,1.6975875582347554e-14,4.177021404267554e-14,1.900395703982448e-14,1.0076434011561212e-14,1.6975875582347554e-14,,True,O6,0.03720468477177062,0.11547892775790843,2.372231280399961e-14
0.0,False,1.2131877583305828,1.6905863245351584,1.213187758330591,1.690586324535158,1.213187758330591,1.690586324535158,0.1410596565403723,0.21701675060071327,0.03220865093153595,0.01688478140717984,4.644727856941466e-15,8.227644038804674e-15,5.838342166290321e-16,6.656054329440378e-16,4.644727856941466e-15,8.227644038804674e-15,5.838342166290321e-16,6.656054329440378e-16,,True,O3,0.0022910893516285696,0.03995484313040483,1.1084983795805008e-15
0.0,False,1.2663144427800526,1.5034910671591273,1.2663144427800526,1.5034910671591275,1.2663144427800526,1.5034910671591275,0.47299876766666443,0.3039543548551677,0.13377561391966925,0.07962379756313799,1.9279638981753172e-16,2.220446049250313e-16,3.542272891428571e-16,4.46891929156327e-16,1.9279638981753172e-16,2.220446049250313e-16,3.542272891428571e-16,4.46891929156327e-16,,True,O6,0.0003224311463661079,0.12431807004372493,1.9682792862411117e-16
0.0,False,0.9979657172467524,1.4860422162189346,0.9979657172467524,1.4860422162189346,0.9979657172467524,1.4860422162189346,0.08141693763220588,0.16397040333157298,0.006789401533289392,0.11871159367862037,5.003707553108401e-17,0.0,0.0,2.0591584101292759e-16,5.003707553108401e-17,0.0,0.0,2.0591584101292759e-16,,True,O2,4.688949835855209e-05,0.025989434812169112,3.142445821526017e-17
0.0,False,1.0113660512804006,2.022581540323295,1.0113660512804015,2.022581540323295,1.0113660512804015,2.022581540323295,0.5474559746139336,0.3727548675891275,0.12287780185190901,0.026251922158289923,2.8441001681421824e-16,8.881784197001252e-16,0.0,2.8209129948579174e-16,2.8441001681421824e-16,8.881784197001252e-16,0.0,2.8209129948579174e-16,,True,O3,0.0006568172163259984,0.18025033285314296,3.580855465012339e-16
0.0,False,1.0699689583942704,1.6866758525629597,1.0699689583942686,1.6866758525630152,1.0699689583942686,1.6866758525630152,0.02019563380784378,0.07899856517683793,0.036919826384832155,0.027218052792932382,7.248886147466533e-15,5.5539565668453524e-14,1.2854843129796441e-15,1.5330143238887212e-15,7.248886147466533e-15,5.5539565668453524e-14,1.2854843129796441e-15,1.5330143238887212e-15,,True,O4,0.004058792498271256,0.005853897672981424,9.81837869460624e-16
0.0,False,1.281548362125119,1.5037823830693113,1.2815483621248343,1.5037823830694355,1.2815483621248343,1.5037823830694355,0.12928092786792816,0.3172523785824571,0.04122686929387752,0.03359616602976821,1.794976928357931e-13,3.1054547522432456e-13,1.029737144022673e-13,1.2868121001156491e-13,1.794976928357931e-13,3.1054547522432456e-13,1.029737144022673e-13,1.2868121001156491e-13,,True,O1,0.11143803168869203,0.07022070752051811,8.029807746936472e-14
0.0,False,0.9994328917957697,1.76608155566279,0.9994328917957697,1.76608155566279,0.9994328917957697,1.76608155566279,0.045980102398930016,0.11608294093797221,0.005605003727355238,0.036970748290168366,1.15746490986309e-16,0.0,4.07962868012595e-16,3.127514168577527e-16,1.15746490986309e-16,0.0,4.07962868012595e-16,3.127514168577527e-16,,True,O6,0.00011220526439704374,0.012755945315524077,4.673864870301973e-17
0.0,False,0.9117301698249095,1.9612919419457024,0.9117301698249095,1.9612919419457024,0.9117301698249095,1.9612919419457024,1.9265229924797815,0.3235648869075042,0.12157423710996658,0.05077273871950637,1.2412670766236366e-16,0.0,0.0,1.0837781990409895e-16,1.2412670766236366e-16,0.0,0.0,1.0837781990409895e-16,,True,O6,0.00015248143189096542,0.27541950878516197,1.1020101736857322e-16
0.0,False,1.2701359233183376,1.9038498536029853,1.2701359233183374,1.9038498536031114,1.2701359233183374,1.9038498536031114,0.08197913558807715,0.37069281789819974,0.14730377052577542,0.05268437296809774,3.2631522914447245e-14,1.2612153105906643e-13,1.0835456898455606e-14,2.772866736252214e-15,3.2631522914447245e-14,1.2612153105906643e-13,1.0835456898455606e-14,2.772866736252214e-15,,True,O4,0.01661918438990405,0.0770268651749312,6.0764132427462684e-15
