support_radius,activated_count,constrained_dimension,arithmetic_min_eigenvalue,required_arithmetic_margin,arithmetic_value,fit_grid_max_block,check_grid_max_block,check_grid_min_block,intersection_found_on_grid,optimizer_success
1.5,12,22,0.0004890737074497663,9.781474148995327e-05,1.0054812499306973,-1.0863891776739971e-08,-1.0809428506208962e-08,-1.6008739579051962e-06,True,True
2.0,24,22,0.0010135730978327027,0.00020271461956654054,0.22150243616176404,-6.849051694605069e-07,-6.832374906950036e-07,-0.00011732810987895928,True,True
2.5,47,22,0.0007876945611534635,0.0001575389122306927,0.29241545163496474,-8.000595545610044e-06,-7.649758913888512e-06,-0.0011209312371293174,True,True
3.0,98,22,0.0015722497431257284,0.00031444994862514573,0.049174902943585994,-2.3412079824053297e-05,-2.3078171302308156e-05,-0.003972190945002537,True,True
3.5,209,22,0.0010563396700359728,0.00021126793400719457,0.1738135563266439,-4.0988373403327384e-05,-4.09883734033278e-05,-0.008505681866858251,True,False
4.0,465,22,0.0012528464821305893,0.0002505692964261179,0.2810987439536053,-6.398448266450606e-05,-5.920289761250471e-05,-0.020932299886325334,True,True
