quadrature_points,arithmetic_min_eigenvalue,arithmetic_value,check_grid_max_block,check_grid_min_block,endpoint_residual,central_residual,intersection_found_on_grid,optimizer_success
1601,0.0015532668924816207,0.049445794826943966,-2.307818965397097e-05,-0.003972194751311332,1.6653345369377348e-16,1.0408340855860843e-16,True,True
2401,0.0015722497431257284,0.049174902943585994,-2.3078171302308156e-05,-0.003972190945002537,5.551115123125783e-17,4.163336342344337e-17,True,True
3201,0.0015280627291925002,0.04951111006961553,-2.3078189740928778e-05,-0.003972194889098338,2.7755575615628914e-17,0.0,True,True
