real_w,imag_w,G_real,G_imag,orbit_block
8.0,-0.2,-0.0015309734961197162,-0.04459192025857475,-0.003972190945002537
8.0,-0.19666666666666668,-0.0025637802837521068,-0.044061033296222615,-0.0038696033715749636
8.0,-0.19333333333333336,-0.0035772626273745597,-0.04351916664539779,-0.0037622421152093857
8.0,-0.19,-0.004571522434662165,-0.042966529902659645,-0.003650447749011052
8.0,-0.18666666666666668,-0.00554665970555657,-0.04240333143493101,-0.003534554165782727
8.0,-0.18333333333333335,-0.006502772540991547,-0.041829778402828574,-0.00341488862101974
8.0,-0.18000000000000002,-0.007439957151456702,-0.04124607678387865,-0.003291771775292203
8.0,-0.17666666666666667,-0.0083583078653938,-0.040652431395624515,-0.0031655177360065075
8.0,-0.17333333333333334,-0.00925791713743027,-0.040049045918621635,-0.0030364340985366786
8.0,-0.17,-0.010138875556449219,-0.03943612291932867,-0.0029048219867184736
8.0,-0.16666666666666669,-0.011001271853497061,-0.03881386387289251,-0.0027709760926977675
8.0,-0.16333333333333333,-0.011845192909529454,-0.03818246918583188,-0.0026351847161260687
8.0,-0.16,-0.012670723762995386,-0.03754213821861985,-0.0024977298026956423
8.0,-0.15666666666666668,-0.01347794761726034,-0.03689306930816825,-0.002358886982007385
8.0,-0.15333333333333335,-0.014266945847871021,-0.03623545979021693,-0.002218925604764688
8.0,-0.15000000000000002,-0.01503779800965961,-0.03556950602162731,-0.002078108779286518
8.0,-0.14666666666666667,-0.015790581843689536,-0.034895403402586705,-0.0019366934073340046
8.0,-0.14333333333333334,-0.016525373284042633,-0.03421334639871888,-0.0017949302192435607
8.0,-0.14,-0.01724224646444962,-0.03352352856311067,-0.0016530638083617436
8.0,-0.13666666666666666,-0.017941273724763476,-0.032826142558251344,-0.0015113326647755037
8.0,-0.13333333333333336,-0.018622525617275114,-0.03212138017788732,-0.0013699692083326094
8.0,-0.13,-0.01928607091287501,-0.03140943236879748,-0.0012291998209472386
8.0,-0.12666666666666668,-0.01993197660705795,-0.03069048925248714,-0.0010892448781854467
8.0,-0.12333333333333334,-0.020560307925773597,-0.029964740146805266,-0.0009503187801258694
8.0,-0.12000000000000001,-0.021171128331122967,-0.029232373587486142,-0.0008126299814909597
8.0,-0.11666666666666667,-0.021764499526899836,-0.028493577349616994,-0.0006763810210443669
8.0,-0.11333333333333334,-0.022340481463979853,-0.027748538469036223,-0.0005417685502503114
8.0,-0.11,-0.02289913234555695,-0.026997443263658678,-0.0004089833611902735
8.0,-0.10666666666666667,-0.02344050863222617,-0.026240477354736856,-0.0002782104137339763
8.0,-0.10333333333333333,-0.02396466504691429,-0.02547782568805464,-0.00014962886196020274
8.0,-0.1,-0.024471654579660274,-0.024709672555058827,-2.341207982403962e-05
8.008333333333333,-0.2,-0.0002778151324116483,-0.04202090250580319,-0.0035313581323088397
8.008333333333333,-0.19666666666666668,-0.0012825885237265217,-0.04153779176997483,-0.0034474862236091876
8.008333333333333,-0.19333333333333336,-0.0022685689469292038,-0.04104344812347475,-0.003358836457594783
8.008333333333333,-0.19,-0.003235855178859409,-0.04053808586954996,-0.0032657312944569103
8.008333333333333,-0.18666666666666668,-0.004184544147603286,-0.04002191806014713,-0.0031684870309797797
8.008333333333333,-0.18333333333333335,-0.00511473094093403,-0.03949515651965055,-0.0030674138318270944
8.008333333333333,-0.18000000000000002,-0.006026508814590423,-0.03895801186850606,-0.002962815760508646
8.008333333333333,-0.17666666666666667,-0.006919969200398269,-0.038410693546728006,-0.002854990810012384
8.008333333333333,-0.17333333333333334,-0.007795201714230714,-0.037853409837300685,-0.0027442309330902134
8.008333333333333,-0.17,-0.008652294163813318,-0.03728636788946778,-0.0026308220721831515
8.008333333333333,-0.16666666666666669,-0.009491332556370084,-0.036709773741917355,-0.0025150441889743086
8.008333333333333,-0.16333333333333333,-0.010312401106113915,-0.036123832345861986,-0.0023971712935571305
8.008333333333333,-0.16,-0.011115582241580466,-0.03552874758801661,-0.0022774714732073137
8.008333333333333,-0.15666666666666668,-0.01190095661280801,-0.03492472231347856,-0.0021562069207472973
8.008333333333333,-0.15333333333333335,-0.01266860309836047,-0.03431195834850791,-0.002033633962491906
8.008333333333333,-0.15000000000000002,-0.013418598812198954,-0.03369065652321286,-0.0019100030857647163
8.008333333333333,-0.14666666666666667,-0.01415101911039765,-0.033061016694141784,-0.0017855589659749645
8.008333333333333,-0.14333333333333334,-0.014865937597708025,-0.03242323776678525,-0.00166054049324508
8.008333333333333,-0.14,-0.015563426133970226,-0.031777517717986765,-0.0015351807985788308
8.008333333333333,-0.13666666666666666,-0.016243554840373292,-0.031124053618267557,-0.0014097072795611586
8.008333333333333,-0.13333333333333336,-0.016906392105562287,-0.030463041654066457,-0.0012843416255807385
8.008333333333333,-0.13,-0.017552004591597455,-0.02979467714989812,-0.001159299842566406
8.008333333333333,-0.12666666666666668,-0.018180457239760923,-0.029119154590425984,-0.0010347922772287025
8.008333333333333,-0.12333333333333334,-0.018791813276214084,-0.028436667642462707,-0.0009110236407995793
8.008333333333333,-0.12000000000000001,-0.019386134217506887,-0.027747409176888792,-0.0007881930322610019
8.008333333333333,-0.11666666666666667,-0.01996347987593616,-0.027051571290499662,-0.0006664939610561552
8.008333333333333,-0.11333333333333334,-0.020523908364758064,-0.026349345327777718,-0.0005461143692749908
8.008333333333333,-0.11,-0.02106747610325055,-0.025640921902596755,-0.0004272366533080661
8.008333333333333,-0.10666666666666667,-0.021594237821629843,-0.02492649091985494,-0.0003100376849610042
8.008333333333333,-0.10333333333333333,-0.022104246565818938,-0.024206241597043418,-0.00019468883202383347
8.008333333333333,-0.1,-0.022597553702069464,-0.02348036248574859,-8.135597828847243e-05
8.016666666666667,-0.2,0.0008572652632128398,-0.03952143290432635,-0.003122417510159317
8.016666666666667,-0.19666666666666668,-0.00011884580116626811,-0.03908475112054103,-0.0030552072916603568
8.016666666666667,-0.19333333333333336,-0.0010767069811775422,-0.03863659117314873,-0.002983253759115436
8.016666666666667,-0.19,-0.002016413869076649,-0.038177171923000096,-0.0029068610622938044
8.016666666666667,-0.18666666666666668,-0.002938060268351559,-0.03770671095871492,-0.0028263277063672113
8.016666666666667,-0.18333333333333335,-0.0038417382018702123,-0.03722542462081429,-0.0027419465715764354
8.016666666666667,-0.18000000000000002,-0.004727537919872012,-0.03673352802573423,-0.0026540049328671483
8.016666666666667,-0.17666666666666667,-0.005595547907808387,-0.03623123508972591,-0.002562784479476814
8.016666666666667,-0.17333333333333334,-0.006445854894026434,-0.03571875855264316,-0.0024685613344543485
8.016666666666667,-0.17,-0.0072785438573048575,-0.035196310001620545,-0.002371606074094928
8.016666666666667,-0.16666666666666669,-0.008093698034233817,-0.03466409989464292,-0.0022721837472728457
8.016666666666667,-0.16333333333333333,-0.008891398926446914,-0.034122337584009114,-0.0021705538946557193
8.016666666666667,-0.16,-0.00967172630770059,-0.03357123133969285,-0.0020669705677842155
8.016666666666667,-0.15666666666666668,-0.010434758230805679,-0.03301098837260337,-0.001961682348001576
8.016666666666667,-0.15333333333333335,-0.011180571034406526,-0.03244181485774356,-0.0018549323652174016
