mu,gamma,chi_saturation,rho_cancellation,reserve_1_minus_chi,restoring_authority_kappa,max_real_eigenvalue,stability_margin
-4.0,0.0,0.01798620996209156,1.0,0.9820137900379085,3.5325412426582234,-0.4999999999999998,0.4999999999999998
-3.95,0.0,0.01889096193703905,1.0,0.9811090380629609,3.7068186988264777,-0.4999999999999998,0.4999999999999998
-3.9,0.0,0.01984030573407751,1.0,0.9801596942659225,3.8893336004911685,-0.5000000000000001,0.5000000000000001
-3.85,0.0,0.020836344518680425,1.0,0.9791636554813196,4.080438253155856,-0.5,0.5
-3.8,0.0,0.021881270936130476,1.0,0.9781187290638695,4.280496183670026,-0.4999999999999998,0.4999999999999998
-3.75,0.0,0.022977369910025615,1.0,0.9770226300899744,4.489882076408692,-0.4999999999999999,0.4999999999999999
-3.7,0.0,0.024127021417669193,1.0,0.9758729785823308,4.7089816510361056,-0.5,0.5
-3.65,0.0,0.025332703226871735,1.0,0.9746672967731282,4.938191474818195,-0.4999999999999998,0.4999999999999998
-3.6,0.0,0.026596993576865856,1.0,0.9734030064231342,5.177918701907602,-0.5000000000000002,0.5000000000000002
-3.55,0.0,0.027922573784073024,1.0,0.972077426215927,5.4285807314692045,-0.5000000000000001,0.5000000000000001
-3.5,0.0,0.02931223075135632,1.0,0.9706877692486436,5.690604775947112,-0.4999999999999998,0.4999999999999998
-3.45,0.0,0.030768859357148005,1.0,0.969231140642852,5.964427330201611,-0.49999999999999983,0.49999999999999983
-3.4,0.0,0.032295464698450516,1.0,0.9677045353015494,6.250493531672331,-0.49999999999999994,0.49999999999999994
-3.35,0.0,0.03389516415917814,1.0,0.9661048358408219,6.549256401160101,-0.5,0.5
-3.3,0.0,0.03557118927263618,1.0,0.9644288107273639,6.861175953273294,-0.49999999999999994,0.49999999999999994
-3.25,0.0,0.03732688734412946,1.0,0.9626731126558705,7.186718165065624,-0.4999999999999999,0.4999999999999999
-3.2,0.0,0.039165722796764356,1.0,0.9608342772032357,7.526353790914274,-0.4999999999999998,0.4999999999999998
-3.15,0.0,0.041091278200465015,1.0,0.958908721799535,7.880557011263401,-0.5000000000000002,0.5000000000000002
-3.1,0.0,0.043107254941086116,1.0,0.9568927450589139,8.249803902506065,-0.49999999999999994,0.49999999999999994
-3.05,0.0,0.045217473483287494,1.0,0.9547825265167125,8.634570715015137,-0.49999999999999983,0.49999999999999983
