c,q,E_plus,E_minus,E_congruent,max_kappa,resolution
0.944078061305015,1.076172137614033,0.08483581152000422,0.08483568309401252,0.08483568309401252,24.949993001154606,medium
0.948078061305015,1.081828033571483,0.08484144340016175,0.08484079312914332,0.08484079312914332,24.949996187810896,medium
0.952078061305015,1.087535579919806,0.08484358861798921,0.0848433441431305,0.0848433441431305,24.949978998373876,medium
0.9533448569085957,1.0893544502432846,0.08484407789796368,0.08484407828668745,0.08484407789796368,24.95,high_neighbor
0.9538448569085957,1.0900735478479215,0.08484419967080102,0.08484420438774676,0.08484419967080102,24.94998170675039,high_root
0.954078061305015,1.0904092388359148,0.08484408350130865,0.08484412656308996,0.08484408350130865,24.949983160445136,medium
0.9543448569085956,1.0907935158351474,0.08484426051975487,0.08484418771856282,0.08484418771856282,24.95,high_neighbor
0.956078061305015,1.09329598015107,0.08484406216452055,0.08484427591181795,0.08484406216452055,24.949969977184296,medium
0.958078061305015,1.0961967311036822,0.08484379864622842,0.08484382005399498,0.08484379864622842,24.950005356401917,medium
0.960078061305015,1.0991101125398528,0.08484278773149781,0.08484259276761513,0.08484259276761513,24.949969130869924,medium
0.964078061305015,1.1049789048619585,0.08483881623575065,0.08483906950858304,0.08483881623575065,24.94997842264678,medium
0.9680780613050151,1.1109032924789186,0.08483312809712974,0.08483296557534177,0.08483296557534177,24.949998943444594,medium
