channels,indices,matrix_indices,correlation_degree,prime_power,sample_sign,knot_index,d_lower,d_upper
"[0, 0]","[0, 4]","[0, 4]",3,2,-1,0,0.17328679513998632156,0.17328679513998632156
"[0, 1]","[0, 4]","[0, 9]",5,2,-1,0,0.17328679513998632156,0.17328679513998632156
"[0, 0]","[4, 0]","[4, 0]",3,2,1,0,0.17328679513998632156,0.17328679513998632156
"[0, 1]","[4, 0]","[4, 5]",5,2,1,0,0.17328679513998632156,0.17328679513998632156
"[1, 0]","[0, 4]","[5, 4]",5,2,-1,0,0.17328679513998632156,0.17328679513998632156
"[1, 1]","[0, 4]","[5, 9]",7,2,-1,0,0.17328679513998632156,0.17328679513998632156
"[1, 0]","[4, 0]","[9, 0]",5,2,1,0,0.17328679513998632156,0.17328679513998632156
"[1, 1]","[4, 0]","[9, 5]",7,2,1,0,0.17328679513998632156,0.17328679513998632156
