formula,terms,value,reference_pi,signed_error,absolute_error
pi_formula_1,124,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086666240685748776899259,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865,1.66240685748776899259E-109,1.66240685748776899259E-109
pi_formula_2,78,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086555400109011720238208,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865,5.5400109011720238208E-110,5.5400109011720238208E-110
pi_formula_3,53,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086797966735650471666235,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253421170679821480865,2.97966735650471666235E-109,2.97966735650471666235E-109
