arithmetic_value,axis_band_energy,candidate_id,derivative_variation,first_moment_l1,first_zero_mass,known_zero_mass,l1,optimizer_message,optimizer_success,penalty,seed_grid_max_block,seed_patch
2.5872302778717127,4.609593051671861,X0_Y0_P00,898.5161178776355,3.6012981321841138,0.0033873095967004076,1.2946220754845308,1.851975534828,Optimization terminated successfully,True,0.0,-0.20801840487494536,X0_Y0
2.5873207738243944,4.60952075212168,X0_Y0_P01,898.5128742140873,3.6013127482172718,0.003401920828486129,1.2946673224297243,1.8519637823093968,Optimization terminated successfully,True,0.00015,-0.2080184024901318,X0_Y0
2.5873509626376636,4.6094966239690525,X0_Y0_P02,898.5117900183504,3.601317616058841,0.0034068010691146763,1.2946824164898783,1.8519598581461802,Optimization terminated successfully,True,0.0002,-0.20801840063359667,X0_Y0
2.5873811651224132,4.609472481881178,X0_Y0_P03,898.5107046621382,3.6013224817474603,0.003411686215850911,1.2946975173843964,1.8519559313336118,Optimization terminated successfully,True,0.00025,-0.20801839824524465,X0_Y0
2.5898900112012626,4.5014197999926235,X1_Y0_P00,881.1441628273005,3.6028762749909573,0.018116908905018107,1.2959175959978082,1.851159262383936,Optimization terminated successfully,True,0.0,-0.20619220057880255,X1_Y0
2.5899959228061946,4.501214776208759,X1_Y0_P01,881.1259010606975,3.602872923432895,0.01816145788184044,1.2959705261025753,1.8511218815666712,Optimization terminated successfully,True,0.00015,-0.20619219381608317,X1_Y0
2.5900313171237554,4.501146348443819,X1_Y0_P02,881.119811861063,3.6028717725906025,0.01817632142472508,1.2959882146832673,1.8511094146809146,Optimization terminated successfully,True,0.0002,-0.20619218855079346,X1_Y0
2.5900667188089797,4.501077873059203,X1_Y0_P03,881.1137174238851,3.6028706082414885,0.018191193345879555,1.2960059069402625,1.8510969380087026,Optimization terminated successfully,True,0.00025,-0.20619218177648793,X1_Y0
2.2973989224052414,4.434716225039222,X2_Y0_P00,883.6618310905731,3.5717749541139625,0.03352454839482942,1.1496541002911649,1.8652981043412673,Optimization terminated successfully,True,0.0,-0.1912931732745962,X2_Y0
2.2974736600929213,4.434375088531666,X2_Y0_P01,883.6295991025908,3.5717936984969807,0.033592927506108414,1.1496914094245814,1.8652539123622702,Optimization terminated successfully,True,0.00015,-0.1912931620216288,X2_Y0
2.2974985524111466,4.434261190666612,X2_Y0_P02,883.6188341994584,3.5717998933178787,0.033615738758813234,1.149703835647355,1.865239145320892,Optimization terminated successfully,True,0.0002,-0.19129315325835436,X2_Y0
2.2975235976017983,4.434147161486736,X2_Y0_P03,883.6080562356682,3.5718060580724282,0.0336385641890955,1.1497163382879452,1.8652243458399467,Optimization terminated successfully,True,0.00025,-0.19129314197790423,X2_Y0
2.6099834656008576,4.613063830459024,X0_Y1_P00,902.86048548942,3.5999263090918356,0.0031629324189659403,1.3059987669530495,1.8610550020839425,Optimization terminated successfully,True,0.0,-0.10348899800936608,X0_Y1
2.6101662215404553,4.6129236603726245,X0_Y1_P01,902.8548710642606,3.5999597168046886,0.0031908786301177426,1.3060901430348224,1.861033545319494,Optimization terminated successfully,True,0.00015,-0.10348899338474939,X0_Y1
2.6102276495161805,4.61287683779603,X0_Y1_P02,902.8530158100813,3.599970854959401,0.003200223490883135,1.3061208563842674,1.8610264055330945,Optimization terminated successfully,True,0.0002,-0.10348898978231867,X0_Y1
2.610288773372332,4.612829942335774,X0_Y1_P03,902.8511341923765,3.5999819703937685,0.0032095992823659653,1.306151417666962,1.8610192270728643,Optimization terminated successfully,True,0.00025,-0.10348898514344676,X0_Y1
2.6089306275507553,4.510099873423087,X1_Y1_P00,886.0288875624528,3.6013681121739998,0.01704986947808751,1.305439921044073,1.860023041200233,Optimization terminated successfully,True,0.0,-0.10256109538450836,X1_Y1
2.6091455776532175,4.5097048044770025,X1_Y1_P01,885.99489598816,3.601371000771601,0.01713540225026499,1.3055473468377317,1.8599536227697027,Optimization terminated successfully,True,0.00015,-0.10256108234806383,X1_Y1
2.6092172273070977,4.5095727561149435,X1_Y1_P02,885.9835101659214,3.6013718720318333,0.017163976614170778,1.3055831551854615,1.8599303772388314,Optimization terminated successfully,True,0.0002,-0.10256107218787866,X1_Y1
2.6092888139628383,4.509440475117891,X1_Y1_P03,885.9721087968171,3.60137269977482,0.017192592498099554,1.3056189319997265,1.8599071272019105,Optimization terminated successfully,True,0.00025,-0.10256105910157991,X1_Y1
2.3131338180636223,4.446040634942981,X2_Y1_P00,887.8497946957635,3.5685987008927134,0.03175349626647386,1.1575246365413503,1.8726390181960366,Optimization terminated successfully,True,0.0,-0.09542946290170828,X2_Y1
2.3132887170806957,4.445384612829415,X2_Y1_P01,887.7892788136229,3.568599977355592,0.03188510339488099,1.1576019714036538,1.8725392329959711,Optimization terminated successfully,True,0.00015,-0.09542944125132187,X2_Y1
2.3133402321348995,4.445165216696141,X2_Y1_P02,887.7690240828126,3.568600166779297,0.03192904511036675,1.1576276905854443,1.872505816064784,Optimization terminated successfully,True,0.0002,-0.09542942436966666,X2_Y1
2.3133917124915575,4.444945459279104,X2_Y1_P03,887.7487289825946,3.568600235838577,0.03197302308615305,1.157653392354525,1.8724723213948264,Optimization terminated successfully,True,0.00025,-0.09542940262907322,X2_Y1
2.4810635020632485,4.636059370439828,x0_Y2_P00,894.5803873777552,3.5709203117899437,0.0010433726696179838,1.2415482312590087,1.831331956930125,Optimization terminated successfully,True,0.0,-0.1546370279490219,x0_Y2
2.4811623339252353,4.635997403414962,x0_Y2_P01,894.5810363186472,3.5709322520920495,0.0010530476480475118,1.2415976503846338,1.8313201686161251,Optimization terminated successfully,True,0.00015,-0.15463702590476378,x0_Y2
2.48119531698492,4.635976717167903,x0_Y2_P02,894.581250772363,3.5709362243311134,0.0010562855704118188,1.2416141429775234,1.8313162307910436,Optimization terminated successfully,True,0.0002,-0.15463702431292084,x0_Y2
2.481228319622799,4.6359560156115895,x0_Y2_P03,894.5814642926854,3.570940192627363,0.0010595299697168487,1.2416306453585921,1.8313122887627857,Optimization terminated successfully,True,0.00025,-0.15463702226474316,x0_Y2
2.5875206689425925,4.581100355115246,x1_Y2_P00,891.1199129198175,3.6180205123455726,0.006273288923133701,1.2947600290555,1.841449517217245,Optimization terminated successfully,True,0.0,-0.15746901149403011,x1_Y2
2.5876589444136733,4.58096433754363,x1_Y2_P01,891.1117796851463,3.6180327602893416,0.006302669767953647,1.2948291596379244,1.8414234311752158,Optimization terminated successfully,True,0.00015,-0.157469007007263,x1_Y2
2.587705054084316,4.580918882699933,x1_Y2_P02,891.10906725468,3.6180368481063523,0.0063124877689795765,1.2948522120775228,1.8414147448954687,Optimization terminated successfully,True,0.0002,-0.15746900350953594,x1_Y2
2.587751100324585,4.580873465462237,x1_Y2_P03,891.1063424222534,3.6180408968516433,0.0063223097053727645,1.294875232801657,1.841406031341462,Optimization terminated successfully,True,0.00025,-0.15746899901622116,x1_Y2
2.594706969451721,4.519387280347316,x2_Y2_P00,881.5740764946909,3.618456806217828,0.014643881805003322,1.2983331629820705,1.840521643855959,Optimization terminated successfully,True,0.0,-0.1570168035779046,x2_Y2
2.594854068222598,4.519153119597177,x2_Y2_P01,881.5543291764018,3.618459631113295,0.014695590051267604,1.2984066872032547,1.8404797378137125,Optimization terminated successfully,True,0.00015,-0.15701679585248854,x2_Y2
2.594903125369377,4.519074960057659,x2_Y2_P02,881.5477251445925,3.6184644023970383,0.01471285351485118,1.2984312073697182,1.840467182063355,Optimization terminated successfully,True,0.0002,-0.15701678983847767,x2_Y2
2.5949522322728544,4.51899672753051,x2_Y2_P03,881.5411222748087,3.6184691607382566,0.014730130424187181,1.2984557524051739,1.8404546325742719,Optimization terminated successfully,True,0.00025,-0.15701678209954434,x2_Y2
2.51240140333429,4.463897188153919,x3_Y2_P00,866.6129627956632,3.58664511545734,0.024260568698020006,1.2571625530031405,1.8346893998469502,Optimization terminated successfully,True,0.0,-0.15317119529743753,x3_Y2
2.512534432280302,4.463555445424021,x3_Y2_P01,866.580837033707,3.5866146246826367,0.024333880579162616,1.2572290193662978,1.83462402650929,Optimization terminated successfully,True,0.00015,-0.1531711840231119,x3_Y2
2.5125787843345364,4.463441313375111,x3_Y2_P02,866.5701042911862,3.586604384141893,0.024358350243277805,1.2572511793209031,1.8346021866102422,Optimization terminated successfully,True,0.0002,-0.15317117524142013,x3_Y2
2.5126231407179698,4.463327072147125,x3_Y2_P03,866.5593594339605,3.5865941050211427,0.024382836088592444,1.2572733414221102,1.8345803222577146,Optimization terminated successfully,True,0.00025,-0.15317116393993135,x3_Y2
2.35850774372876,4.426151835731019,x4_Y2_P00,872.6715438125135,3.57643224795365,0.03306744184818203,1.180205077441168,1.845931205694896,Optimization terminated successfully,True,0.0,-0.14668944140956208,x4_Y2
2.358614476976951,4.425707344325865,x4_Y2_P01,872.6266958766837,3.576392071701003,0.03315852036551577,1.1802583705734437,1.8458491860914554,Optimization terminated successfully,True,0.00015,-0.1466894267443774,x4_Y2
2.3586500261168775,4.425558872454168,x4_Y2_P02,872.6117113327845,3.576378558839453,0.0331889131663553,1.180276120592662,1.8458217741628884,Optimization terminated successfully,True,0.0002,-0.14668941532016253,x4_Y2
2.3586855606417174,4.425410246166092,x4_Y2_P03,872.5967091296344,3.5763649854023094,0.03321932258544406,1.180293863277533,1.8457943261204477,Optimization terminated successfully,True,0.00025,-0.14668940061671434,x4_Y2
2.151736875725246,4.414168312251428,x5_Y2_P00,880.7248306257101,3.5673985826077814,0.03923155710520316,1.076819829412255,1.8594396295175544,Optimization terminated successfully,True,0.0,-0.13892251721502863,x5_Y2
2.151816821606772,4.413642556810567,x5_Y2_P01,880.6789144966768,3.56744927293798,0.03933343999323322,1.0768597042025225,1.8593864341103898,Optimization terminated successfully,True,0.00015,-0.1389224998674923,x5_Y2
2.151843388864269,4.41346689526673,x5_Y2_P02,880.6635623333632,3.5674660619245318,0.039367433588630846,1.0768729550388596,1.8593686221258026,Optimization terminated successfully,True,0.0002,-0.13892248635114487,x5_Y2
2.1518699243854233,4.413291032805923,x5_Y2_P03,880.648188571851,3.5674827954357466,0.03940144276186543,1.0768861899707318,1.8593507727890894,Optimization terminated successfully,True,0.00025,-0.13892246895316096,x5_Y2
2.4855332327935753,4.636078397334496,x0_Y3_P00,895.0494773959263,3.5711907714557487,0.001050387629940572,1.2437830162655856,1.832501899774944,Optimization terminated successfully,True,0.0,-0.10736045160816372,x0_Y3
2.485677532603051,4.635988764349888,x0_Y3_P01,895.050428932701,3.571208579413516,0.0010644000939959344,1.2438551706710548,1.832485092379716,Optimization terminated successfully,True,0.00015,-0.10736044865247664,x0_Y3
2.4857257925098746,4.635958794346539,x0_Y3_P02,895.0507001901201,3.5712144989108427,0.0010691007234444733,1.2438793021233576,1.8324793817685503,Optimization terminated successfully,True,0.0002,-0.1073604463464887,x0_Y3
2.4857739366858222,4.635928849113136,x0_Y3_P03,895.0510536590311,3.571220411391039,0.0010738090931392186,1.2439033757032472,1.8324738440488533,Optimization terminated successfully,True,0.00025,-0.10736044338400948,x0_Y3
2.5909371014185183,4.581546528336219,x1_Y3_P00,891.6836619083617,3.618036406738826,0.006239683222961063,1.2964682960473608,1.8425541576523485,Optimization terminated successfully,True,0.0,-0.10930626142165462,x1_Y3
2.5911375341557155,4.581350659813192,x1_Y3_P01,891.6720475479437,3.6180547596958625,0.00628191251914019,1.2965685020225741,1.8425168958951492,Optimization terminated successfully,True,0.00015,-0.10930625495760857,x1_Y3
2.5912044491436834,4.581285268708962,x1_Y3_P02,891.6681615535028,3.6180608261185423,0.006296028834448582,1.2966019560365698,1.842504436273372,Optimization terminated successfully,True,0.0002,-0.10930624992555854,x1_Y3
2.5912713544895136,4.581219757098157,x1_Y3_P03,891.664267333543,3.6180668936530322,0.006310173155391039,1.2966354052173803,1.8424919700560762,Optimization terminated successfully,True,0.00025,-0.10930624344438163,x1_Y3
2.597707793115477,4.520400960346564,x2_Y3_P00,882.2159326887928,3.6185855414852264,0.014522799523582852,1.2998338153988023,1.8416599123997324,Optimization terminated successfully,True,0.0,-0.10899185245115993,x2_Y3
2.597920349200141,4.520064947434464,x2_Y3_P01,882.1876294292216,3.6185725833248297,0.01459693614358163,1.2999400573160353,1.8415932582537482,Optimization terminated successfully,True,0.00015,-0.10899184136377486,x2_Y3
2.597991391878272,4.51995264716645,x2_Y3_P02,882.1781699408525,3.6185681769166935,0.014621707103230968,1.299975566569649,1.8415709824568862,Optimization terminated successfully,True,0.0002,-0.10899183272261795,x2_Y3
2.5980622707144647,4.51984028945381,x2_Y3_P03,882.1686869863435,3.618563725945874,0.01464650303367013,1.3000109938890392,1.8415486647362422,Optimization terminated successfully,True,0.00025,-0.10899182160772435,x2_Y3
2.5156734820903,4.46534312466431,x3_Y3_P00,867.2730801010748,3.5869507036574024,0.024046081921557924,1.2587989774553727,1.8357841501042054,Optimization terminated successfully,True,0.0,-0.10634287595024301,x3_Y3
2.5158654662761095,4.464853468215957,x3_Y3_P01,867.2271628769622,3.5869078976863165,0.024151105713335626,1.258894900690983,1.8356906704349538,Optimization terminated successfully,True,0.00015,-0.10634285979228303,x3_Y3
2.5159294786921915,4.4646897994601,x3_Y3_P02,867.2118070566253,3.5868934705062516,0.024186180696792504,1.258926883872377,1.8356594095872216,Optimization terminated successfully,True,0.0002,-0.10634284719874607,x3_Y3
2.5159934994898108,4.46452590500127,x3_Y3_P03,867.1964261142556,3.5868789637474805,0.02422128918847279,1.2589588712073048,1.8356280981192983,Optimization terminated successfully,True,0.00025,-0.10634283098489127,x3_Y3
2.362397984880854,4.427692638773856,x4_Y3_P00,873.0943794503494,3.576291428076939,0.03279750698925689,1.1821506030584161,1.8467113301847071,Optimization terminated successfully,True,0.0,-0.10187452977934415,x4_Y3
2.3625522506734287,4.427055991655906,x4_Y3_P01,873.0303056528355,3.57623535259797,0.03292799893289114,1.1822276308453117,1.8465941976180562,Optimization terminated successfully,True,0.00015,-0.10187450876964178,x4_Y3
2.3626035728806056,4.4268431440704195,x4_Y3_P02,873.0088749288691,3.576216409379888,0.032971560399157135,1.1822532568022657,1.8465550062257443,Optimization terminated successfully,True,0.0002,-0.10187449239187811,x4_Y3
2.362655295512182,4.426630008240155,x4_Y3_P03,872.9874416550842,3.576197329027956,0.03301516550583696,1.1822790829360912,1.8465157803268029,Optimization terminated successfully,True,0.00025,-0.10187447130683888,x4_Y3
