active_candidate_count,arithmetic_value,axis_band_energy,crude_continuous_sign_pass,crude_continuous_upper_bound,dense_core_max,global_certificate_pass,guard_positive_max,known_first_50_zero_mass_holdout,partial_gap,patch_id,sampled_core_pass,selected_energy_overhead_vs_single_fraction,selected_guard_improvement_vs_single_fraction,single_axis_energy,stage_one_axis_energy_optimum,stage_one_energy_improvement_vs_single_fraction,tail_majorant_from_145_prototype
1,12.438232324392807,22.158965364432902,True,-0.6629094007122172,-1.0000000000000013,False,0.0,6.223956766833704,-9.0203605650073,X0_Y0,True,1.442956500149882e-15,,22.15896536443287,22.158965364432902,-1.442956500149882e-15,3.796403798173595
1,12.561420595552024,21.829527357823732,True,-0.6599354489856216,-0.9999999999999981,False,0.0,6.285427002005015,-8.968576668996137,X1_Y0,True,-1.7902288870582976e-15,,21.82952735782377,21.82952735782378,-3.254961612833268e-16,3.6831496669911226
1,12.009832254221386,23.18282534146689,True,-0.633825081317507,-1.0000000000001594,False,0.0,6.009906577486954,-9.002916206298522,X2_Y0,True,0.00012817301428023182,,23.179854309669444,23.17985430966881,2.7434846656478334e-14,3.9930096288115675
2,25.331064323595694,44.77190797244662,True,-0.4440021718168031,-1.0000000000000246,False,0.1750840134923528,12.67530587822176,-19.58885162394881,X0_Y1,True,0.00445916648254118,0.019321627430295613,44.573148880935435,44.57314888093533,2.3911573007488685e-15,7.738461732234696
2,26.1398753752055,45.19433683655134,True,-0.4261146796717017,-1.0000000000009168,False,0.18418525781076722,13.07970446544722,-19.957491564515387,X1_Y1,True,0.02788340968822071,0.09407137486837772,43.968349338627576,43.968349338627505,1.6160323197211001e-15,7.6936018412574
2,25.48047147330349,48.90728239148848,True,-0.3715422433640927,-1.0000000023814706,False,0.17953916485537294,12.750770338061738,-20.40180267408736,X2_Y1,True,0.05000000238204866,0.18061606796268803,46.578364076701476,46.57836407670138,2.1356693172522125e-15,8.471493171170248
1,16.12478842800071,30.07635637549806,True,-0.8226602128435858,-0.9999999999999993,False,0.0,8.068988063813496,-12.15287839495585,x0_Y2,True,0.003227419504903855,,29.979599630900086,29.979599630900065,7.11026242352891e-16,5.083890331142355
2,16.455961066226998,29.09319221205549,True,-0.8231655881776205,-1.0,False,0.0,8.234329339036163,-12.173346793148918,x1_Y2,True,8.784140398044933e-05,,29.09063684967193,29.09063684967181,4.152272970283195e-15,4.939017454112754
1,16.525027323998195,28.782825642639065,True,-0.8228290811257115,-1.0000000000000018,False,0.0,8.268752983102868,-12.110466911586377,x2_Y2,True,8.628787149555742e-05,,28.780342248165557,28.78034224816553,8.64096595417959e-16,4.841713928483509
1,16.402570982461157,29.143189615294585,True,-0.8205480816542305,-1.0000000000001381,False,0.0,8.207565074895951,-12.003804961310667,x3_Y2,True,0.00012752866650065552,,29.13947349709697,29.139473497096876,3.1699459380422737e-15,4.796239886414716
1,16.26554081418467,30.485471029672173,True,-0.8100577371211154,-1.0000000000000004,False,0.0,8.139322419685122,-12.273435917311732,x4_Y2,True,0.010504162124855925,,30.168575422359762,30.168575422359734,9.420965038123396e-16,5.134113497626609
1,15.488755306632989,31.774318524755166,True,-0.8005494114881404,-0.9999999999999263,False,0.0,7.751226014321639,-12.213021996249537,x5_Y2,True,0.00019843376534869016,,31.76801467798496,31.76801467798495,3.35499122133922e-16,5.4617959819278985
2,23.172353515380532,43.28015214065122,True,-0.784551376729871,-0.9999999999999923,False,0.0,11.59566616230884,-17.905046892412276,x0_Y3,True,0.002296729475606927,,43.18097711771944,43.18097711771941,8.227497189596097e-16,7.3093807301034355
1,23.67312332829184,41.912304310304556,True,-0.7849337878667983,-0.9999999999999996,False,0.0,11.845707829997476,-17.952468104841564,x1_Y3,True,5.8167629336986665e-05,,41.90986651272368,41.909093697016274,1.8439946764619845e-05,7.1067602748440875
1,23.833963132957834,41.47466859845456,True,-0.7842633873371516,-0.9999999999993255,False,0.0,11.925972319631793,-17.91124550732253,x2_Y3,True,0.00012376359176821132,,41.469536179708,41.469536179707966,8.567044645507575e-16,6.985273187690736
1,23.659267636454803,41.98238718729981,True,-0.7815445860192394,-1.0000000000000036,False,0.0,11.8386811743443,-17.75626415066565,x3_Y3,True,3.3849563274717765e-15,,41.982387187299665,41.98238718729965,3.3849563274717766e-16,6.917582976321351
1,23.189289707621764,43.46221423906675,True,-0.7712632693884337,-1.000000000000041,False,0.0,11.603985860047185,-17.923536230266006,x4_Y3,True,0.00023947996271687002,,43.451808401610755,43.45180840161072,8.176215926306078e-16,7.31955037021882
1,22.340830281994883,45.751360192033474,True,-0.757410044560523,-0.9999999999998318,False,0.0,11.180276200407404,-18.05047772846856,x5_Y3,True,0.00028425942543682604,,45.73835863248818,45.73835863248811,1.5534941720785717e-15,7.870201528061158
